epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
1,apra,success,"[1, 10, 51, 26, 32, 3, 71, 38, 50, 6]","[10, 51, 32, 71, 38, 50, 6]","[1, 26, 3]",10,7,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.04_apra_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0001_apra.pkl
2,apra,success,"[0, 61, 21, 96, 51, 20, 66, 99, 2, 31]","[61, 21, 96, 51, 20, 99, 31]","[0, 66, 2]",10,7,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.04_apra_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0002_apra.pkl
3,apra,success,"[1, 90, 52, 40, 78, 7, 66, 37, 86, 64]","[90, 52, 40, 78, 7, 66, 86, 64]","[1, 37]",10,8,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.04_apra_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0003_apra.pkl
4,apra,success,"[2, 74, 11, 81, 12, 56, 31, 33, 84, 91]","[74, 11, 81, 12, 56, 31, 84, 91]","[2, 33]",10,8,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.04_apra_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0004_apra.pkl
5,apra,success,"[1, 88, 5, 30, 13, 8, 92, 89, 50, 53]","[5, 30, 13, 8, 92, 89, 50, 53]","[1, 88]",10,8,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.04_apra_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0005_apra.pkl
6,apra,success,"[1, 99, 49, 56, 23, 97, 19, 68, 36, 47]","[99, 49, 56, 23, 97, 19, 36, 47]","[1, 68]",10,8,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.04_apra_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0006_apra.pkl
7,apra,success,"[2, 40, 10, 38, 97, 0, 69, 82, 43, 59]","[40, 10, 38, 97, 69, 82, 43]","[2, 0, 59]",10,7,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.04_apra_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0007_apra.pkl
8,apra,success,"[4, 49, 20, 21, 74, 46, 10, 98, 14, 82]","[49, 21, 74, 46, 10, 98, 14, 82]","[4, 20]",10,8,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.04_apra_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0008_apra.pkl
9,apra,success,"[0, 66, 40, 68, 55, 11, 5, 49, 94, 54]","[66, 40, 68, 55, 11, 5, 49, 94]","[0, 54]",10,8,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.04_apra_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0009_apra.pkl
10,apra,success,"[0, 95, 85, 8, 24, 50, 1, 38, 54, 76]","[95, 85, 8, 24, 50, 38, 54]","[0, 1, 76]",10,7,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.04_apra_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0010_apra.pkl
11,apra,success,"[0, 82, 14, 57, 34, 79, 85, 43, 26, 66]","[82, 14, 57, 34, 79, 85, 43, 66]","[0, 26]",10,8,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.04_apra_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0011_apra.pkl
12,apra,success,"[4, 14, 93, 49, 18, 40, 36, 10, 3, 54]","[14, 93, 49, 18, 40, 10]","[4, 36, 3, 54]",10,6,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.04_apra_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0012_apra.pkl
13,apra,success,"[3, 81, 63, 70, 37, 41, 61, 29, 19, 10]","[81, 63, 70, 37, 61, 29, 19, 10]","[3, 41]",10,8,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.04_apra_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0013_apra.pkl
14,apra,success,"[3, 45, 8, 23, 88, 36, 20, 28, 68, 74]","[45, 8, 23, 36, 20, 28, 74]","[3, 88, 68]",10,7,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.04_apra_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0014_apra.pkl
15,apra,success,"[1, 45, 35, 96, 33, 2, 59, 10, 9, 83]","[45, 96, 59, 10, 9, 83]","[1, 35, 33, 2]",10,6,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.04_apra_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0015_apra.pkl
16,apra,success,"[0, 88, 60, 97, 22, 79, 67, 48, 4, 32]","[60, 97, 22, 79, 67, 48, 32]","[0, 88, 4]",10,7,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.04_apra_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0016_apra.pkl
17,apra,success,"[0, 45, 82, 96, 4, 55, 56, 57, 13, 33]","[45, 82, 96, 55, 56, 57, 13]","[0, 4, 33]",10,7,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.04_apra_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0017_apra.pkl
