epoch,method,stage,selected,rejected,human
1,apra,apra_mad_filter,"[10, 51, 26, 32, 71, 38, 50, 6]","[1, 3]","{""median_norm"": 1.3450242065211075, ""mad"": 0.5772330548482052, ""k"": 4.524187090179797, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
1,apra,apra_hierarchical_cluster,"[10, 51, 32, 71, 38, 50, 6]",[26],"{""best_k"": 2, ""best_score"": 0.7230779528617859, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 6.944406509399414, ""1"": -1.0}, ""num_trusted"": 7, ""fallback_used"": false}"
1,apra,apra_trust_weighted_clip,"[10, 51, 32, 71, 38, 50, 6]",[],"{""base_clip"": 1.0, ""trust_weights"": {""10"": 0.1666666716337204, ""51"": 0.1666666716337204, ""32"": 0.1666666716337204, ""71"": 0.0, ""38"": 0.1666666716337204, ""50"": 0.1666666716337204, ""6"": 0.1666666716337204}, ""num_aggregated"": 7}"
2,apra,apra_mad_filter,"[61, 21, 96, 51, 20, 66, 99, 31]","[0, 2]","{""median_norm"": 1.5433673286903677, ""mad"": 0.09260920140626105, ""k"": 4.093653765389909, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
2,apra,apra_hierarchical_cluster,"[61, 21, 96, 51, 20, 99, 31]",[66],"{""best_k"": 2, ""best_score"": 0.4175949692726135, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 6.895805358886719, ""1"": -1.0}, ""num_trusted"": 7, ""fallback_used"": false}"
2,apra,apra_trust_weighted_clip,"[61, 21, 96, 51, 20, 99, 31]",[],"{""base_clip"": 1.0, ""trust_weights"": {""61"": 0.2104312926530838, ""21"": 0.2104312926530838, ""96"": 0.0, ""51"": 0.2104312926530838, ""20"": 0.03395078331232071, ""99"": 0.12432404607534409, ""31"": 0.2104312926530838}, ""num_aggregated"": 7}"
3,apra,apra_mad_filter,"[90, 52, 40, 78, 7, 66, 37, 86, 64]",[1],"{""median_norm"": 1.2496228846166857, ""mad"": 0.050621100943366804, ""k"": 3.7040911034085893, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
3,apra,apra_hierarchical_cluster,"[90, 52, 40, 78, 7, 66, 86, 64]",[37],"{""best_k"": 2, ""best_score"": 0.4836464524269104, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 7.972752094268799, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
3,apra,apra_trust_weighted_clip,"[90, 52, 40, 78, 7, 66, 86, 64]",[],"{""base_clip"": 1.0, ""trust_weights"": {""90"": 0.20000000298023224, ""52"": 0.0, ""40"": 0.20000000298023224, ""78"": 0.20000000298023224, ""7"": 0.20000000298023224, ""66"": 0.0, ""86"": 0.0, ""64"": 0.20000000298023224}, ""num_aggregated"": 8}"
4,apra,apra_mad_filter,"[74, 11, 81, 12, 56, 31, 33, 84, 91]",[2],"{""median_norm"": 1.2370713177351575, ""mad"": 0.07220519427332583, ""k"": 3.351600230178197, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
4,apra,apra_hierarchical_cluster,"[74, 11, 81, 12, 56, 31, 84, 91]",[33],"{""best_k"": 2, ""best_score"": 0.6859503388404846, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 7.9649882316589355, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
4,apra,apra_trust_weighted_clip,"[74, 11, 81, 12, 56, 31, 84, 91]",[],"{""base_clip"": 1.0, ""trust_weights"": {""74"": 0.0, ""11"": 0.1428571492433548, ""81"": 0.1428571492433548, ""12"": 0.1428571492433548, ""56"": 0.1428571492433548, ""31"": 0.1428571492433548, ""84"": 0.1428571492433548, ""91"": 0.1428571492433548}, ""num_aggregated"": 8}"
5,apra,apra_mad_filter,"[88, 5, 30, 13, 8, 92, 89, 50, 53]",[1],"{""median_norm"": 1.345836241999677, ""mad"": 0.09505865037977801, ""k"": 3.032653298563167, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
5,apra,apra_hierarchical_cluster,"[5, 30, 13, 8, 92, 89, 50, 53]",[88],"{""best_k"": 2, ""best_score"": 0.6249038577079773, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 7.416069030761719, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
5,apra,apra_trust_weighted_clip,"[5, 30, 13, 8, 92, 89, 50, 53]",[],"{""base_clip"": 1.0, ""trust_weights"": {""5"": 0.1428571492433548, ""30"": 0.1428571492433548, ""13"": 0.1428571492433548, ""8"": 0.0, ""92"": 0.1428571492433548, ""89"": 0.1428571492433548, ""50"": 0.1428571492433548, ""53"": 0.1428571492433548}, ""num_aggregated"": 8}"
6,apra,apra_mad_filter,"[99, 49, 56, 23, 97, 19, 68, 36, 47]",[1],"{""median_norm"": 1.3334942199810582, ""mad"": 0.03475319498299034, ""k"": 2.744058180470132, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
6,apra,apra_hierarchical_cluster,"[99, 49, 56, 23, 97, 19, 36, 47]",[68],"{""best_k"": 2, ""best_score"": 0.7493387460708618, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 7.912240982055664, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
6,apra,apra_trust_weighted_clip,"[99, 49, 56, 23, 97, 19, 36, 47]",[],"{""base_clip"": 1.0, ""trust_weights"": {""99"": 0.15125809609889984, ""49"": 0.15125809609889984, ""56"": 0.15125809609889984, ""23"": 0.15125809609889984, ""97"": 0.09245140105485916, ""19"": 0.15125809609889984, ""36"": 0.15125809609889984, ""47"": 0.0}, ""num_aggregated"": 8}"
7,apra,apra_mad_filter,"[40, 10, 38, 97, 69, 82, 43, 59]","[2, 0]","{""median_norm"": 1.2361791356005072, ""mad"": 0.035835661420548615, ""k"": 2.4829265189570475, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
7,apra,apra_hierarchical_cluster,"[40, 10, 38, 97, 69, 82, 43]",[59],"{""best_k"": 2, ""best_score"": 0.5421031713485718, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 6.947618007659912, ""1"": -1.0}, ""num_trusted"": 7, ""fallback_used"": false}"
7,apra,apra_trust_weighted_clip,"[40, 10, 38, 97, 69, 82, 43]",[],"{""base_clip"": 1.0, ""trust_weights"": {""40"": 0.16822262108325958, ""10"": 0.16822262108325958, ""38"": 0.16822262108325958, ""97"": 0.0, ""69"": 0.16822262108325958, ""82"": 0.15888693928718567, ""43"": 0.16822262108325958}, ""num_aggregated"": 7}"
8,apra,apra_mad_filter,"[49, 20, 21, 74, 46, 10, 98, 14, 82]",[4],"{""median_norm"": 1.3354257037386699, ""mad"": 0.03603172152981504, ""k"": 2.246644820586108, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
8,apra,apra_hierarchical_cluster,"[49, 21, 74, 46, 10, 98, 14, 82]",[20],"{""best_k"": 2, ""best_score"": 0.6185557842254639, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 7.899812698364258, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
8,apra,apra_trust_weighted_clip,"[49, 21, 74, 46, 10, 98, 14, 82]",[],"{""base_clip"": 1.0, ""trust_weights"": {""49"": 0.1428571492433548, ""21"": 0.1428571492433548, ""74"": 0.0, ""46"": 0.1428571492433548, ""10"": 0.1428571492433548, ""98"": 0.1428571492433548, ""14"": 0.1428571492433548, ""82"": 0.1428571492433548}, ""num_aggregated"": 8}"
9,apra,apra_mad_filter,"[66, 40, 68, 55, 11, 5, 49, 94, 54]",[0],"{""median_norm"": 1.4060549802716602, ""mad"": 0.07740554669972388, ""k"": 2.0328482987029957, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
9,apra,apra_hierarchical_cluster,"[66, 40, 68, 55, 11, 5, 49, 94]",[54],"{""best_k"": 2, ""best_score"": 0.5227368474006653, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 7.7362961769104, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
9,apra,apra_trust_weighted_clip,"[66, 40, 68, 55, 11, 5, 49, 94]",[],"{""base_clip"": 1.0, ""trust_weights"": {""66"": 0.04758674278855324, ""40"": 0.15873554348945618, ""68"": 0.0, ""55"": 0.15873554348945618, ""11"": 0.15873554348945618, ""5"": 0.15873554348945618, ""49"": 0.15873554348945618, ""94"": 0.15873554348945618}, ""num_aggregated"": 8}"
10,apra,apra_mad_filter,"[95, 85, 8, 24, 50, 38, 54, 76]","[0, 1]","{""median_norm"": 1.2557621362585547, ""mad"": 0.08295725982543822, ""k"": 2.0, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
10,apra,apra_hierarchical_cluster,"[95, 85, 8, 24, 50, 38, 54]",[76],"{""best_k"": 2, ""best_score"": 0.7514764070510864, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 6.998927593231201, ""1"": -1.0}, ""num_trusted"": 7, ""fallback_used"": false}"
10,apra,apra_trust_weighted_clip,"[95, 85, 8, 24, 50, 38, 54]",[],"{""base_clip"": 1.0, ""trust_weights"": {""95"": 0.16806426644325256, ""85"": 0.16387146711349487, ""8"": 0.16806426644325256, ""24"": 0.16387146711349487, ""50"": 0.0, ""38"": 0.16806426644325256, ""54"": 0.16806426644325256}, ""num_aggregated"": 7}"
11,apra,apra_mad_filter,"[82, 14, 57, 34, 79, 85, 43, 26, 66]",[0],"{""median_norm"": 1.3893566817209964, ""mad"": 0.06675223249231765, ""k"": 2.0, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
11,apra,apra_hierarchical_cluster,"[82, 14, 57, 34, 79, 85, 43, 66]",[26],"{""best_k"": 2, ""best_score"": 0.5454334616661072, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 7.935126304626465, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
11,apra,apra_trust_weighted_clip,"[82, 14, 57, 34, 79, 85, 43, 66]",[],"{""base_clip"": 1.0, ""trust_weights"": {""82"": 0.15863995254039764, ""14"": 0.15863995254039764, ""57"": 0.15863995254039764, ""34"": 0.15863995254039764, ""79"": 0.15863995254039764, ""85"": 0.0, ""43"": 0.15863995254039764, ""66"": 0.04816024750471115}, ""num_aggregated"": 8}"
12,apra,apra_mad_filter,"[14, 93, 49, 18, 40, 36, 10, 54]","[4, 3]","{""median_norm"": 1.2993071310345212, ""mad"": 0.03963436111737306, ""k"": 2.0, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
12,apra,apra_hierarchical_cluster,"[14, 93, 49, 18, 40, 10]","[36, 54]","{""best_k"": 2, ""best_score"": 0.6814202666282654, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 5.995083332061768, ""1"": 1.9984408617019653}, ""num_trusted"": 6, ""fallback_used"": false}"
12,apra,apra_trust_weighted_clip,"[14, 93, 49, 18, 40, 10]",[],"{""base_clip"": 1.0, ""trust_weights"": {""14"": 0.20000000298023224, ""93"": 0.0, ""49"": 0.20000000298023224, ""18"": 0.20000000298023224, ""40"": 0.20000000298023224, ""10"": 0.20000000298023224}, ""num_aggregated"": 6}"
13,apra,apra_mad_filter,"[81, 63, 70, 37, 41, 61, 29, 19, 10]",[3],"{""median_norm"": 1.3306856257695223, ""mad"": 0.09572896282317078, ""k"": 2.0, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
13,apra,apra_hierarchical_cluster,"[81, 63, 70, 37, 61, 29, 19, 10]",[41],"{""best_k"": 2, ""best_score"": 0.4653031527996063, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 7.8765363693237305, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
13,apra,apra_trust_weighted_clip,"[81, 63, 70, 37, 61, 29, 19, 10]",[],"{""base_clip"": 1.0, ""trust_weights"": {""81"": 0.17802412807941437, ""63"": 0.17802412807941437, ""70"": 0.0, ""37"": 0.10987935960292816, ""61"": 0.17802412807941437, ""29"": 0.17802412807941437, ""19"": 0.17802412807941437, ""10"": 0.0}, ""num_aggregated"": 8}"
14,apra,apra_mad_filter,"[45, 8, 23, 88, 36, 20, 28, 74]","[3, 68]","{""median_norm"": 1.2650326686780502, ""mad"": 0.05949279504235394, ""k"": 2.0, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
14,apra,apra_hierarchical_cluster,"[45, 8, 23, 36, 20, 28, 74]",[88],"{""best_k"": 2, ""best_score"": 0.7179265022277832, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 6.9767560958862305, ""1"": -1.0}, ""num_trusted"": 7, ""fallback_used"": false}"
14,apra,apra_trust_weighted_clip,"[45, 8, 23, 36, 20, 28, 74]",[],"{""base_clip"": 1.0, ""trust_weights"": {""45"": 0.17061956226825714, ""8"": 0.17061956226825714, ""23"": 0.0, ""36"": 0.16614629328250885, ""20"": 0.17061956226825714, ""28"": 0.17061956226825714, ""74"": 0.15137545764446259}, ""num_aggregated"": 7}"
15,apra,apra_mad_filter,"[45, 35, 96, 59, 10, 9, 83]","[1, 33, 2]","{""median_norm"": 1.3728553816381863, ""mad"": 0.07878876597489115, ""k"": 2.0, ""num_accepted"": 7, ""safety_keep_used"": false, ""fallback_used"": false}"
15,apra,apra_hierarchical_cluster,"[45, 96, 59, 10, 9, 83]",[35],"{""best_k"": 2, ""best_score"": 0.8003247976303101, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 5.99207878112793, ""1"": -1.0}, ""num_trusted"": 6, ""fallback_used"": false}"
15,apra,apra_trust_weighted_clip,"[45, 96, 59, 10, 9, 83]",[],"{""base_clip"": 1.0, ""trust_weights"": {""45"": 0.0, ""96"": 0.17698363959789276, ""59"": 0.17698363959789276, ""10"": 0.21534425020217896, ""9"": 0.21534425020217896, ""83"": 0.21534425020217896}, ""num_aggregated"": 6}"
16,apra,apra_mad_filter,"[88, 60, 97, 22, 79, 67, 48, 32]","[0, 4]","{""median_norm"": 1.3752688402324085, ""mad"": 0.06900962725411541, ""k"": 2.0, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
16,apra,apra_hierarchical_cluster,"[60, 97, 22, 79, 67, 48, 32]",[88],"{""best_k"": 2, ""best_score"": 0.5733518004417419, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 6.994526386260986, ""1"": -1.0}, ""num_trusted"": 7, ""fallback_used"": false}"
16,apra,apra_trust_weighted_clip,"[60, 97, 22, 79, 67, 48, 32]",[],"{""base_clip"": 1.0, ""trust_weights"": {""60"": 0.23302234709262848, ""97"": 0.0, ""22"": 0.2669776380062103, ""79"": 0.23302234709262848, ""67"": 0.0, ""48"": 0.0, ""32"": 0.2669776380062103}, ""num_aggregated"": 7}"
