epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
1,apra,success,"[1, 10, 51, 26, 32, 3, 71, 38, 50, 6]","[10, 51, 32, 71, 38, 50, 6]","[1, 26, 3]",10,7,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.17_apra_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0001_apra.pkl
2,apra,success,"[3, 53, 31, 99, 49, 56, 23, 97, 19, 68]","[53, 31, 99, 49, 56, 23, 97, 19]","[3, 68]",10,8,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.17_apra_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0002_apra.pkl
3,apra,success,"[1, 50, 0, 38, 54, 76, 3, 82, 14, 57]","[50, 38, 54, 82, 14, 57]","[1, 0, 76, 3]",10,6,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.17_apra_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0003_apra.pkl
4,apra,success,"[1, 88, 36, 20, 28, 68, 74, 25, 45, 35]","[88, 36, 20, 28, 68, 74, 25, 45]","[1, 35]",10,8,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.17_apra_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0004_apra.pkl
5,apra,success,"[0, 64, 98, 11, 33, 59, 74, 41, 46, 95]","[64, 98, 11, 59, 74, 46, 95]","[0, 33, 41]",10,7,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.17_apra_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0005_apra.pkl
6,apra,success,"[3, 78, 56, 22, 43, 6, 42, 98, 8, 62]","[78, 56, 22, 43, 6, 42, 98, 8]","[3, 62]",10,8,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.17_apra_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0006_apra.pkl
7,apra,success,"[3, 83, 51, 46, 33, 27, 77, 75, 76, 35]","[83, 51, 46, 27, 77, 75, 76]","[3, 33, 35]",10,7,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.17_apra_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0007_apra.pkl
8,apra,success,"[0, 43, 75, 4, 41, 16, 72, 17, 28, 60]","[43, 75, 41, 16, 17, 28, 60]","[0, 4, 72]",10,7,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.17_apra_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0008_apra.pkl
9,apra,success,"[3, 43, 87, 63, 97, 27, 62, 38, 36, 77]","[87, 63, 97, 27, 38, 36, 77]","[3, 43, 62]",10,7,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.17_apra_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0009_apra.pkl
10,apra,success,"[0, 40, 28, 75, 32, 47, 15, 52, 3, 18]","[40, 28, 75, 32, 15, 52, 18]","[0, 47, 3]",10,7,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_12.10.17_apra_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0010_apra.pkl
