epoch,method,stage,selected,rejected,human
1,apra,apra_mad_filter,"[10, 51, 26, 32, 71, 38, 50, 6]","[1, 3]","{""median_norm"": 1.2929779746283683, ""mad"": 0.5460289555732363, ""k"": 4.524187090179797, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
1,apra,apra_hierarchical_cluster,"[10, 51, 32, 71, 38, 50, 6]",[26],"{""best_k"": 2, ""best_score"": 0.7845113277435303, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 6.975024223327637, ""1"": -1.0}, ""num_trusted"": 7, ""fallback_used"": false}"
1,apra,apra_trust_weighted_clip,"[10, 51, 32, 71, 38, 50, 6]",[],"{""base_clip"": 1.0, ""trust_weights"": {""10"": 0.1666666716337204, ""51"": 0.1666666716337204, ""32"": 0.1666666716337204, ""71"": 0.0, ""38"": 0.1666666716337204, ""50"": 0.1666666716337204, ""6"": 0.1666666716337204}, ""num_aggregated"": 7}"
2,apra,apra_mad_filter,"[53, 31, 99, 49, 56, 23, 97, 19, 68]",[3],"{""median_norm"": 0.8318979659936441, ""mad"": 0.11838209625820717, ""k"": 4.093653765389909, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
2,apra,apra_hierarchical_cluster,"[53, 31, 99, 49, 56, 23, 97, 19]",[68],"{""best_k"": 2, ""best_score"": 0.6477725505828857, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 7.721380710601807, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
2,apra,apra_trust_weighted_clip,"[53, 31, 99, 49, 56, 23, 97, 19]",[],"{""base_clip"": 1.0, ""trust_weights"": {""53"": 0.1428571492433548, ""31"": 0.1428571492433548, ""99"": 0.0, ""49"": 0.1428571492433548, ""56"": 0.1428571492433548, ""23"": 0.1428571492433548, ""97"": 0.1428571492433548, ""19"": 0.1428571492433548}, ""num_aggregated"": 8}"
3,apra,apra_mad_filter,"[50, 38, 54, 76, 82, 14, 57]","[1, 0, 3]","{""median_norm"": 1.1976718047938903, ""mad"": 0.3579883491393857, ""k"": 3.7040911034085893, ""num_accepted"": 7, ""safety_keep_used"": false, ""fallback_used"": false}"
3,apra,apra_hierarchical_cluster,"[50, 38, 54, 82, 14, 57]",[76],"{""best_k"": 2, ""best_score"": 0.3952663838863373, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 5.96522331237793, ""1"": -1.0}, ""num_trusted"": 6, ""fallback_used"": false}"
3,apra,apra_trust_weighted_clip,"[50, 38, 54, 82, 14, 57]",[],"{""base_clip"": 1.0, ""trust_weights"": {""50"": 0.25, ""38"": 0.25, ""54"": 0.0, ""82"": 0.0, ""14"": 0.25, ""57"": 0.25}, ""num_aggregated"": 6}"
4,apra,apra_mad_filter,"[88, 36, 20, 28, 68, 74, 25, 45, 35]",[1],"{""median_norm"": 1.0825193000772084, ""mad"": 0.14980470430095633, ""k"": 3.351600230178197, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
4,apra,apra_hierarchical_cluster,"[88, 36, 20, 28, 68, 74, 25, 45]",[35],"{""best_k"": 2, ""best_score"": 0.6119967699050903, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 7.056638717651367, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
4,apra,apra_trust_weighted_clip,"[88, 36, 20, 28, 68, 74, 25, 45]",[],"{""base_clip"": 1.0, ""trust_weights"": {""88"": 0.0, ""36"": 0.1666666716337204, ""20"": 0.1666666716337204, ""28"": 0.1666666716337204, ""68"": 0.0, ""74"": 0.1666666716337204, ""25"": 0.1666666716337204, ""45"": 0.1666666716337204}, ""num_aggregated"": 8}"
5,apra,apra_mad_filter,"[64, 98, 11, 59, 74, 41, 46, 95]","[0, 33]","{""median_norm"": 0.8035811436336208, ""mad"": 0.11176251115444902, ""k"": 3.032653298563167, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
5,apra,apra_hierarchical_cluster,"[64, 98, 11, 59, 74, 46, 95]",[41],"{""best_k"": 2, ""best_score"": 0.7303374409675598, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 6.800873756408691, ""1"": -1.0}, ""num_trusted"": 7, ""fallback_used"": false}"
5,apra,apra_trust_weighted_clip,"[64, 98, 11, 59, 74, 46, 95]",[],"{""base_clip"": 1.0, ""trust_weights"": {""64"": 0.1666666716337204, ""98"": 0.1666666716337204, ""11"": 0.1666666716337204, ""59"": 0.1666666716337204, ""74"": 0.1666666716337204, ""46"": 0.0, ""95"": 0.1666666716337204}, ""num_aggregated"": 7}"
6,apra,apra_mad_filter,"[78, 56, 22, 43, 6, 42, 98, 8, 62]",[3],"{""median_norm"": 0.8064204709483778, ""mad"": 0.0989881467083027, ""k"": 2.744058180470132, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
6,apra,apra_hierarchical_cluster,"[78, 56, 22, 43, 6, 42, 98, 8]",[62],"{""best_k"": 2, ""best_score"": 0.4876275658607483, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 7.444318771362305, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
6,apra,apra_trust_weighted_clip,"[78, 56, 22, 43, 6, 42, 98, 8]",[],"{""base_clip"": 1.0, ""trust_weights"": {""78"": 0.1428571492433548, ""56"": 0.1428571492433548, ""22"": 0.1428571492433548, ""43"": 0.1428571492433548, ""6"": 0.1428571492433548, ""42"": 0.1428571492433548, ""98"": 0.1428571492433548, ""8"": 0.0}, ""num_aggregated"": 8}"
7,apra,apra_mad_filter,"[83, 51, 46, 33, 27, 77, 75, 76, 35]",[3],"{""median_norm"": 0.8996464981625869, ""mad"": 0.2181860487831236, ""k"": 2.4829265189570475, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
7,apra,apra_hierarchical_cluster,"[83, 51, 46, 27, 77, 75, 76]","[33, 35]","{""best_k"": 3, ""best_score"": 0.680557370185852, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 6.980778694152832, ""1"": -1.0, ""2"": -1.0}, ""num_trusted"": 7, ""fallback_used"": false}"
7,apra,apra_trust_weighted_clip,"[83, 51, 46, 27, 77, 75, 76]",[],"{""base_clip"": 1.0, ""trust_weights"": {""83"": 0.1666666716337204, ""51"": 0.0, ""46"": 0.1666666716337204, ""27"": 0.1666666716337204, ""77"": 0.1666666716337204, ""75"": 0.1666666716337204, ""76"": 0.1666666716337204}, ""num_aggregated"": 7}"
8,apra,apra_mad_filter,"[43, 75, 41, 16, 72, 17, 28, 60]","[0, 4]","{""median_norm"": 0.8249913013304382, ""mad"": 0.12372383523016911, ""k"": 2.246644820586108, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
8,apra,apra_hierarchical_cluster,"[43, 75, 41, 16, 17, 28, 60]",[72],"{""best_k"": 2, ""best_score"": 0.7086848020553589, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 6.995251178741455, ""1"": -1.0}, ""num_trusted"": 7, ""fallback_used"": false}"
8,apra,apra_trust_weighted_clip,"[43, 75, 41, 16, 17, 28, 60]",[],"{""base_clip"": 1.0, ""trust_weights"": {""43"": 0.15206864476203918, ""75"": 0.16958627104759216, ""41"": 0.0, ""16"": 0.16958627104759216, ""17"": 0.16958627104759216, ""28"": 0.16958627104759216, ""60"": 0.16958627104759216}, ""num_aggregated"": 7}"
9,apra,apra_mad_filter,"[87, 63, 97, 27, 62, 38, 36, 77]","[3, 43]","{""median_norm"": 0.7977383604375347, ""mad"": 0.0984249898384778, ""k"": 2.0328482987029957, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
9,apra,apra_hierarchical_cluster,"[87, 63, 97, 27, 38, 36, 77]",[62],"{""best_k"": 2, ""best_score"": 0.42953670024871826, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 5.5680131912231445, ""1"": -1.0}, ""num_trusted"": 7, ""fallback_used"": false}"
9,apra,apra_trust_weighted_clip,"[87, 63, 97, 27, 38, 36, 77]",[],"{""base_clip"": 1.0, ""trust_weights"": {""87"": 0.22628501057624817, ""63"": 0.22628501057624817, ""97"": 0.0, ""27"": 0.0, ""38"": 0.22628501057624817, ""36"": 0.09485990554094315, ""77"": 0.22628501057624817}, ""num_aggregated"": 7}"
10,apra,apra_mad_filter,"[40, 28, 75, 32, 47, 15, 52, 18]","[0, 3]","{""median_norm"": 0.9640805514771352, ""mad"": 0.18341530393087935, ""k"": 2.0, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
10,apra,apra_hierarchical_cluster,"[40, 28, 75, 32, 15, 52, 18]",[47],"{""best_k"": 2, ""best_score"": 0.6851248145103455, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 6.9872589111328125, ""1"": -1.0}, ""num_trusted"": 7, ""fallback_used"": false}"
10,apra,apra_trust_weighted_clip,"[40, 28, 75, 32, 15, 52, 18]",[],"{""base_clip"": 1.0, ""trust_weights"": {""40"": 0.1666666716337204, ""28"": 0.1666666716337204, ""75"": 0.1666666716337204, ""32"": 0.1666666716337204, ""15"": 0.1666666716337204, ""52"": 0.0, ""18"": 0.1666666716337204}, ""num_aggregated"": 7}"
11,apra,apra_mad_filter,"[50, 21, 79, 66, 30, 97]","[2, 32, 63, 35]","{""median_norm"": 0.8007964349390098, ""mad"": 0.041555291757027824, ""k"": 2.0, ""num_accepted"": 6, ""safety_keep_used"": false, ""fallback_used"": false}"
