epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
1,clip,success,"[1, 10, 51, 26, 32, 3, 71, 38, 50, 6]","[1, 10, 51, 26, 32, 3, 71, 38, 50, 6]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0001_clip.pkl
2,clip,success,"[0, 61, 21, 96, 51, 20, 66, 99, 2, 31]","[0, 61, 21, 96, 51, 20, 66, 99, 2, 31]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0002_clip.pkl
3,clip,success,"[1, 90, 52, 40, 78, 7, 66, 37, 86, 64]","[1, 90, 52, 40, 78, 7, 66, 37, 86, 64]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0003_clip.pkl
4,clip,success,"[2, 74, 11, 81, 12, 56, 31, 33, 84, 91]","[2, 74, 11, 81, 12, 56, 31, 33, 84, 91]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0004_clip.pkl
5,clip,success,"[1, 88, 5, 30, 13, 8, 92, 89, 50, 53]","[1, 88, 5, 30, 13, 8, 92, 89, 50, 53]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0005_clip.pkl
6,clip,success,"[1, 99, 49, 56, 23, 97, 19, 68, 36, 47]","[1, 99, 49, 56, 23, 97, 19, 68, 36, 47]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0006_clip.pkl
7,clip,success,"[2, 40, 10, 38, 97, 0, 69, 82, 43, 59]","[2, 40, 10, 38, 97, 0, 69, 82, 43, 59]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0007_clip.pkl
8,clip,success,"[4, 49, 20, 21, 74, 46, 10, 98, 14, 82]","[4, 49, 20, 21, 74, 46, 10, 98, 14, 82]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0008_clip.pkl
9,clip,success,"[0, 66, 40, 68, 55, 11, 5, 49, 94, 54]","[0, 66, 40, 68, 55, 11, 5, 49, 94, 54]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0009_clip.pkl
10,clip,success,"[0, 95, 85, 8, 24, 50, 1, 38, 54, 76]","[0, 95, 85, 8, 24, 50, 1, 38, 54, 76]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0010_clip.pkl
11,clip,success,"[0, 82, 14, 57, 34, 79, 85, 43, 26, 66]","[0, 82, 14, 57, 34, 79, 85, 43, 26, 66]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0011_clip.pkl
12,clip,success,"[4, 14, 93, 49, 18, 40, 36, 10, 3, 54]","[4, 14, 93, 49, 18, 40, 36, 10, 3, 54]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0012_clip.pkl
13,clip,success,"[3, 81, 63, 70, 37, 41, 61, 29, 19, 10]","[3, 81, 63, 70, 37, 41, 61, 29, 19, 10]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0013_clip.pkl
14,clip,success,"[3, 45, 8, 23, 88, 36, 20, 28, 68, 74]","[3, 45, 8, 23, 88, 36, 20, 28, 68, 74]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0014_clip.pkl
15,clip,success,"[1, 45, 35, 96, 33, 2, 59, 10, 9, 83]","[1, 45, 35, 96, 33, 2, 59, 10, 9, 83]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0015_clip.pkl
16,clip,success,"[0, 88, 60, 97, 22, 79, 67, 48, 4, 32]","[0, 88, 60, 97, 22, 79, 67, 48, 4, 32]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0016_clip.pkl
17,clip,success,"[0, 45, 82, 96, 4, 55, 56, 57, 13, 33]","[0, 45, 82, 96, 4, 55, 56, 57, 13, 33]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0017_clip.pkl
18,clip,success,"[4, 44, 30, 29, 85, 26, 16, 64, 98, 11]","[4, 44, 30, 29, 85, 26, 16, 64, 98, 11]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0018_clip.pkl
19,clip,success,"[2, 59, 74, 98, 41, 46, 33, 95, 9, 22]","[2, 59, 74, 98, 41, 46, 33, 95, 9, 22]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0019_clip.pkl
20,clip,success,"[4, 71, 89, 22, 38, 97, 98, 75, 23, 21]","[4, 71, 89, 22, 38, 97, 98, 75, 23, 21]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0020_clip.pkl
21,clip,success,"[0, 24, 65, 86, 71, 10, 46, 84, 7, 66]","[0, 24, 65, 86, 71, 10, 46, 84, 7, 66]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0021_clip.pkl
22,clip,success,"[4, 88, 46, 18, 15, 57, 51, 71, 0, 16]","[4, 88, 46, 18, 15, 57, 51, 71, 0, 16]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0022_clip.pkl
23,clip,success,"[1, 54, 78, 56, 22, 43, 6, 42, 98, 8]","[1, 54, 78, 56, 22, 43, 6, 42, 98, 8]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0023_clip.pkl
24,clip,success,"[3, 95, 30, 92, 18, 36, 96, 77, 9, 38]","[3, 95, 30, 92, 18, 36, 96, 77, 9, 38]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0024_clip.pkl
25,clip,success,"[1, 7, 32, 89, 97, 22, 47, 6, 95, 63]","[1, 7, 32, 89, 97, 22, 47, 6, 95, 63]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0025_clip.pkl
26,clip,success,"[2, 77, 51, 20, 31, 72, 30, 65, 37, 38]","[2, 77, 51, 20, 31, 72, 30, 65, 37, 38]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_14.28.31_clip_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0026_clip.pkl
