epoch,method,stage,selected,rejected,human
1,avg,avg,"[1, 10, 51, 26, 32, 3, 71, 38, 50, 6]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
2,avg,avg,"[3, 53, 31, 99, 49, 56, 23, 97, 19, 68]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
3,avg,avg,"[1, 50, 0, 38, 54, 76, 3, 82, 14, 57]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
4,avg,avg,"[1, 88, 36, 20, 28, 68, 74, 25, 45, 35]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
5,avg,avg,"[0, 64, 98, 11, 33, 59, 74, 41, 46, 95]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
6,avg,avg,"[3, 78, 56, 22, 43, 6, 42, 98, 8, 62]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
7,avg,avg,"[3, 83, 51, 46, 33, 27, 77, 75, 76, 35]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
8,avg,avg,"[0, 43, 75, 4, 41, 16, 72, 17, 28, 60]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
9,avg,avg,"[3, 43, 87, 63, 97, 27, 62, 38, 36, 77]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
10,avg,avg,"[0, 40, 28, 75, 32, 47, 15, 52, 3, 18]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
11,avg,avg,"[2, 32, 63, 50, 35, 21, 79, 66, 30, 97]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
12,avg,avg,"[2, 35, 94, 63, 26, 87, 84, 58, 60, 5]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
13,avg,avg,"[4, 94, 75, 13, 7, 67, 96, 2, 38, 15]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
14,avg,avg,"[1, 40, 98, 9, 16, 5, 34, 69, 43, 57]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
15,avg,avg,"[2, 13, 93, 90, 45, 87, 72, 43, 48, 25]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
16,avg,avg,"[2, 5, 57, 48, 53, 6, 20, 31, 16, 7]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
17,avg,avg,"[3, 53, 81, 42, 36, 58, 94, 47, 66, 60]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
18,avg,avg,"[1, 90, 3, 33, 8, 21, 45, 49, 6, 38]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
19,avg,avg,"[2, 27, 66, 71, 81, 13, 63, 93, 53, 60]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
20,avg,avg,"[0, 88, 27, 56, 80, 3, 51, 89, 14, 41]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
21,avg,avg,"[1, 81, 84, 15, 89, 53, 73, 36, 29, 43]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
22,avg,avg,"[2, 18, 53, 15, 41, 16, 4, 57, 1, 95]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
23,avg,avg,"[3, 32, 41, 56, 4, 5, 50, 83, 24, 43]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
24,avg,avg,"[3, 89, 21, 15, 26, 35, 54, 98, 12, 51]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
25,avg,avg,"[0, 72, 77, 85, 33, 32, 58, 99, 39, 71]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
26,avg,avg,"[1, 28, 37, 92, 4, 44, 5, 71, 95, 15]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
27,avg,avg,"[2, 56, 58, 55, 34, 19, 65, 15, 20, 91]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
28,avg,avg,"[3, 48, 54, 88, 46, 64, 92, 16, 98, 51]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
29,avg,avg,"[1, 29, 3, 61, 19, 35, 94, 71, 63, 50]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
30,avg,avg,"[1, 87, 82, 61, 66, 68, 46, 73, 70, 16]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
31,avg,avg,"[0, 69, 27, 79, 95, 78, 91, 97, 45, 44]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
32,avg,avg,"[0, 83, 37, 90, 32, 80, 10, 4, 96, 28]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
33,avg,avg,"[2, 32, 95, 60, 72, 23, 51, 3, 11, 83]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
34,avg,avg,"[2, 58, 87, 44, 7, 22, 14, 85, 67, 68]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
35,avg,avg,"[4, 40, 58, 97, 61, 8, 50, 74, 90, 93]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
36,avg,avg,"[3, 96, 11, 29, 74, 42, 80, 92, 38, 82]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
37,avg,avg,"[2, 38, 99, 73, 80, 64, 87, 60, 11, 91]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
38,avg,avg,"[2, 75, 99, 97, 98, 6, 73, 90, 51, 57]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
39,avg,avg,"[0, 59, 16, 76, 60, 20, 96, 43, 9, 24]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
40,avg,avg,"[2, 0, 61, 62, 10, 81, 88, 24, 66, 4]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
41,avg,avg,"[1, 45, 97, 26, 50, 74, 48, 92, 19, 47]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
42,avg,avg,"[4, 90, 82, 78, 27, 85, 52, 86, 31, 14]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
43,avg,avg,"[2, 87, 10, 50, 34, 8, 58, 66, 60, 95]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
44,avg,avg,"[0, 43, 47, 39, 67, 76, 75, 92, 99, 5]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
45,avg,avg,"[0, 21, 9, 32, 56, 98, 70, 69, 37, 10]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
46,avg,avg,"[4, 42, 72, 63, 86, 3, 56, 25, 0, 20]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
47,avg,avg,"[2, 87, 47, 42, 5, 59, 88, 20, 67, 32]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
48,avg,avg,"[4, 63, 34, 33, 64, 56, 11, 76, 28, 58]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
49,avg,avg,"[4, 10, 45, 0, 24, 28, 63, 38, 27, 71]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
50,avg,avg,"[3, 49, 2, 74, 69, 97, 95, 41, 75, 15]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
51,avg,avg,"[2, 34, 93, 77, 50, 9, 56, 32, 73, 41]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
52,avg,avg,"[3, 76, 86, 69, 29, 17, 94, 24, 77, 6]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
53,avg,avg,"[0, 18, 25, 79, 30, 32, 8, 98, 53, 44]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
54,avg,avg,"[3, 25, 60, 55, 32, 7, 76, 61, 59, 29]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
55,avg,avg,"[3, 79, 30, 91, 24, 89, 19, 52, 46, 58]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
56,avg,avg,"[0, 65, 86, 39, 1, 64, 43, 92, 41, 98]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
57,avg,avg,"[4, 14, 41, 50, 71, 32, 58, 3, 24, 62]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
58,avg,avg,"[4, 27, 55, 98, 67, 16, 57, 21, 26, 69]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
59,avg,avg,"[4, 95, 65, 71, 9, 3, 81, 70, 41, 42]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
60,avg,avg,"[4, 86, 16, 55, 99, 88, 15, 12, 44, 82]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
61,avg,avg,"[3, 40, 78, 80, 31, 43, 56, 84, 45, 95]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
62,avg,avg,"[2, 35, 83, 82, 79, 81, 91, 53, 52, 90]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
63,avg,avg,"[3, 27, 10, 64, 1, 76, 65, 15, 51, 53]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
64,avg,avg,"[1, 45, 29, 54, 14, 17, 57, 52, 76, 65]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
65,avg,avg,"[0, 36, 23, 49, 11, 34, 99, 33, 58, 12]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
66,avg,avg,"[4, 65, 63, 55, 18, 2, 78, 25, 71, 57]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
67,avg,avg,"[2, 44, 50, 12, 72, 26, 19, 56, 93, 20]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
68,avg,avg,"[0, 57, 21, 61, 10, 20, 51, 25, 27, 40]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
69,avg,avg,"[0, 75, 82, 38, 98, 50, 69, 58, 91, 59]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
70,avg,avg,"[1, 98, 24, 5, 25, 10, 51, 16, 92, 27]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
71,avg,avg,"[1, 69, 8, 16, 77, 29, 65, 68, 89, 95]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
72,avg,avg,"[3, 46, 8, 38, 51, 5, 19, 53, 84, 23]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
73,avg,avg,"[0, 51, 18, 91, 79, 68, 9, 5, 73, 62]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
74,avg,avg,"[4, 2, 25, 80, 1, 78, 20, 3, 7, 44]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
75,avg,avg,"[1, 20, 77, 27, 23, 18, 74, 59, 86, 87]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
76,avg,avg,"[2, 97, 55, 28, 52, 53, 77, 67, 31, 62]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
77,avg,avg,"[4, 91, 65, 0, 37, 25, 27, 31, 15, 97]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
78,avg,avg,"[1, 98, 50, 52, 30, 15, 49, 13, 38, 7]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
79,avg,avg,"[3, 30, 82, 46, 21, 54, 29, 47, 77, 48]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
80,avg,avg,"[3, 37, 11, 86, 39, 75, 6, 48, 61, 64]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
81,avg,avg,"[0, 12, 9, 34, 21, 93, 15, 38, 90, 65]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
82,avg,avg,"[0, 84, 12, 64, 52, 60, 4, 50, 14, 27]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
83,avg,avg,"[4, 9, 86, 84, 95, 41, 38, 17, 52, 93]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
84,avg,avg,"[3, 38, 17, 96, 10, 11, 55, 66, 34, 52]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
85,avg,avg,"[3, 5, 42, 83, 37, 14, 13, 89, 28, 61]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
86,avg,avg,"[0, 36, 14, 90, 87, 42, 82, 37, 63, 40]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
87,avg,avg,"[3, 2, 11, 96, 15, 67, 42, 80, 51, 72]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
88,avg,avg,"[3, 27, 95, 78, 82, 23, 37, 10, 55, 13]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
89,avg,avg,"[1, 27, 31, 11, 24, 43, 50, 63, 64, 18]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
90,avg,avg,"[2, 93, 20, 1, 78, 33, 24, 5, 57, 77]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
91,avg,avg,"[1, 63, 27, 59, 75, 45, 20, 29, 67, 93]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
92,avg,avg,"[4, 37, 92, 94, 14, 22, 28, 18, 17, 24]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
93,avg,avg,"[3, 95, 71, 24, 18, 49, 84, 7, 67, 0]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
94,avg,avg,"[3, 8, 86, 33, 74, 35, 51, 22, 40, 47]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
95,avg,avg,"[4, 36, 63, 62, 76, 71, 98, 22, 44, 66]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
96,avg,avg,"[4, 43, 44, 96, 29, 3, 77, 32, 63, 27]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
97,avg,avg,"[0, 62, 19, 13, 51, 24, 35, 58, 89, 39]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
98,avg,avg,"[1, 41, 90, 42, 2, 69, 13, 73, 78, 97]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
