epoch,method,stage,selected,rejected,human
1,apra,apra_mad_filter,"[10, 51, 26, 32, 3, 71, 38, 50, 6]",[1],"{""median_norm"": 1.2023858483021677, ""mad"": 0.4633626077425884, ""k"": 4.524187090179797, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
1,apra,apra_hierarchical_cluster,"[10, 51, 26, 32, 71, 38, 50, 6]",[3],"{""best_k"": 2, ""best_score"": 0.8700204491615295, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 7.933489799499512, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
1,apra,apra_trust_weighted_clip,"[10, 51, 26, 32, 71, 38, 50, 6]",[],"{""base_clip"": 1.0, ""trust_weights"": {""10"": 0.16047431528568268, ""51"": 0.16047431528568268, ""26"": 0.03715413063764572, ""32"": 0.16047431528568268, ""71"": 0.0, ""38"": 0.16047431528568268, ""50"": 0.16047431528568268, ""6"": 0.16047431528568268}, ""num_aggregated"": 8}"
2,apra,apra_mad_filter,"[61, 21, 96, 51, 20, 66, 99, 31]","[0, 2]","{""median_norm"": 1.6492210823289182, ""mad"": 0.18305948840169173, ""k"": 4.093653765389909, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
2,apra,apra_hierarchical_cluster,"[61, 21, 96, 51, 66, 99, 31]",[20],"{""best_k"": 2, ""best_score"": 0.6515253782272339, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 6.987470626831055, ""1"": -1.0}, ""num_trusted"": 7, ""fallback_used"": false}"
2,apra,apra_trust_weighted_clip,"[61, 21, 96, 51, 66, 99, 31]",[],"{""base_clip"": 1.0, ""trust_weights"": {""61"": 0.16807451844215393, ""21"": 0.16807451844215393, ""96"": 0.0, ""51"": 0.16807451844215393, ""66"": 0.16807451844215393, ""99"": 0.15962742269039154, ""31"": 0.16807451844215393}, ""num_aggregated"": 7}"
3,apra,apra_mad_filter,"[52, 40, 78, 7, 66, 37, 86, 64]","[1, 90]","{""median_norm"": 1.372462477210877, ""mad"": 0.09590031883981476, ""k"": 3.7040911034085893, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
3,apra,apra_hierarchical_cluster,"[52, 40, 78, 7, 66, 86, 64]",[37],"{""best_k"": 2, ""best_score"": 0.4604058861732483, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 6.349344730377197, ""1"": -1.0}, ""num_trusted"": 7, ""fallback_used"": false}"
3,apra,apra_trust_weighted_clip,"[52, 40, 78, 7, 66, 86, 64]",[],"{""base_clip"": 1.0, ""trust_weights"": {""52"": 0.20000000298023224, ""40"": 0.20000000298023224, ""78"": 0.20000000298023224, ""7"": 0.0, ""66"": 0.0, ""86"": 0.20000000298023224, ""64"": 0.20000000298023224}, ""num_aggregated"": 7}"
4,apra,apra_mad_filter,"[11, 81, 12, 56, 31, 33, 84, 91]","[2, 74]","{""median_norm"": 1.3129467294358437, ""mad"": 0.13019558479977134, ""k"": 3.351600230178197, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
4,apra,apra_hierarchical_cluster,"[11, 81, 12, 56, 31, 84, 91]",[33],"{""best_k"": 2, ""best_score"": 0.778518795967102, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 6.93643856048584, ""1"": -1.0}, ""num_trusted"": 7, ""fallback_used"": false}"
4,apra,apra_trust_weighted_clip,"[11, 81, 12, 56, 31, 84, 91]",[],"{""base_clip"": 1.0, ""trust_weights"": {""11"": 0.20000000298023224, ""81"": 0.20000000298023224, ""12"": 0.0, ""56"": 0.0, ""31"": 0.20000000298023224, ""84"": 0.20000000298023224, ""91"": 0.20000000298023224}, ""num_aggregated"": 7}"
5,apra,apra_mad_filter,"[88, 5, 30, 13, 8, 92, 89, 50, 53]",[1],"{""median_norm"": 1.3702801943608014, ""mad"": 0.10093477290701791, ""k"": 3.032653298563167, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
5,apra,apra_hierarchical_cluster,"[5, 30, 13, 8, 92, 89, 50, 53]",[88],"{""best_k"": 2, ""best_score"": 0.4508786201477051, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 7.0213518142700195, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
5,apra,apra_trust_weighted_clip,"[5, 30, 13, 8, 92, 89, 50, 53]",[],"{""base_clip"": 1.0, ""trust_weights"": {""5"": 0.166802316904068, ""30"": 0.166802316904068, ""13"": 0.166802316904068, ""8"": 0.0, ""92"": 0.16598841547966003, ""89"": 0.166802316904068, ""50"": 0.0, ""53"": 0.166802316904068}, ""num_aggregated"": 8}"
6,apra,apra_mad_filter,"[49, 56, 23, 97, 19, 68, 36, 47]","[1, 99]","{""median_norm"": 1.386530311782248, ""mad"": 0.0736957134640478, ""k"": 2.744058180470132, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
