epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
1,foolsgold,success,"[1, 10, 51, 26, 32, 3, 71, 38, 50, 6]","[10, 51, 26, 32, 71, 38, 50, 6]","[1, 3]",10,8,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_15.36.04_foolsgold_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0001_foolsgold.pkl
2,foolsgold,success,"[0, 61, 21, 96, 51, 20, 66, 99, 2, 31]","[61, 21, 96, 51, 20, 66, 99, 31]","[0, 2]",10,8,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_15.36.04_foolsgold_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0002_foolsgold.pkl
3,foolsgold,success,"[1, 90, 52, 40, 78, 7, 66, 37, 86, 64]","[1, 90, 52, 40, 78, 7, 66, 37, 86, 64]",[],10,10,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_15.36.04_foolsgold_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0003_foolsgold.pkl
4,foolsgold,success,"[2, 74, 11, 81, 12, 56, 31, 33, 84, 91]","[2, 74, 11, 81, 12, 56, 31, 33, 84, 91]",[],10,10,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_15.36.04_foolsgold_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0004_foolsgold.pkl
5,foolsgold,success,"[1, 88, 5, 30, 13, 8, 92, 89, 50, 53]","[1, 88, 5, 30, 13, 8, 92, 89, 50, 53]",[],10,10,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_15.36.04_foolsgold_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0005_foolsgold.pkl
6,foolsgold,success,"[1, 99, 49, 56, 23, 97, 19, 68, 36, 47]","[1, 99, 49, 56, 23, 97, 19, 68, 36, 47]",[],10,10,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_15.36.04_foolsgold_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0006_foolsgold.pkl
7,foolsgold,success,"[2, 40, 10, 38, 97, 0, 69, 82, 43, 59]","[40, 10, 38, 97, 69, 82, 43, 59]","[2, 0]",10,8,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_15.36.04_foolsgold_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0007_foolsgold.pkl
8,foolsgold,success,"[4, 49, 20, 21, 74, 46, 10, 98, 14, 82]","[4, 49, 20, 21, 74, 46, 10, 82]","[98, 14]",10,8,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_15.36.04_foolsgold_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0008_foolsgold.pkl
9,foolsgold,success,"[0, 66, 40, 68, 55, 11, 5, 49, 94, 54]","[0, 66, 40, 68, 11]","[55, 5, 49, 94, 54]",10,5,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_15.36.04_foolsgold_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0009_foolsgold.pkl
10,foolsgold,success,"[0, 95, 85, 8, 24, 50, 1, 38, 54, 76]","[95, 85, 8, 24, 50, 38, 54, 76]","[0, 1]",10,8,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_15.36.04_foolsgold_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0010_foolsgold.pkl
