epoch,method,stage,selected,rejected,human
1,foolsgold,foolsgold,"[10, 51, 26, 32, 71, 38, 50, 6]","[1, 3]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 0.0, ""10"": 1.0, ""51"": 1.0, ""26"": 1.0, ""32"": 1.0, ""3"": 0.0, ""71"": 1.0, ""38"": 1.0, ""50"": 1.0, ""6"": 1.0}}"
2,foolsgold,foolsgold,"[61, 21, 96, 51, 20, 66, 99, 31]","[0, 2]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 0.0, ""61"": 1.0, ""21"": 1.0, ""96"": 1.0, ""51"": 1.0, ""20"": 1.0, ""66"": 1.0, ""99"": 1.0, ""2"": 0.0, ""31"": 1.0}}"
3,foolsgold,foolsgold,"[1, 90, 52, 40, 78, 7, 66, 37, 86, 64]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 1.0, ""90"": 1.0, ""52"": 1.0, ""40"": 1.0, ""78"": 1.0, ""7"": 1.0, ""66"": 1.0, ""37"": 1.0, ""86"": 1.0, ""64"": 1.0}}"
4,foolsgold,foolsgold,"[2, 74, 11, 81, 12, 56, 31, 33, 84, 91]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 1.0, ""74"": 1.0, ""11"": 1.0, ""81"": 1.0, ""12"": 1.0, ""56"": 1.0, ""31"": 1.0, ""33"": 1.0, ""84"": 1.0, ""91"": 1.0}}"
5,foolsgold,foolsgold,"[1, 88, 5, 30, 13, 8, 92, 89, 50, 53]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 1.0, ""88"": 1.0, ""5"": 1.0, ""30"": 1.0, ""13"": 1.0, ""8"": 1.0, ""92"": 1.0, ""89"": 1.0, ""50"": 1.0, ""53"": 1.0}}"
6,foolsgold,foolsgold,"[1, 99, 49, 56, 23, 97, 19, 68, 36, 47]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 1.0, ""99"": 0.7095355814502706, ""49"": 0.7095355814502706, ""56"": 1.0, ""23"": 1.0, ""97"": 0.9152832487548748, ""19"": 0.3202165681927119, ""68"": 1.0, ""36"": 1.0, ""47"": 0.3202165681927119}}"
7,foolsgold,foolsgold,"[40, 10, 38, 97, 69, 82, 43, 59]","[2, 0]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 0.0, ""40"": 1.0, ""10"": 0.6447998679695943, ""38"": 1.0, ""97"": 0.5055984032549666, ""0"": 0.0, ""69"": 0.5055984032549666, ""82"": 0.20831466493173512, ""43"": 0.20831466493173512, ""59"": 1.0}}"
8,foolsgold,foolsgold,"[4, 49, 20, 21, 74, 46, 10, 82]","[98, 14]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 1.0, ""49"": 0.5800759802158622, ""20"": 1.0, ""21"": 1.0, ""74"": 0.5906325372804812, ""46"": 0.04718163742363474, ""10"": 0.3933742482550744, ""98"": 0.0, ""14"": 0.0, ""82"": 0.10803954867379084}}"
9,foolsgold,foolsgold,"[0, 66, 40, 68, 11]","[55, 5, 49, 94, 54]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 1.0, ""66"": 1.0, ""40"": 0.6946296901214799, ""68"": 0.15969876567206226, ""55"": 0.0, ""11"": 0.3355764775636749, ""5"": 0.0, ""49"": 0.0, ""94"": 0.0, ""54"": 0.0}}"
10,foolsgold,foolsgold,"[95, 85, 8, 24, 50, 38, 54, 76]","[0, 1]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 0.0, ""95"": 0.13990105649604823, ""85"": 0.24126123756500611, ""8"": 1.0, ""24"": 0.24126123756500611, ""50"": 1.0, ""1"": 0.0, ""38"": 0.6597563413320736, ""54"": 0.13990105649604823, ""76"": 0.4752150272419093}}"
11,foolsgold,foolsgold,"[0, 26, 66]","[82, 14, 57, 34, 79, 85, 43]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 1.0, ""82"": 0.0, ""14"": 0.0, ""57"": 0.0, ""34"": 0.0, ""79"": 0.0, ""85"": 0.0, ""43"": 0.0, ""26"": 0.2295379899271794, ""66"": 0.4989721397621028}}"
