epoch,cosine_similarity,l2_distance,backdoor,main
101,1.0000001192092896,760.2633056640625,97.22,61.67
102,1.0,1010.7030029296875,97.13000000000001,61.69
103,1.0000001192092896,1296.919677734375,97.32,61.419999999999995
104,1.0000001192092896,1614.4412841796875,97.23,61.529999999999994
105,1.0,2303.150146484375,97.37,61.07
106,1.0000001192092896,2562.5341796875,97.36,60.73
107,1.0000001192092896,2853.222900390625,97.43,60.6
108,1.0000001192092896,3564.292724609375,97.09,61.12
109,1.0,4378.22119140625,96.56,61.4
110,1.0000001192092896,4704.68701171875,96.0,61.77
111,1.0000001192092896,4861.2119140625,96.00999999999999,61.68
112,1.000000238418579,5075.87451171875,95.88,61.56
113,1.0000001192092896,5339.73046875,95.76,61.51
114,1.0,5930.05224609375,95.53,61.75000000000001
115,1.0,6167.07568359375,95.36,61.82
116,1.0000001192092896,6444.34814453125,95.13000000000001,61.89
117,1.0000001192092896,6752.92529296875,95.05,61.86000000000001
118,1.000000238418579,7732.3232421875,94.01,62.370000000000005
119,1.000000238418579,7906.736328125,93.84,62.32
120,1.000000238418579,8443.392578125,93.7,62.36000000000001
121,1.000000238418579,8644.638671875,93.45,62.580000000000005
122,1.000000238418579,8895.078125,93.57,62.480000000000004
123,1.0000001192092896,9539.0654296875,93.42,62.46000000000001
124,1.000000238418579,9771.6171875,93.31,62.480000000000004
125,1.000000238418579,10044.4169921875,93.13,62.46000000000001
126,1.0,10348.5224609375,93.33,62.4
127,1.0000001192092896,10674.98828125,93.36,62.370000000000005
128,1.0000001192092896,11457.6123046875,93.4,62.39
129,1.0000001192092896,11712.5234375,93.22,62.38
130,1.0000001192092896,12003.212890625,93.21000000000001,62.419999999999995
131,1.0,12311.791015625,93.17999999999999,62.39
132,1.0,12642.728515625,92.85,62.59
133,1.0,13389.5751953125,92.92,62.5
134,1.0,13921.759765625,92.7,62.38
135,1.0,14149.837890625,92.27,62.5
136,1.0,14713.328125,91.88,62.59
137,1.0,14932.4619140625,91.95,62.62
138,1.0,15196.318359375,91.9,62.5
139,1.0,16010.2470703125,91.51,62.43
140,1.0,16479.822265625,91.27,62.72
141,0.9999999403953552,16654.234375,91.14,62.63999999999999
142,0.9999999403953552,16886.78515625,90.74,62.8
143,0.9999999403953552,17155.11328125,91.09,62.55
144,0.9999999403953552,17454.74609375,90.75999999999999,62.580000000000005
145,1.0,17785.685546875,90.64999999999999,62.64999999999999
146,0.9999999403953552,18125.56640625,90.75,62.629999999999995
147,0.9999999403953552,18872.4140625,91.09,62.64999999999999
148,0.9999999403953552,19136.26953125,90.68,62.839999999999996
149,0.9999999403953552,19431.4296875,90.82000000000001,62.82
150,0.9999999403953552,19753.423828125,90.89,62.69
151,0.9999998807907104,20102.25,91.05,62.43
152,1.0,20460.021484375,91.03,62.480000000000004
153,1.0,20831.208984375,91.02,62.31
154,0.9999999403953552,21206.869140625,91.06,62.46000000000001
155,1.0,21587.0,90.84,62.480000000000004
156,0.9999999403953552,21971.603515625,90.53,62.6
157,1.0,22351.734375,90.77,62.43
158,1.0,22731.865234375,90.44,62.55
159,1.0,23536.8515625,90.01,62.519999999999996
160,0.9999998807907104,24109.28515625,90.23,62.51
161,0.9999998807907104,24341.8359375,90.47,62.36000000000001
162,1.0,24619.107421875,90.28,62.43
163,1.0,24927.685546875,90.19,62.529999999999994
164,0.9999998807907104,25254.150390625,89.78,62.580000000000005
165,0.9999998807907104,25602.9765625,89.8,62.470000000000006
166,0.9999998807907104,25965.22265625,89.24,62.68
167,0.9999998807907104,26331.935546875,89.53999999999999,62.580000000000005
168,0.9999998807907104,26703.123046875,89.56,62.38
169,0.9999998807907104,27078.783203125,89.75999999999999,62.45
170,1.0,28111.84765625,88.86,62.57
171,0.9999999403953552,28603.783203125,89.3,62.63999999999999
172,0.9999999403953552,29010.74609375,87.92999999999999,62.73
173,0.9999999403953552,29203.048828125,87.45,62.72
