epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
1,rflbat,success,"[1, 10, 51, 26, 32, 3, 71, 38, 50, 6]","[10, 51, 26, 32, 71, 38, 50, 6]","[1, 3]",10,8,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_16.53.02_rflbat_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0001_rflbat.pkl
2,rflbat,success,"[2, 99, 33, 58, 12, 54, 43, 5, 34, 14]","[99, 33, 58, 12, 54, 43, 5, 34, 14]",[2],10,9,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_16.53.02_rflbat_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0002_rflbat.pkl
3,rflbat,success,"[0, 70, 37, 24, 63, 40, 4, 49, 21, 66]","[70, 37, 24, 63, 40, 49, 21, 66]","[0, 4]",10,8,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_16.53.02_rflbat_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0003_rflbat.pkl
4,rflbat,success,"[1, 71, 25, 6, 16, 39, 86, 47, 61, 65]","[71, 25, 6, 16, 39, 86, 47, 61, 65]",[1],10,9,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_16.53.02_rflbat_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0004_rflbat.pkl
5,rflbat,success,"[2, 68, 50, 75, 72, 6, 45, 92, 47, 63]","[68, 50, 75, 72, 6, 45, 92, 47, 63]",[2],10,9,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_16.53.02_rflbat_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0005_rflbat.pkl
6,rflbat,success,"[3, 61, 37, 82, 69, 46, 56, 42, 20, 84]","[61, 37, 82, 69, 46, 56, 42, 84]","[3, 20]",10,8,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_16.53.02_rflbat_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0006_rflbat.pkl
7,rflbat,success,"[2, 27, 24, 6, 73, 92, 32, 49, 10, 29]","[27, 24, 6, 73, 92, 32, 49, 10, 29]",[2],10,9,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_16.53.02_rflbat_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0007_rflbat.pkl
8,rflbat,success,"[1, 7, 4, 23, 64, 82, 49, 31, 92, 18]","[7, 23, 64, 49, 31, 18]","[1, 4, 82, 92]",10,6,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_16.53.02_rflbat_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0008_rflbat.pkl
9,rflbat,success,"[0, 37, 8, 17, 51, 76, 83, 87, 50, 29]","[37, 8, 17, 83, 87, 50, 29]","[0, 51, 76]",10,7,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_16.53.02_rflbat_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0009_rflbat.pkl
10,rflbat,success,"[4, 8, 34, 37, 59, 42, 11, 45, 31, 63]","[34, 37, 42, 11, 45, 31, 63]","[4, 8, 59]",10,7,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_16.53.02_rflbat_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0010_rflbat.pkl
11,rflbat,success,"[0, 83, 10, 2, 51, 90, 79, 78, 37, 85]","[51, 90, 37, 85]","[0, 83, 10, 2, 79, 78]",10,4,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_16.53.02_rflbat_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0011_rflbat.pkl
12,rflbat,success,"[3, 53, 90, 21, 22, 98, 20, 5, 70, 49]","[53, 90, 21, 22, 98, 20, 5, 70, 49]",[3],10,9,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_16.53.02_rflbat_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0012_rflbat.pkl
13,rflbat,success,"[2, 40, 59, 60, 3, 50, 36, 70, 11, 27]","[40, 59, 60, 50, 36, 70, 11, 27]","[2, 3]",10,8,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_16.53.02_rflbat_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0013_rflbat.pkl
14,rflbat,success,"[2, 17, 69, 56, 52, 23, 19, 64, 13, 80]","[17, 69, 56, 52, 23, 19, 64, 13, 80]",[2],10,9,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_16.53.02_rflbat_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0014_rflbat.pkl
15,rflbat,success,"[2, 45, 49, 89, 96, 79, 57, 46, 5, 62]","[45, 49, 89, 96, 79, 57, 46, 5, 62]",[2],10,9,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_16.53.02_rflbat_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0015_rflbat.pkl
16,rflbat,success,"[3, 66, 25, 17, 82, 65, 37, 42, 67, 15]","[66, 25, 17, 82, 65, 37, 42, 67, 15]",[3],10,9,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_16.53.02_rflbat_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0016_rflbat.pkl
17,rflbat,success,"[3, 29, 76, 2, 58, 36, 17, 85, 50, 55]","[58, 50, 55]","[3, 29, 76, 2, 36, 17, 85]",10,3,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_16.53.02_rflbat_fix_True_no-mia_no-mia-class_no-noise_modelreplace_5/agg_records/pkl/round_0017_rflbat.pkl
