epoch,method,stage,selected,rejected,human
1,rflbat,rflbat_first_distance_filter,"[1, 10, 51, 26, 32, 3, 71, 38, 50, 6, 10, 51, 26, 32, 3, 71, 38, 50, 6]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 7.199472510399154}"
1,rflbat,rflbat_cluster_filter,"[10, 51, 26, 32, 71, 38, 50, 6, 10, 51, 26, 32, 71, 38, 50, 6]","[1, 3]","{""accepted_indices"": [1, 2, 3, 4, 6, 7, 8, 9, 1, 2, 3, 4, 6, 7, 8, 9], ""num_clusters"": 3, ""cluster_scores"": [0.9999999999997482, 0.13222762063786764, 1]}"
1,rflbat,rflbat_final_distance_filter,"[10, 51, 26, 32, 71, 38, 50, 6]","[1, 3]","{""accepted_indices"": [1, 2, 3, 4, 6, 7, 8, 9, 1, 2, 3, 4, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 0.08971619603489778}"
2,rflbat,rflbat_first_distance_filter,"[2, 99, 33, 58, 12, 54, 43, 5, 34, 14, 99, 33, 58, 12, 54, 43, 5, 34, 14]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 3.9620411685694052}"
2,rflbat,rflbat_cluster_filter,"[2, 99, 33, 58, 12, 54, 43, 5, 34, 14, 99, 33, 58, 12, 54, 43, 5, 34, 14]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.12264078596010823]}"
2,rflbat,rflbat_final_distance_filter,"[99, 33, 58, 12, 54, 43, 5, 34, 14]",[2],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 4.242540987965478}"
3,rflbat,rflbat_first_distance_filter,"[0, 70, 37, 24, 63, 40, 4, 49, 21, 66, 70, 37, 24, 63, 40, 4, 49, 21, 66]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 7.063556763159012}"
3,rflbat,rflbat_cluster_filter,"[70, 37, 24, 63, 40, 49, 21, 66, 70, 37, 24, 63, 40, 49, 21, 66]","[0, 4]","{""accepted_indices"": [1, 2, 3, 4, 5, 7, 8, 9, 1, 2, 3, 4, 5, 7, 8, 9], ""num_clusters"": 3, ""cluster_scores"": [0.13541254769074285, 0.9999999999996829, 1]}"
3,rflbat,rflbat_final_distance_filter,"[70, 37, 24, 63, 40, 49, 21, 66]","[0, 4]","{""accepted_indices"": [1, 2, 3, 4, 5, 7, 8, 9, 1, 2, 3, 4, 5, 7, 8, 9], ""eps2"": 6, ""distance_median"": 0.0472398438365569}"
4,rflbat,rflbat_first_distance_filter,"[1, 71, 25, 6, 16, 39, 86, 47, 61, 65, 71, 25, 6, 16, 39, 86, 47, 61, 65]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 4.3771251283133985}"
4,rflbat,rflbat_cluster_filter,"[1, 71, 25, 6, 16, 39, 86, 47, 61, 65, 71, 25, 6, 16, 39, 86, 47, 61, 65]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.10373150200545284]}"
4,rflbat,rflbat_final_distance_filter,"[71, 25, 6, 16, 39, 86, 47, 61, 65]",[1],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 4.645616796255689}"
