epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
1,clip,success,"[1, 10, 51, 26, 32, 3, 71, 38, 50, 6]","[1, 10, 51, 26, 32, 3, 71, 38, 50, 6]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_17.02.44_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0001_clip.pkl
2,clip,success,"[3, 53, 31, 99, 49, 56, 23, 97, 19, 68]","[3, 53, 31, 99, 49, 56, 23, 97, 19, 68]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_17.02.44_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0002_clip.pkl
3,clip,success,"[1, 50, 0, 38, 54, 76, 3, 82, 14, 57]","[1, 50, 0, 38, 54, 76, 3, 82, 14, 57]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_17.02.44_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0003_clip.pkl
4,clip,success,"[1, 88, 36, 20, 28, 68, 74, 25, 45, 35]","[1, 88, 36, 20, 28, 68, 74, 25, 45, 35]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_17.02.44_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0004_clip.pkl
5,clip,success,"[0, 64, 98, 11, 33, 59, 74, 41, 46, 95]","[0, 64, 98, 11, 33, 59, 74, 41, 46, 95]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_17.02.44_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0005_clip.pkl
6,clip,success,"[3, 78, 56, 22, 43, 6, 42, 98, 8, 62]","[3, 78, 56, 22, 43, 6, 42, 98, 8, 62]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_17.02.44_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0006_clip.pkl
7,clip,success,"[3, 83, 51, 46, 33, 27, 77, 75, 76, 35]","[3, 83, 51, 46, 33, 27, 77, 75, 76, 35]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_17.02.44_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0007_clip.pkl
8,clip,success,"[0, 43, 75, 4, 41, 16, 72, 17, 28, 60]","[0, 43, 75, 4, 41, 16, 72, 17, 28, 60]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_17.02.44_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0008_clip.pkl
9,clip,success,"[3, 43, 87, 63, 97, 27, 62, 38, 36, 77]","[3, 43, 87, 63, 97, 27, 62, 38, 36, 77]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_17.02.44_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0009_clip.pkl
10,clip,success,"[0, 40, 28, 75, 32, 47, 15, 52, 3, 18]","[0, 40, 28, 75, 32, 47, 15, 52, 3, 18]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_17.02.44_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0010_clip.pkl
11,clip,success,"[2, 32, 63, 50, 35, 21, 79, 66, 30, 97]","[2, 32, 63, 50, 35, 21, 79, 66, 30, 97]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_17.02.44_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0011_clip.pkl
12,clip,success,"[2, 35, 94, 63, 26, 87, 84, 58, 60, 5]","[2, 35, 94, 63, 26, 87, 84, 58, 60, 5]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_17.02.44_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0012_clip.pkl
13,clip,success,"[4, 94, 75, 13, 7, 67, 96, 2, 38, 15]","[4, 94, 75, 13, 7, 67, 96, 2, 38, 15]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_17.02.44_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0013_clip.pkl
14,clip,success,"[1, 40, 98, 9, 16, 5, 34, 69, 43, 57]","[1, 40, 98, 9, 16, 5, 34, 69, 43, 57]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_17.02.44_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0014_clip.pkl
15,clip,success,"[2, 13, 93, 90, 45, 87, 72, 43, 48, 25]","[2, 13, 93, 90, 45, 87, 72, 43, 48, 25]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_17.02.44_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0015_clip.pkl
16,clip,success,"[2, 5, 57, 48, 53, 6, 20, 31, 16, 7]","[2, 5, 57, 48, 53, 6, 20, 31, 16, 7]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_17.02.44_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0016_clip.pkl
