epoch,method,stage,selected,rejected,human
1,clip,clip,"[1, 10, 51, 26, 32, 3, 71, 38, 50, 6]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
2,clip,clip,"[3, 53, 31, 99, 49, 56, 23, 97, 19, 68]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
3,clip,clip,"[1, 50, 0, 38, 54, 76, 3, 82, 14, 57]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
4,clip,clip,"[1, 88, 36, 20, 28, 68, 74, 25, 45, 35]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
5,clip,clip,"[0, 64, 98, 11, 33, 59, 74, 41, 46, 95]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
6,clip,clip,"[3, 78, 56, 22, 43, 6, 42, 98, 8, 62]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
7,clip,clip,"[3, 83, 51, 46, 33, 27, 77, 75, 76, 35]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
8,clip,clip,"[0, 43, 75, 4, 41, 16, 72, 17, 28, 60]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
9,clip,clip,"[3, 43, 87, 63, 97, 27, 62, 38, 36, 77]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
10,clip,clip,"[0, 40, 28, 75, 32, 47, 15, 52, 3, 18]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
11,clip,clip,"[2, 32, 63, 50, 35, 21, 79, 66, 30, 97]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
12,clip,clip,"[2, 35, 94, 63, 26, 87, 84, 58, 60, 5]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
13,clip,clip,"[4, 94, 75, 13, 7, 67, 96, 2, 38, 15]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
14,clip,clip,"[1, 40, 98, 9, 16, 5, 34, 69, 43, 57]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
