epoch,method,stage,selected,rejected,human
1,deepsight,deepsight_ensemble_cluster,"[1, 10, 51, 26, 32, 3, 71, 38, 50, 6]",[],"{""cosine_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""neup_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ddif_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ensemble_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]}"
1,deepsight,deepsight_final_filter,"[1, 10, 51, 26, 32, 3, 71, 38, 50, 6]",[],"{""n_exceeds"": [1, 5, 4, 5, 18, 1, 1, 52, 19, 12], ""classification_boundary"": 2.5, ""identified_mals"": [1, 0, 0, 0, 0, 1, 1, 0, 0, 0], ""clusters"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""deleted_cluster_ids"": []}"
2,deepsight,deepsight_ensemble_cluster,"[0, 61, 21, 96, 51, 20, 66, 99, 2, 31]",[],"{""cosine_cluster"": [-1, 0, 0, 0, 0, 0, 0, 0, -1, 0], ""neup_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ddif_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ensemble_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]}"
2,deepsight,deepsight_final_filter,"[0, 61, 21, 96, 51, 20, 66, 99, 2, 31]",[],"{""n_exceeds"": [12, 1, 1, 1, 1, 1, 1, 1, 16, 1], ""classification_boundary"": 0.5, ""identified_mals"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""clusters"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""deleted_cluster_ids"": []}"
3,deepsight,deepsight_ensemble_cluster,"[1, 90, 52, 40, 78, 7, 66, 37, 86, 64]",[],"{""cosine_cluster"": [-1, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""neup_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ddif_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ensemble_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]}"
3,deepsight,deepsight_final_filter,"[1, 90, 52, 40, 78, 7, 66, 37, 86, 64]",[],"{""n_exceeds"": [1, 1, 1, 2, 1, 1, 1, 1, 3, 1], ""classification_boundary"": 0.5, ""identified_mals"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""clusters"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""deleted_cluster_ids"": []}"
4,deepsight,deepsight_ensemble_cluster,"[2, 74, 11, 81, 12, 56, 31, 33, 84, 91]",[],"{""cosine_cluster"": [-1, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""neup_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ddif_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ensemble_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]}"
4,deepsight,deepsight_final_filter,"[2, 74, 11, 81, 12, 56, 31, 33, 84, 91]",[],"{""n_exceeds"": [1, 1, 1, 1, 1, 1, 1, 2, 1, 1], ""classification_boundary"": 0.5, ""identified_mals"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""clusters"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""deleted_cluster_ids"": []}"
5,deepsight,deepsight_ensemble_cluster,"[1, 88, 5, 30, 13, 8, 92, 89, 50, 53]",[],"{""cosine_cluster"": [-1, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""neup_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ddif_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ensemble_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]}"
5,deepsight,deepsight_final_filter,"[1, 88, 5, 30, 13, 8, 92, 89, 50, 53]",[],"{""n_exceeds"": [1, 2, 1, 3, 3, 3, 1, 1, 1, 1], ""classification_boundary"": 0.5, ""identified_mals"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""clusters"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""deleted_cluster_ids"": []}"
6,deepsight,deepsight_ensemble_cluster,"[1, 99, 49, 56, 23, 97, 19, 68, 36, 47]",[],"{""cosine_cluster"": [-1, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""neup_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ddif_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ensemble_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]}"
6,deepsight,deepsight_final_filter,"[1, 99, 49, 56, 23, 97, 19, 68, 36, 47]",[],"{""n_exceeds"": [2, 2, 1, 2, 2, 2, 1, 3, 3, 2], ""classification_boundary"": 1.0, ""identified_mals"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0], ""clusters"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""deleted_cluster_ids"": []}"
7,deepsight,deepsight_ensemble_cluster,"[2, 40, 10, 38, 97, 0, 69, 82, 43, 59]",[],"{""cosine_cluster"": [-1, 0, 0, 0, 0, -1, 0, 0, 0, 0], ""neup_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ddif_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ensemble_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]}"
7,deepsight,deepsight_final_filter,"[2, 40, 10, 38, 97, 0, 69, 82, 43, 59]",[],"{""n_exceeds"": [1, 1, 2, 1, 1, 1, 1, 2, 3, 2], ""classification_boundary"": 0.5, ""identified_mals"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""clusters"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""deleted_cluster_ids"": []}"
8,deepsight,deepsight_ensemble_cluster,"[4, 49, 20, 21, 74, 46, 10, 98, 14, 82]",[],"{""cosine_cluster"": [-1, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""neup_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ddif_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ensemble_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]}"
8,deepsight,deepsight_final_filter,"[4, 49, 20, 21, 74, 46, 10, 98, 14, 82]",[],"{""n_exceeds"": [33, 1, 2, 1, 1, 1, 1, 1, 1, 1], ""classification_boundary"": 0.5, ""identified_mals"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""clusters"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""deleted_cluster_ids"": []}"
