epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
1,foolsgold,success,"[1, 10, 51, 26, 32, 3, 71, 38, 50, 6]","[10, 51, 26, 32, 71, 38, 50, 6]","[1, 3]",10,8,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_19.31.43_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0001_foolsgold.pkl
2,foolsgold,success,"[3, 53, 31, 99, 49, 56, 23, 97, 19, 68]","[3, 53, 31, 99, 49, 56, 23, 97, 19, 68]",[],10,10,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_19.31.43_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0002_foolsgold.pkl
3,foolsgold,success,"[1, 50, 0, 38, 54, 76, 3, 82, 14, 57]","[50, 38, 54, 76, 82, 14, 57]","[1, 0, 3]",10,7,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_19.31.43_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0003_foolsgold.pkl
4,foolsgold,success,"[1, 88, 36, 20, 28, 68, 74, 25, 45, 35]","[1, 88, 36, 20, 28, 68, 74, 25, 45, 35]",[],10,10,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_19.31.43_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0004_foolsgold.pkl
5,foolsgold,success,"[0, 64, 98, 11, 33, 59, 74, 41, 46, 95]","[0, 64, 98, 11, 33, 59, 74, 41, 46, 95]",[],10,10,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_19.31.43_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0005_foolsgold.pkl
6,foolsgold,success,"[3, 78, 56, 22, 43, 6, 42, 98, 8, 62]","[3, 78, 56, 22, 43, 6, 42, 98, 8, 62]",[],10,10,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_19.31.43_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0006_foolsgold.pkl
7,foolsgold,success,"[3, 83, 51, 46, 33, 27, 77, 75, 76, 35]","[3, 83, 51, 46, 33, 27, 77, 75, 76, 35]",[],10,10,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_19.31.43_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0007_foolsgold.pkl
8,foolsgold,success,"[0, 43, 75, 4, 41, 16, 72, 17, 28, 60]","[0, 43, 75, 4, 41, 16, 72, 17, 28, 60]",[],10,10,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_19.31.43_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0008_foolsgold.pkl
9,foolsgold,success,"[3, 43, 87, 63, 97, 27, 62, 38, 36, 77]","[3, 43, 87, 63, 97, 27, 62, 38, 36, 77]",[],10,10,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_19.31.43_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0009_foolsgold.pkl
10,foolsgold,success,"[0, 40, 28, 75, 32, 47, 15, 52, 3, 18]","[0, 40, 28, 75, 32, 47, 15, 52, 3, 18]",[],10,10,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_19.31.43_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0010_foolsgold.pkl
11,foolsgold,success,"[2, 32, 63, 50, 35, 21, 79, 66, 30, 97]","[2, 32, 63, 50, 35, 21, 79, 66, 30, 97]",[],10,10,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_19.31.43_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0011_foolsgold.pkl
12,foolsgold,success,"[2, 35, 94, 63, 26, 87, 84, 58, 60, 5]","[2, 35, 94, 63, 26, 87, 84, 58, 60, 5]",[],10,10,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_19.31.43_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0012_foolsgold.pkl
