epoch,method,stage,selected,rejected,human
1,foolsgold,foolsgold,"[10, 51, 26, 32, 71, 38, 50, 6]","[1, 3]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 0.0, ""10"": 1.0, ""51"": 1.0, ""26"": 1.0, ""32"": 1.0, ""3"": 0.0, ""71"": 1.0, ""38"": 1.0, ""50"": 1.0, ""6"": 1.0}}"
2,foolsgold,foolsgold,"[3, 53, 31, 99, 49, 56, 23, 97, 19, 68]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 1.0, ""53"": 1.0, ""31"": 1.0, ""99"": 1.0, ""49"": 1.0, ""56"": 1.0, ""23"": 1.0, ""97"": 1.0, ""19"": 1.0, ""68"": 1.0}}"
3,foolsgold,foolsgold,"[50, 38, 54, 76, 82, 14, 57]","[1, 0, 3]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 0.0, ""50"": 1.0, ""0"": 0.0, ""38"": 1.0, ""54"": 1.0, ""76"": 1.0, ""3"": 0.0, ""82"": 1.0, ""14"": 1.0, ""57"": 1.0}}"
4,foolsgold,foolsgold,"[1, 88, 36, 20, 28, 68, 74, 25, 45, 35]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 1.0, ""88"": 1.0, ""36"": 1.0, ""20"": 1.0, ""28"": 1.0, ""68"": 1.0, ""74"": 1.0, ""25"": 1.0, ""45"": 1.0, ""35"": 1.0}}"
5,foolsgold,foolsgold,"[0, 64, 98, 11, 33, 59, 74, 41, 46, 95]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 1.0, ""64"": 1.0, ""98"": 1.0, ""11"": 1.0, ""33"": 1.0, ""59"": 1.0, ""74"": 1.0, ""41"": 1.0, ""46"": 1.0, ""95"": 1.0}}"
6,foolsgold,foolsgold,"[3, 78, 56, 22, 43, 6, 42, 98, 8, 62]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 1.0, ""78"": 1.0, ""56"": 1.0, ""22"": 1.0, ""43"": 1.0, ""6"": 1.0, ""42"": 1.0, ""98"": 1.0, ""8"": 1.0, ""62"": 1.0}}"
7,foolsgold,foolsgold,"[3, 83, 51, 46, 33, 27, 77, 75, 76, 35]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 1.0, ""83"": 1.0, ""51"": 1.0, ""46"": 1.0, ""33"": 1.0, ""27"": 1.0, ""77"": 1.0, ""75"": 1.0, ""76"": 1.0, ""35"": 1.0}}"
8,foolsgold,foolsgold,"[0, 43, 75, 4, 41, 16, 72, 17, 28, 60]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 1.0, ""43"": 1.0, ""75"": 1.0, ""4"": 1.0, ""41"": 1.0, ""16"": 1.0, ""72"": 1.0, ""17"": 1.0, ""28"": 1.0, ""60"": 1.0}}"
9,foolsgold,foolsgold,"[3, 43, 87, 63, 97, 27, 62, 38, 36, 77]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 1.0, ""43"": 1.0, ""87"": 1.0, ""63"": 1.0, ""97"": 1.0, ""27"": 1.0, ""62"": 1.0, ""38"": 1.0, ""36"": 1.0, ""77"": 1.0}}"
10,foolsgold,foolsgold,"[0, 40, 28, 75, 32, 47, 15, 52, 3, 18]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 0.0920231432250952, ""40"": 1.0, ""28"": 1.0, ""75"": 1.0, ""32"": 1.0, ""47"": 1.0, ""15"": 1.0, ""52"": 1.0, ""3"": 0.0920231432250952, ""18"": 1.0}}"
11,foolsgold,foolsgold,"[2, 32, 63, 50, 35, 21, 79, 66, 30, 97]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 1.0, ""32"": 1.0, ""63"": 1.0, ""50"": 1.0, ""35"": 1.0, ""21"": 1.0, ""79"": 1.0, ""66"": 1.0, ""30"": 1.0, ""97"": 1.0}}"
12,foolsgold,foolsgold,"[2, 35, 94, 63, 26, 87, 84, 58, 60, 5]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 1.0, ""35"": 1.0, ""94"": 1.0, ""63"": 1.0, ""26"": 1.0, ""87"": 1.0, ""84"": 1.0, ""58"": 1.0, ""60"": 1.0, ""5"": 1.0}}"
13,foolsgold,foolsgold,"[4, 94, 75, 13, 7, 67, 96, 2, 38, 15]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 1.0, ""94"": 1.0, ""75"": 1.0, ""13"": 1.0, ""7"": 1.0, ""67"": 1.0, ""96"": 1.0, ""2"": 1.0, ""38"": 1.0, ""15"": 1.0}}"
