epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
1,avg,success,"[1, 10, 51, 26, 32, 3, 71, 38, 50, 6]","[1, 10, 51, 26, 32, 3, 71, 38, 50, 6]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_21.03.09_avg_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0001_avg.pkl
2,avg,success,"[0, 61, 21, 96, 51, 20, 66, 99, 2, 31]","[0, 61, 21, 96, 51, 20, 66, 99, 2, 31]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_21.03.09_avg_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0002_avg.pkl
3,avg,success,"[1, 90, 52, 40, 78, 7, 66, 37, 86, 64]","[1, 90, 52, 40, 78, 7, 66, 37, 86, 64]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_21.03.09_avg_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0003_avg.pkl
4,avg,success,"[2, 74, 11, 81, 12, 56, 31, 33, 84, 91]","[2, 74, 11, 81, 12, 56, 31, 33, 84, 91]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_21.03.09_avg_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0004_avg.pkl
5,avg,success,"[1, 88, 5, 30, 13, 8, 92, 89, 50, 53]","[1, 88, 5, 30, 13, 8, 92, 89, 50, 53]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_21.03.09_avg_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0005_avg.pkl
6,avg,success,"[1, 99, 49, 56, 23, 97, 19, 68, 36, 47]","[1, 99, 49, 56, 23, 97, 19, 68, 36, 47]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_21.03.09_avg_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0006_avg.pkl
7,avg,success,"[2, 40, 10, 38, 97, 0, 69, 82, 43, 59]","[2, 40, 10, 38, 97, 0, 69, 82, 43, 59]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_21.03.09_avg_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0007_avg.pkl
8,avg,success,"[4, 49, 20, 21, 74, 46, 10, 98, 14, 82]","[4, 49, 20, 21, 74, 46, 10, 98, 14, 82]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_21.03.09_avg_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0008_avg.pkl
9,avg,success,"[0, 66, 40, 68, 55, 11, 5, 49, 94, 54]","[0, 66, 40, 68, 55, 11, 5, 49, 94, 54]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_21.03.09_avg_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0009_avg.pkl
10,avg,success,"[0, 95, 85, 8, 24, 50, 1, 38, 54, 76]","[0, 95, 85, 8, 24, 50, 1, 38, 54, 76]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_21.03.09_avg_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0010_avg.pkl
