epoch,method,stage,selected,rejected,human
1,rflbat,rflbat_first_distance_filter,"[1, 10, 51, 26, 32, 3, 71, 38, 50, 6, 10, 51, 26, 32, 3, 71, 38, 50, 6]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 1.246923976726019}"
1,rflbat,rflbat_cluster_filter,"[10, 51, 26, 32, 71, 38, 50, 6, 10, 51, 26, 32, 71, 38, 50, 6]","[1, 3]","{""accepted_indices"": [1, 2, 3, 4, 6, 7, 8, 9, 1, 2, 3, 4, 6, 7, 8, 9], ""num_clusters"": 3, ""cluster_scores"": [1.000000000000711, 0.13685962105956506, 1]}"
1,rflbat,rflbat_final_distance_filter,"[10, 51, 26, 32, 71, 38, 50, 6]","[1, 3]","{""accepted_indices"": [1, 2, 3, 4, 6, 7, 8, 9, 1, 2, 3, 4, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 0.14988747006983755}"
2,rflbat,rflbat_first_distance_filter,"[2, 99, 33, 58, 12, 54, 43, 5, 34, 14, 99, 33, 58, 12, 54, 43, 5, 34, 14]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 0.8632373836413854}"
2,rflbat,rflbat_cluster_filter,"[2, 99, 33, 58, 12, 54, 43, 5, 34, 14, 99, 33, 58, 12, 54, 43, 5, 34, 14]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.12406673109125906]}"
2,rflbat,rflbat_final_distance_filter,"[99, 33, 58, 12, 54, 43, 5, 34, 14]",[2],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 1.1232915437018884}"
3,rflbat,rflbat_first_distance_filter,"[0, 70, 37, 24, 63, 40, 4, 49, 21, 66, 70, 37, 24, 63, 40, 4, 49, 21, 66]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 1.1213287197565176}"
3,rflbat,rflbat_cluster_filter,"[70, 37, 24, 63, 40, 49, 21, 70, 37, 24, 63, 40, 49, 21]","[0, 4, 66]","{""accepted_indices"": [1, 2, 3, 4, 5, 7, 8, 1, 2, 3, 4, 5, 7, 8], ""num_clusters"": 4, ""cluster_scores"": [1.0000000000010876, 1.0000000000004625, 1, 0.1551120257042798]}"
3,rflbat,rflbat_final_distance_filter,"[70, 37, 24, 63, 40, 49, 21]","[0, 4, 66]","{""accepted_indices"": [1, 2, 3, 4, 5, 7, 8, 1, 2, 3, 4, 5, 7, 8], ""eps2"": 6, ""distance_median"": 0.03643851871860881}"
4,rflbat,rflbat_first_distance_filter,"[1, 71, 25, 6, 16, 39, 86, 47, 61, 65, 71, 25, 6, 16, 39, 86, 47, 61, 65]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 0.849029658444747}"
4,rflbat,rflbat_cluster_filter,"[1, 71, 25, 6, 16, 39, 86, 47, 61, 65, 71, 25, 6, 16, 39, 86, 47, 61, 65]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.1004093269520165]}"
4,rflbat,rflbat_final_distance_filter,"[71, 25, 6, 16, 39, 86, 47, 61, 65]",[1],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 1.1076964915378722}"
5,rflbat,rflbat_first_distance_filter,"[2, 68, 50, 75, 72, 6, 45, 92, 47, 63, 68, 50, 75, 72, 6, 45, 92, 47, 63]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 0.8552728870594821}"
5,rflbat,rflbat_cluster_filter,"[2, 68, 50, 75, 72, 6, 45, 92, 47, 63, 68, 50, 75, 72, 6, 45, 92, 47, 63]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.10568472148127428]}"
5,rflbat,rflbat_final_distance_filter,"[68, 50, 75, 72, 6, 45, 92, 47, 63]",[2],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 1.1364932743986893}"
