epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
1,rflbat,success,"[1, 10, 51, 26, 32, 3, 71, 38, 50, 6]","[10, 51, 26, 32, 3, 71, 38, 50, 6]",[1],10,9,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_22.08.33_rflbat_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0001_rflbat.pkl
2,rflbat,success,"[4, 6, 33, 77, 65, 63, 55, 18, 2, 78]","[6, 33, 77, 65, 63, 55, 18, 78]","[4, 2]",10,8,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_22.08.33_rflbat_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0002_rflbat.pkl
3,rflbat,success,"[2, 55, 75, 78, 28, 99, 20, 61, 53, 90]","[55, 75, 78, 28, 99, 20, 61, 53, 90]",[2],10,9,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_22.08.33_rflbat_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0003_rflbat.pkl
4,rflbat,success,"[4, 14, 72, 10, 47, 45, 27, 85, 75, 24]","[14, 72, 10, 47, 45, 27, 85, 75, 24]",[4],10,9,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_22.08.33_rflbat_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0004_rflbat.pkl
5,rflbat,success,"[1, 58, 68, 78, 22, 70, 85, 87, 21, 34]","[58, 68, 78, 22, 70, 85, 87, 21, 34]",[1],10,9,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_22.08.33_rflbat_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0005_rflbat.pkl
6,rflbat,success,"[2, 22, 70, 94, 51, 5, 11, 63, 89, 83]","[22, 70, 94, 51, 5, 11, 63, 89, 83]",[2],10,9,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_22.08.33_rflbat_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0006_rflbat.pkl
7,rflbat,success,"[0, 63, 3, 20, 42, 33, 39, 77, 50, 41]","[63, 20, 42, 33, 39, 77, 50, 41]","[0, 3]",10,8,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_22.08.33_rflbat_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0007_rflbat.pkl
8,rflbat,success,"[3, 69, 93, 74, 82, 73, 92, 95, 20, 96]","[69, 93, 74, 82, 73, 92, 95, 20, 96]",[3],10,9,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_22.08.33_rflbat_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0008_rflbat.pkl
9,rflbat,success,"[3, 29, 56, 9, 64, 40, 41, 59, 97, 34]","[29, 56, 9, 64, 40, 41, 59, 97, 34]",[3],10,9,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_22.08.33_rflbat_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0009_rflbat.pkl
10,rflbat,success,"[3, 16, 90, 52, 63, 81, 67, 95, 92, 66]","[16, 90, 52, 63, 81, 67, 95, 92, 66]",[3],10,9,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar100_500_Jul.02_22.08.33_rflbat_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0010_rflbat.pkl
