epoch,method,stage,selected,rejected,human
1,rflbat,rflbat_first_distance_filter,"[1, 10, 51, 26, 32, 3, 71, 38, 50, 6, 10, 51, 26, 32, 3, 71, 38, 50, 6]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 10.173347020707096}"
1,rflbat,rflbat_cluster_filter,"[1, 10, 51, 26, 32, 3, 71, 38, 50, 6, 10, 51, 26, 32, 3, 71, 38, 50, 6]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.11121344464560882]}"
1,rflbat,rflbat_final_distance_filter,"[10, 51, 26, 32, 3, 71, 38, 50, 6]",[1],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 14.025560378704647}"
2,rflbat,rflbat_first_distance_filter,"[4, 6, 33, 77, 65, 63, 55, 18, 2, 78, 6, 33, 77, 65, 63, 55, 18, 2, 78]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 9.112343189661807}"
2,rflbat,rflbat_cluster_filter,"[6, 33, 77, 65, 63, 55, 18, 78, 6, 33, 77, 65, 63, 55, 18, 78]","[4, 2]","{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 9, 1, 2, 3, 4, 5, 6, 7, 9], ""num_clusters"": 3, ""cluster_scores"": [0.14111051091353943, 0.9999999999995037, 1]}"
2,rflbat,rflbat_final_distance_filter,"[6, 33, 77, 65, 63, 55, 18, 78]","[4, 2]","{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 9, 1, 2, 3, 4, 5, 6, 7, 9], ""eps2"": 6, ""distance_median"": 0.013726044282040705}"
3,rflbat,rflbat_first_distance_filter,"[2, 55, 75, 78, 28, 99, 20, 61, 53, 90, 55, 75, 78, 28, 99, 20, 61, 53, 90]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 4.795988743243225}"
3,rflbat,rflbat_cluster_filter,"[55, 75, 78, 28, 99, 20, 61, 53, 90, 55, 75, 78, 28, 99, 20, 61, 53, 90]",[2],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 2, ""cluster_scores"": [0.11088645670019784, 1]}"
3,rflbat,rflbat_final_distance_filter,"[55, 75, 78, 28, 99, 20, 61, 53, 90]",[2],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 0.4322864573419761}"
4,rflbat,rflbat_first_distance_filter,"[4, 14, 72, 10, 47, 45, 27, 85, 75, 24, 14, 72, 10, 47, 45, 27, 85, 75, 24]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 4.8260552095424485}"
4,rflbat,rflbat_cluster_filter,"[14, 72, 10, 47, 45, 27, 85, 75, 24, 14, 72, 10, 47, 45, 27, 85, 75, 24]",[4],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 2, ""cluster_scores"": [0.14519574402258223, 1]}"
4,rflbat,rflbat_final_distance_filter,"[14, 72, 10, 47, 45, 27, 85, 75, 24]",[4],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 0.5083309366240177}"
5,rflbat,rflbat_first_distance_filter,"[1, 58, 68, 78, 22, 70, 85, 87, 21, 34, 58, 68, 78, 22, 70, 85, 87, 21, 34]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 6.239057787595364}"
5,rflbat,rflbat_cluster_filter,"[1, 58, 68, 78, 22, 70, 85, 87, 21, 34, 58, 68, 78, 22, 70, 85, 87, 21, 34]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.1118707237636865]}"
5,rflbat,rflbat_final_distance_filter,"[58, 68, 78, 22, 70, 85, 87, 21, 34]",[1],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 6.467248645234999}"
6,rflbat,rflbat_first_distance_filter,"[2, 22, 70, 94, 51, 5, 11, 63, 89, 83, 22, 70, 94, 51, 5, 11, 63, 89, 83]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 4.7598504508821815}"
6,rflbat,rflbat_cluster_filter,"[2, 22, 70, 94, 51, 5, 11, 63, 89, 83, 22, 70, 94, 51, 5, 11, 63, 89, 83]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.10881694083731598]}"
6,rflbat,rflbat_final_distance_filter,"[22, 70, 94, 51, 5, 11, 63, 89, 83]",[2],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 4.920731678055731}"
7,rflbat,rflbat_first_distance_filter,"[0, 63, 3, 20, 42, 33, 39, 77, 50, 41, 63, 3, 20, 42, 33, 39, 77, 50, 41]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 7.163520490565945}"
7,rflbat,rflbat_cluster_filter,"[63, 20, 42, 33, 39, 77, 50, 41, 63, 20, 42, 33, 39, 77, 50, 41]","[0, 3]","{""accepted_indices"": [1, 3, 4, 5, 6, 7, 8, 9, 1, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 3, ""cluster_scores"": [0.13003277334484964, 0.9999999999993573, 1]}"
7,rflbat,rflbat_final_distance_filter,"[63, 20, 42, 33, 39, 77, 50, 41]","[0, 3]","{""accepted_indices"": [1, 3, 4, 5, 6, 7, 8, 9, 1, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 0.012580573366420017}"
8,rflbat,rflbat_first_distance_filter,"[3, 69, 93, 74, 82, 73, 92, 95, 20, 96, 69, 93, 74, 82, 73, 92, 95, 20, 96]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 3.7489796641627136}"
8,rflbat,rflbat_cluster_filter,"[3, 69, 93, 74, 82, 73, 92, 95, 20, 96, 69, 93, 74, 82, 73, 92, 95, 20, 96]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.12042933824472261]}"
8,rflbat,rflbat_final_distance_filter,"[69, 93, 74, 82, 73, 92, 95, 20, 96]",[3],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 4.009864616894656}"
9,rflbat,rflbat_first_distance_filter,"[3, 29, 56, 9, 64, 40, 41, 59, 97, 34, 29, 56, 9, 64, 40, 41, 59, 97, 34]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 4.557404885790689}"
9,rflbat,rflbat_cluster_filter,"[29, 56, 9, 64, 40, 41, 59, 97, 34, 29, 56, 9, 64, 40, 41, 59, 97, 34]",[3],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 2, ""cluster_scores"": [0.12553363835156336, 1]}"
9,rflbat,rflbat_final_distance_filter,"[29, 56, 9, 64, 40, 41, 59, 97, 34]",[3],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 0.5385996145699591}"
10,rflbat,rflbat_first_distance_filter,"[3, 16, 90, 52, 63, 81, 67, 95, 92, 66, 16, 90, 52, 63, 81, 67, 95, 92, 66]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 3.8500887613835326}"
10,rflbat,rflbat_cluster_filter,"[3, 16, 90, 52, 63, 81, 67, 95, 92, 66, 16, 90, 52, 63, 81, 67, 95, 92, 66]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.1105874339477977]}"
10,rflbat,rflbat_final_distance_filter,"[16, 90, 52, 63, 81, 67, 95, 92, 66]",[3],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 4.030037254215151}"
11,rflbat,rflbat_first_distance_filter,"[1, 47, 69, 85, 5, 94, 96, 77, 36, 79, 47, 69, 85, 5, 94, 96, 77, 36, 79]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 6.309421219756724}"
11,rflbat,rflbat_cluster_filter,"[47, 69, 85, 5, 94, 96, 77, 36, 79, 47, 69, 85, 5, 94, 96, 77, 36, 79]",[1],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 2, ""cluster_scores"": [0.11124039027183039, 1]}"
11,rflbat,rflbat_final_distance_filter,"[47, 69, 85, 5, 94, 96, 77, 36, 79]",[1],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 0.4644214248577803}"
12,rflbat,rflbat_first_distance_filter,"[2, 21, 92, 59, 95, 5, 78, 60, 68, 48, 21, 92, 59, 95, 5, 78, 60, 68, 48]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 5.253756680123581}"
12,rflbat,rflbat_cluster_filter,"[2, 21, 92, 59, 95, 5, 78, 60, 68, 48, 21, 92, 59, 95, 5, 78, 60, 68, 48]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.10277772570328761]}"
12,rflbat,rflbat_final_distance_filter,"[21, 92, 59, 95, 5, 78, 60, 68, 48]",[2],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 5.5728342633977554}"
13,rflbat,rflbat_first_distance_filter,"[2, 44, 1, 3, 78, 62, 7, 55, 35, 85, 44, 1, 3, 78, 62, 7, 55, 35, 85]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 14.087023446577536}"
13,rflbat,rflbat_cluster_filter,"[2, 44, 1, 3, 78, 62, 7, 55, 35, 85, 44, 1, 3, 78, 62, 7, 55, 35, 85]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.11577528283351611]}"
13,rflbat,rflbat_final_distance_filter,"[2, 44, 1, 3, 78, 62, 7, 55, 35, 85]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 23.285170299380777}"
14,rflbat,rflbat_first_distance_filter,"[4, 21, 10, 9, 40, 32, 82, 49, 64, 71, 21, 10, 9, 40, 32, 82, 49, 64, 71]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 4.38126318177373}"
14,rflbat,rflbat_cluster_filter,"[4, 21, 10, 9, 40, 32, 82, 49, 64, 71, 21, 10, 9, 40, 32, 82, 49, 64, 71]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.11531331352439618]}"
14,rflbat,rflbat_final_distance_filter,"[21, 10, 9, 40, 32, 82, 49, 64, 71]",[4],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 4.635255393601196}"
15,rflbat,rflbat_first_distance_filter,"[4, 45, 15, 81, 14, 58, 55, 85, 92, 90, 45, 15, 81, 14, 58, 55, 85, 92, 90]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 4.222868097628826}"
15,rflbat,rflbat_cluster_filter,"[45, 15, 81, 14, 58, 55, 85, 92, 90, 45, 15, 81, 14, 58, 55, 85, 92, 90]",[4],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 2, ""cluster_scores"": [0.12231887106257638, 1]}"
15,rflbat,rflbat_final_distance_filter,"[45, 15, 81, 14, 58, 55, 85, 92, 90]",[4],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 0.45769445470501346}"
16,rflbat,rflbat_first_distance_filter,"[0, 57, 94, 41, 1, 56, 6, 89, 76, 38, 57, 94, 41, 1, 56, 6, 89, 76, 38]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 8.87326588720558}"
16,rflbat,rflbat_cluster_filter,"[0, 57, 94, 41, 1, 56, 6, 89, 76, 38, 57, 94, 41, 1, 56, 6, 89, 76, 38]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.12646612567143942]}"
16,rflbat,rflbat_final_distance_filter,"[0, 57, 94, 41, 56, 6, 89, 76, 38]",[1],"{""accepted_indices"": [0, 1, 2, 3, 5, 6, 7, 8, 9, 1, 2, 3, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 14.256277641489676}"
17,rflbat,rflbat_first_distance_filter,"[1, 80, 34, 21, 69, 70, 10, 15, 55, 56, 80, 34, 21, 69, 70, 10, 15, 55, 56]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 5.227659282423902}"
17,rflbat,rflbat_cluster_filter,"[80, 34, 21, 69, 70, 10, 15, 55, 56, 80, 34, 21, 69, 70, 10, 15, 55, 56]",[1],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 2, ""cluster_scores"": [0.12720721750209948, 1]}"
17,rflbat,rflbat_final_distance_filter,"[80, 34, 21, 69, 70, 10, 15, 55, 56]",[1],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 0.36970312685571005}"
18,rflbat,rflbat_first_distance_filter,"[2, 10, 51, 78, 53, 11, 28, 63, 1, 32, 10, 51, 78, 53, 11, 28, 63, 1, 32]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 8.885807853660477}"
18,rflbat,rflbat_cluster_filter,"[2, 10, 51, 78, 53, 11, 28, 63, 1, 32, 10, 51, 78, 53, 11, 28, 63, 1, 32]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.11465435890932714]}"
18,rflbat,rflbat_final_distance_filter,"[2, 10, 51, 78, 53, 11, 28, 63, 32]",[1],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 9, 1, 2, 3, 4, 5, 6, 7, 9], ""eps2"": 6, ""distance_median"": 14.085917897760787}"
19,rflbat,rflbat_first_distance_filter,"[3, 89, 24, 83, 70, 42, 7, 49, 74, 52, 89, 24, 83, 70, 42, 7, 49, 74, 52]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 3.2039413798873815}"
19,rflbat,rflbat_cluster_filter,"[89, 24, 83, 70, 42, 7, 49, 52, 89, 24, 83, 70, 42, 7, 49, 52]","[3, 74]","{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 9, 1, 2, 3, 4, 5, 6, 7, 9], ""num_clusters"": 3, ""cluster_scores"": [0.13637804197742293, 1, 1.0000000000009936]}"
19,rflbat,rflbat_final_distance_filter,"[89, 24, 83, 70, 42, 7, 49, 52]","[3, 74]","{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 9, 1, 2, 3, 4, 5, 6, 7, 9], ""eps2"": 6, ""distance_median"": 0.14870800288036407}"
20,rflbat,rflbat_first_distance_filter,"[3, 85, 87, 89, 29, 2, 13, 76, 17, 34, 85, 87, 89, 29, 2, 13, 76, 17, 34]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 6.578995657822237}"
20,rflbat,rflbat_cluster_filter,"[85, 87, 89, 29, 13, 76, 17, 34, 85, 87, 89, 29, 13, 76, 17, 34]","[3, 2]","{""accepted_indices"": [1, 2, 3, 4, 6, 7, 8, 9, 1, 2, 3, 4, 6, 7, 8, 9], ""num_clusters"": 3, ""cluster_scores"": [0.13407131363301855, 0.9999999999993578, 1]}"
20,rflbat,rflbat_final_distance_filter,"[85, 87, 89, 29, 13, 76, 17, 34]","[3, 2]","{""accepted_indices"": [1, 2, 3, 4, 6, 7, 8, 9, 1, 2, 3, 4, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 0.013649889403986766}"
21,rflbat,rflbat_first_distance_filter,"[3, 35, 86, 6, 38, 73, 62, 27, 71, 31, 35, 86, 6, 38, 73, 62, 27, 71, 31]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 3.484754454066752}"
21,rflbat,rflbat_cluster_filter,"[3, 35, 86, 6, 38, 73, 62, 27, 71, 31, 35, 86, 6, 38, 73, 62, 27, 71, 31]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.11057232287980012]}"
21,rflbat,rflbat_final_distance_filter,"[35, 86, 6, 38, 73, 62, 27, 71, 31]",[3],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 3.824728991500035}"
22,rflbat,rflbat_first_distance_filter,"[0, 82, 1, 18, 16, 45, 20, 26, 35, 88, 82, 1, 18, 16, 45, 20, 26, 35, 88]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 8.31567500583022}"
22,rflbat,rflbat_cluster_filter,"[82, 18, 16, 45, 20, 26, 35, 88, 82, 18, 16, 45, 20, 26, 35, 88]","[0, 1]","{""accepted_indices"": [1, 3, 4, 5, 6, 7, 8, 9, 1, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 3, ""cluster_scores"": [0.12957260751976796, 0.9999999999995531, 1]}"
22,rflbat,rflbat_final_distance_filter,"[82, 18, 16, 45, 20, 26, 35, 88]","[0, 1]","{""accepted_indices"": [1, 3, 4, 5, 6, 7, 8, 9, 1, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 0.020264052932835234}"
23,rflbat,rflbat_first_distance_filter,"[0, 19, 95, 83, 48, 64, 25, 90, 85, 75, 19, 95, 83, 48, 64, 25, 90, 85, 75]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 3.491751562602201}"
23,rflbat,rflbat_cluster_filter,"[0, 19, 95, 83, 48, 64, 25, 90, 85, 75, 19, 95, 83, 48, 64, 25, 90, 85, 75]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.11753297617634156]}"
23,rflbat,rflbat_final_distance_filter,"[19, 95, 83, 48, 64, 25, 90, 85, 75]",[0],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 3.701526574151404}"
24,rflbat,rflbat_first_distance_filter,"[2, 23, 90, 62, 54, 12, 78, 95, 91, 70, 23, 90, 62, 54, 12, 78, 95, 91, 70]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 4.079863196586717}"
24,rflbat,rflbat_cluster_filter,"[2, 23, 90, 62, 54, 12, 78, 95, 91, 70, 23, 90, 62, 54, 12, 78, 95, 91, 70]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.11228022397411432]}"
24,rflbat,rflbat_final_distance_filter,"[23, 90, 62, 54, 12, 78, 95, 91, 70]",[2],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 4.266892355637884}"
25,rflbat,rflbat_first_distance_filter,"[4, 9, 55, 68, 76, 95, 52, 88, 46, 45, 9, 55, 68, 76, 95, 52, 88, 46, 45]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 4.537706292880035}"
25,rflbat,rflbat_cluster_filter,"[4, 9, 55, 68, 76, 95, 52, 88, 46, 45, 9, 55, 68, 76, 95, 52, 88, 46, 45]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.11163324843435625]}"
25,rflbat,rflbat_final_distance_filter,"[9, 55, 68, 76, 95, 52, 88, 46, 45]",[4],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 4.836437461973538}"
26,rflbat,rflbat_first_distance_filter,"[4, 6, 58, 86, 81, 19, 77, 91, 79, 88, 6, 58, 86, 81, 19, 77, 91, 79, 88]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 4.20531293242591}"
