epoch,method,stage,selected,rejected,human
1,deepsight,deepsight_ensemble_cluster,"[1, 10, 51, 26, 32, 3, 71, 38, 50, 6]",[],"{""cosine_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""neup_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ddif_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ensemble_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]}"
1,deepsight,deepsight_final_filter,"[1, 10, 51, 26, 32, 3, 71, 38, 50, 6]",[],"{""n_exceeds"": [1, 4, 5, 5, 22, 1, 1, 30, 14, 13], ""classification_boundary"": 2.5, ""identified_mals"": [1, 0, 0, 0, 0, 1, 1, 0, 0, 0], ""clusters"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""deleted_cluster_ids"": []}"
2,deepsight,deepsight_ensemble_cluster,"[3, 53, 31, 99, 49, 56, 23, 97, 19, 68]",[],"{""cosine_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""neup_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ddif_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ensemble_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]}"
2,deepsight,deepsight_final_filter,"[3, 53, 31, 99, 49, 56, 23, 97, 19, 68]",[],"{""n_exceeds"": [18, 28, 13, 11, 32, 20, 4, 21, 37, 1], ""classification_boundary"": 9.5, ""identified_mals"": [0, 0, 0, 0, 0, 0, 1, 0, 0, 1], ""clusters"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""deleted_cluster_ids"": []}"
3,deepsight,deepsight_ensemble_cluster,"[1, 50, 0, 38, 54, 76, 3, 82, 14, 57]",[],"{""cosine_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""neup_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ddif_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ensemble_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]}"
3,deepsight,deepsight_final_filter,"[1, 50, 0, 38, 54, 76, 3, 82, 14, 57]",[],"{""n_exceeds"": [9, 15, 21, 35, 6, 1, 24, 13, 18, 13], ""classification_boundary"": 7.0, ""identified_mals"": [0, 0, 0, 0, 1, 1, 0, 0, 0, 0], ""clusters"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""deleted_cluster_ids"": []}"
4,deepsight,deepsight_ensemble_cluster,"[1, 88, 36, 20, 28, 68, 74, 25, 45, 35]",[],"{""cosine_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""neup_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ddif_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ensemble_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]}"
4,deepsight,deepsight_final_filter,"[1, 88, 36, 20, 28, 68, 74, 25, 45, 35]",[],"{""n_exceeds"": [28, 14, 19, 3, 13, 7, 18, 20, 15, 10], ""classification_boundary"": 7.25, ""identified_mals"": [0, 0, 0, 1, 0, 1, 0, 0, 0, 0], ""clusters"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""deleted_cluster_ids"": []}"
5,deepsight,deepsight_ensemble_cluster,"[0, 64, 98, 11, 33, 59, 74, 41, 46, 95]",[],"{""cosine_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""neup_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ddif_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ensemble_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]}"
5,deepsight,deepsight_final_filter,"[0, 64, 98, 11, 33, 59, 74, 41, 46, 95]",[],"{""n_exceeds"": [27, 22, 8, 25, 1, 2, 13, 7, 26, 25], ""classification_boundary"": 8.75, ""identified_mals"": [0, 0, 1, 0, 1, 1, 0, 1, 0, 0], ""clusters"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""deleted_cluster_ids"": [-1]}"
6,deepsight,deepsight_ensemble_cluster,"[3, 78, 56, 22, 43, 6, 42, 98, 8, 62]",[],"{""cosine_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""neup_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ddif_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""ensemble_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]}"
