epoch,method,stage,selected,rejected,human
1,clip,clip,"[1, 10, 51, 26, 32, 3, 71, 38, 50, 6]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
2,clip,clip,"[0, 61, 21, 96, 51, 20, 66, 99, 2, 31]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
3,clip,clip,"[1, 90, 52, 40, 78, 7, 66, 37, 86, 64]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
4,clip,clip,"[2, 74, 11, 81, 12, 56, 31, 33, 84, 91]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
5,clip,clip,"[1, 88, 5, 30, 13, 8, 92, 89, 50, 53]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
6,clip,clip,"[1, 99, 49, 56, 23, 97, 19, 68, 36, 47]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
7,clip,clip,"[2, 40, 10, 38, 97, 0, 69, 82, 43, 59]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
8,clip,clip,"[4, 49, 20, 21, 74, 46, 10, 98, 14, 82]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
9,clip,clip,"[0, 66, 40, 68, 55, 11, 5, 49, 94, 54]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
10,clip,clip,"[0, 95, 85, 8, 24, 50, 1, 38, 54, 76]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
11,clip,clip,"[0, 82, 14, 57, 34, 79, 85, 43, 26, 66]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
12,clip,clip,"[4, 14, 93, 49, 18, 40, 36, 10, 3, 54]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
13,clip,clip,"[3, 81, 63, 70, 37, 41, 61, 29, 19, 10]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
14,clip,clip,"[3, 45, 8, 23, 88, 36, 20, 28, 68, 74]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
15,clip,clip,"[1, 45, 35, 96, 33, 2, 59, 10, 9, 83]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
16,clip,clip,"[0, 88, 60, 97, 22, 79, 67, 48, 4, 32]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
17,clip,clip,"[0, 45, 82, 96, 4, 55, 56, 57, 13, 33]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
18,clip,clip,"[4, 44, 30, 29, 85, 26, 16, 64, 98, 11]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
