epoch,method,stage,selected,rejected,human
1,foolsgold,foolsgold,"[10, 51, 26, 32, 71, 38, 50, 6]","[1, 3]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 0.0, ""10"": 1.0, ""51"": 1.0, ""26"": 1.0, ""32"": 1.0, ""3"": 0.0, ""71"": 1.0, ""38"": 1.0, ""50"": 1.0, ""6"": 1.0}}"
2,foolsgold,foolsgold,"[61, 21, 96, 51, 20, 66, 99, 31]","[0, 2]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 0.0, ""61"": 1.0, ""21"": 1.0, ""96"": 1.0, ""51"": 1.0, ""20"": 1.0, ""66"": 1.0, ""99"": 1.0, ""2"": 0.0, ""31"": 1.0}}"
3,foolsgold,foolsgold,"[1, 90, 52, 40, 78, 7, 66, 37, 86, 64]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 1.0, ""90"": 1.0, ""52"": 1.0, ""40"": 1.0, ""78"": 1.0, ""7"": 1.0, ""66"": 1.0, ""37"": 1.0, ""86"": 1.0, ""64"": 1.0}}"
4,foolsgold,foolsgold,"[2, 74, 11, 81, 12, 56, 31, 33, 84, 91]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 1.0, ""74"": 1.0, ""11"": 1.0, ""81"": 1.0, ""12"": 1.0, ""56"": 1.0, ""31"": 1.0, ""33"": 1.0, ""84"": 1.0, ""91"": 1.0}}"
5,foolsgold,foolsgold,"[1, 88, 5, 30, 13, 8, 92, 89, 50, 53]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 1.0, ""88"": 1.0, ""5"": 1.0, ""30"": 1.0, ""13"": 1.0, ""8"": 1.0, ""92"": 1.0, ""89"": 1.0, ""50"": 1.0, ""53"": 1.0}}"
6,foolsgold,foolsgold,"[1, 99, 49, 56, 23, 97, 19, 68, 36, 47]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 1.0, ""99"": 1.0, ""49"": 1.0, ""56"": 1.0, ""23"": 1.0, ""97"": 1.0, ""19"": 1.0, ""68"": 1.0, ""36"": 1.0, ""47"": 1.0}}"
7,foolsgold,foolsgold,"[40, 10, 38, 97, 69, 82, 43, 59]","[2, 0]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 0.0, ""40"": 1.0, ""10"": 1.0, ""38"": 1.0, ""97"": 1.0, ""0"": 0.0, ""69"": 1.0, ""82"": 1.0, ""43"": 1.0, ""59"": 1.0}}"
8,foolsgold,foolsgold,"[4, 49, 20, 21, 74, 46, 10, 98, 14, 82]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 1.0, ""49"": 1.0, ""20"": 1.0, ""21"": 1.0, ""74"": 1.0, ""46"": 1.0, ""10"": 1.0, ""98"": 1.0, ""14"": 1.0, ""82"": 1.0}}"
9,foolsgold,foolsgold,"[0, 66, 40, 68, 55, 11, 5, 49, 94, 54]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 1.0, ""66"": 1.0, ""40"": 1.0, ""68"": 1.0, ""55"": 1.0, ""11"": 1.0, ""5"": 1.0, ""49"": 1.0, ""94"": 1.0, ""54"": 1.0}}"
10,foolsgold,foolsgold,"[95, 85, 8, 24, 50, 38, 54, 76]","[0, 1]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 0.0, ""95"": 1.0, ""85"": 1.0, ""8"": 1.0, ""24"": 1.0, ""50"": 1.0, ""1"": 0.0, ""38"": 1.0, ""54"": 1.0, ""76"": 1.0}}"
11,foolsgold,foolsgold,"[0, 82, 14, 57, 34, 79, 85, 43, 26, 66]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 1.0, ""82"": 1.0, ""14"": 1.0, ""57"": 1.0, ""34"": 1.0, ""79"": 1.0, ""85"": 1.0, ""43"": 1.0, ""26"": 1.0, ""66"": 1.0}}"
12,foolsgold,foolsgold,"[14, 93, 49, 18, 40, 36, 10, 54]","[4, 3]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 0.0, ""14"": 1.0, ""93"": 1.0, ""49"": 1.0, ""18"": 1.0, ""40"": 1.0, ""36"": 1.0, ""10"": 1.0, ""3"": 0.0, ""54"": 1.0}}"
