epoch,method,stage,selected,rejected,human
1,rflbat,rflbat_first_distance_filter,"[1, 10, 51, 26, 32, 3, 71, 38, 50, 6, 10, 51, 26, 32, 3, 71, 38, 50, 6]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 1.523946594196131}"
1,rflbat,rflbat_cluster_filter,"[10, 51, 26, 32, 71, 38, 50, 6, 10, 51, 26, 32, 71, 38, 50, 6]","[1, 3]","{""accepted_indices"": [1, 2, 3, 4, 6, 7, 8, 9, 1, 2, 3, 4, 6, 7, 8, 9], ""num_clusters"": 3, ""cluster_scores"": [1.0000000000006515, 0.13689744545217336, 1]}"
1,rflbat,rflbat_final_distance_filter,"[10, 51, 26, 32, 71, 38, 50, 6]","[1, 3]","{""accepted_indices"": [1, 2, 3, 4, 6, 7, 8, 9, 1, 2, 3, 4, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 0.12491885432452021}"
2,rflbat,rflbat_first_distance_filter,"[2, 99, 33, 58, 12, 54, 43, 5, 34, 14, 99, 33, 58, 12, 54, 43, 5, 34, 14]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 0.8791009552265264}"
2,rflbat,rflbat_cluster_filter,"[2, 99, 33, 58, 12, 54, 43, 5, 34, 14, 99, 33, 58, 12, 54, 43, 5, 34, 14]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.12417149291213586]}"
2,rflbat,rflbat_final_distance_filter,"[99, 33, 58, 12, 54, 43, 5, 34, 14]",[2],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 1.1397770091732133}"
3,rflbat,rflbat_first_distance_filter,"[0, 70, 37, 24, 63, 40, 4, 49, 21, 66, 70, 37, 24, 63, 40, 4, 49, 21, 66]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 1.1277985654905356}"
3,rflbat,rflbat_cluster_filter,"[70, 37, 63, 40, 49, 21, 70, 37, 63, 40, 49, 21]","[0, 24, 4, 66]","{""accepted_indices"": [1, 2, 4, 5, 7, 8, 1, 2, 4, 5, 7, 8], ""num_clusters"": 4, ""cluster_scores"": [0.5084270973055699, 1.000000000000465, 1, 0.1768156315412997]}"
3,rflbat,rflbat_final_distance_filter,"[70, 37, 63, 40, 49, 21]","[0, 24, 4, 66]","{""accepted_indices"": [1, 2, 4, 5, 7, 8, 1, 2, 4, 5, 7, 8], ""eps2"": 6, ""distance_median"": 0.03498673798219272}"
4,rflbat,rflbat_first_distance_filter,"[1, 71, 25, 6, 16, 39, 86, 47, 61, 65, 71, 25, 6, 16, 39, 86, 47, 61, 65]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 0.8483713892120954}"
4,rflbat,rflbat_cluster_filter,"[1, 71, 25, 6, 16, 39, 86, 47, 61, 65, 71, 25, 6, 16, 39, 86, 47, 61, 65]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.10398771416648693]}"
4,rflbat,rflbat_final_distance_filter,"[71, 25, 6, 16, 39, 86, 47, 61, 65]",[1],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 1.1083376600085044}"
