epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
-2,apra,success,"[42, 57, 70, 31, 32, 35, 36, 94, 60, 58]",[true],"[42, 57, 70, 31, 32, 35, 36, 94, 60, 58]",10,1,[],re_result_6-29_APRA/cifar100_700_Jul.02_15.30.49_apra_True_no-noise_reba/agg_records/pkl/round_-002_apra.pkl
-1,apra,success,"[55, 40, 59, 72, 92, 12, 45, 0, 33, 89]",[true],"[55, 40, 59, 72, 92, 12, 45, 0, 33, 89]",10,1,[],re_result_6-29_APRA/cifar100_700_Jul.02_15.30.49_apra_True_no-noise_reba/agg_records/pkl/round_-001_apra.pkl
0,apra,success,"[49, 44, 89, 17, 36, 2, 22, 4, 27, 6]",[true],"[49, 44, 89, 17, 36, 2, 22, 4, 27, 6]",10,1,[],re_result_6-29_APRA/cifar100_700_Jul.02_15.30.49_apra_True_no-noise_reba/agg_records/pkl/round_0000_apra.pkl
1,apra,success,"[9, 75, 14, 7, 45, 60, 13, 54, 47, 70]",[true],"[9, 75, 14, 7, 45, 60, 13, 54, 47, 70]",10,1,[],re_result_6-29_APRA/cifar100_700_Jul.02_15.30.49_apra_True_no-noise_reba/agg_records/pkl/round_0001_apra.pkl
2,apra,success,"[87, 24, 71, 75, 43, 58, 36, 5, 31, 79]",[true],"[87, 24, 71, 75, 43, 58, 36, 5, 31, 79]",10,1,[],re_result_6-29_APRA/cifar100_700_Jul.02_15.30.49_apra_True_no-noise_reba/agg_records/pkl/round_0002_apra.pkl
3,apra,success,"[83, 35, 19, 71, 13, 76, 72, 97, 37, 40]",[true],"[83, 35, 19, 71, 13, 76, 72, 97, 37, 40]",10,1,[],re_result_6-29_APRA/cifar100_700_Jul.02_15.30.49_apra_True_no-noise_reba/agg_records/pkl/round_0003_apra.pkl
4,apra,success,"[69, 65, 99, 70, 73, 42, 49, 59, 12, 62]",[true],"[69, 65, 99, 70, 73, 42, 49, 59, 12, 62]",10,1,[],re_result_6-29_APRA/cifar100_700_Jul.02_15.30.49_apra_True_no-noise_reba/agg_records/pkl/round_0004_apra.pkl
5,apra,success,"[39, 5, 69, 85, 75, 6, 28, 50, 49, 55]",[true],"[39, 5, 69, 85, 75, 6, 28, 50, 49, 55]",10,1,[],re_result_6-29_APRA/cifar100_700_Jul.02_15.30.49_apra_True_no-noise_reba/agg_records/pkl/round_0005_apra.pkl
6,apra,success,"[47, 37, 30, 77, 59, 48, 33, 21, 96, 90]",[true],"[47, 37, 30, 77, 59, 48, 33, 21, 96, 90]",10,1,[],re_result_6-29_APRA/cifar100_700_Jul.02_15.30.49_apra_True_no-noise_reba/agg_records/pkl/round_0006_apra.pkl
7,apra,success,"[9, 42, 0, 52, 33, 63, 71, 44, 55, 11]",[true],"[9, 42, 0, 52, 33, 63, 71, 44, 55, 11]",10,1,[],re_result_6-29_APRA/cifar100_700_Jul.02_15.30.49_apra_True_no-noise_reba/agg_records/pkl/round_0007_apra.pkl
8,apra,success,"[42, 61, 12, 24, 80, 91, 11, 21, 57, 54]",[true],"[42, 61, 12, 24, 80, 91, 11, 21, 57, 54]",10,1,[],re_result_6-29_APRA/cifar100_700_Jul.02_15.30.49_apra_True_no-noise_reba/agg_records/pkl/round_0008_apra.pkl
9,apra,success,"[12, 92, 22, 39, 54, 40, 61, 60, 94, 49]",[true],"[12, 92, 22, 39, 54, 40, 61, 60, 94, 49]",10,1,[],re_result_6-29_APRA/cifar100_700_Jul.02_15.30.49_apra_True_no-noise_reba/agg_records/pkl/round_0009_apra.pkl
10,apra,success,"[49, 9, 37, 34, 97, 60, 76, 38, 25, 54]",[true],"[49, 9, 37, 34, 97, 60, 76, 38, 25, 54]",10,1,[],re_result_6-29_APRA/cifar100_700_Jul.02_15.30.49_apra_True_no-noise_reba/agg_records/pkl/round_0010_apra.pkl
11,apra,success,"[20, 84, 75, 64, 81, 2, 72, 79, 61, 83]",[true],"[20, 84, 75, 64, 81, 2, 72, 79, 61, 83]",10,1,[],re_result_6-29_APRA/cifar100_700_Jul.02_15.30.49_apra_True_no-noise_reba/agg_records/pkl/round_0011_apra.pkl
12,apra,success,"[84, 68, 98, 59, 65, 85, 77, 4, 62, 51]",[true],"[84, 68, 98, 59, 65, 85, 77, 4, 62, 51]",10,1,[],re_result_6-29_APRA/cifar100_700_Jul.02_15.30.49_apra_True_no-noise_reba/agg_records/pkl/round_0012_apra.pkl
13,apra,success,"[58, 0, 40, 26, 8, 60, 77, 70, 53, 94]",[true],"[58, 0, 40, 26, 8, 60, 77, 70, 53, 94]",10,1,[],re_result_6-29_APRA/cifar100_700_Jul.02_15.30.49_apra_True_no-noise_reba/agg_records/pkl/round_0013_apra.pkl
