epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
-2,deepsight,success,"[42, 57, 70, 31, 32, 35, 36, 94, 60, 58]","[42, 57, 70, 31, 32, 35, 36, 94, 60, 58]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_-002_deepsight.pkl
-1,deepsight,success,"[55, 40, 59, 72, 92, 12, 45, 0, 33, 89]","[55, 40, 59, 72, 92, 12, 45, 0, 33, 89]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_-001_deepsight.pkl
0,deepsight,success,"[49, 44, 89, 17, 36, 2, 22, 4, 27, 6]","[49, 44, 89, 17, 36, 2, 22, 4, 27, 6]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0000_deepsight.pkl
1,deepsight,success,"[9, 75, 14, 7, 45, 60, 13, 54, 47, 70]","[9, 75, 14, 7, 45, 60, 13, 54, 47, 70]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0001_deepsight.pkl
2,deepsight,success,"[87, 24, 71, 75, 43, 58, 36, 5, 31, 79]","[87, 24, 71, 75, 43, 58, 36, 5, 31, 79]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0002_deepsight.pkl
3,deepsight,success,"[83, 35, 19, 71, 13, 76, 72, 97, 37, 40]","[83, 35, 19, 71, 13, 76, 72, 97, 37, 40]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0003_deepsight.pkl
4,deepsight,success,"[69, 65, 99, 70, 73, 42, 49, 59, 12, 62]","[69, 65, 99, 70, 73, 42, 49, 59, 12, 62]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0004_deepsight.pkl
5,deepsight,success,"[39, 5, 69, 85, 75, 6, 28, 50, 49, 55]","[39, 5, 69, 85, 75, 6, 28, 50, 49, 55]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0005_deepsight.pkl
6,deepsight,success,"[47, 37, 30, 77, 59, 48, 33, 21, 96, 90]","[47, 37, 30, 77, 59, 48, 33, 21, 96, 90]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0006_deepsight.pkl
7,deepsight,success,"[9, 42, 0, 52, 33, 63, 71, 44, 55, 11]","[9, 42, 0, 52, 33, 63, 71, 44, 55, 11]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0007_deepsight.pkl
8,deepsight,success,"[42, 61, 12, 24, 80, 91, 11, 21, 57, 54]","[42, 61, 12, 24, 80, 91, 11, 21, 57, 54]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0008_deepsight.pkl
9,deepsight,success,"[12, 92, 22, 39, 54, 40, 61, 60, 94, 49]","[12, 92, 22, 39, 54, 40, 61, 60, 94, 49]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0009_deepsight.pkl
10,deepsight,success,"[49, 9, 37, 34, 97, 60, 76, 38, 25, 54]","[49, 9, 37, 34, 97, 60, 76, 38, 25, 54]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0010_deepsight.pkl
11,deepsight,success,"[20, 84, 75, 64, 81, 2, 72, 79, 61, 83]","[20, 84, 75, 64, 81, 2, 72, 79, 61, 83]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0011_deepsight.pkl
12,deepsight,success,"[84, 68, 98, 59, 65, 85, 77, 4, 62, 51]","[84, 68, 98, 59, 65, 85, 77, 4, 62, 51]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0012_deepsight.pkl
13,deepsight,success,"[58, 0, 40, 26, 8, 60, 77, 70, 53, 94]","[58, 0, 40, 26, 8, 60, 77, 70, 53, 94]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0013_deepsight.pkl
14,deepsight,success,"[42, 99, 17, 87, 9, 20, 90, 8, 56, 95]","[42, 99, 17, 87, 9, 20, 90, 8, 56, 95]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0014_deepsight.pkl
15,deepsight,success,"[58, 74, 51, 8, 36, 32, 61, 41, 94, 39]","[58, 74, 51, 8, 36, 32, 61, 41, 94, 39]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0015_deepsight.pkl
16,deepsight,success,"[66, 45, 49, 39, 34, 51, 78, 6, 0, 77]","[66, 45, 49, 39, 34, 51, 78, 6, 0, 77]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0016_deepsight.pkl
17,deepsight,success,"[63, 60, 73, 67, 11, 28, 5, 24, 3, 34]","[63, 60, 73, 67, 11, 28, 5, 24, 3, 34]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0017_deepsight.pkl
18,deepsight,success,"[89, 82, 57, 13, 78, 69, 21, 15, 50, 64]","[89, 82, 57, 13, 78, 69, 21, 15, 50, 64]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0018_deepsight.pkl
19,deepsight,success,"[66, 30, 48, 69, 83, 4, 36, 89, 79, 10]","[66, 30, 48, 69, 83, 4, 36, 89, 79, 10]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0019_deepsight.pkl
20,deepsight,success,"[89, 59, 46, 31, 22, 1, 54, 82, 52, 75]","[89, 59, 46, 31, 22, 1, 54, 82, 52, 75]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0020_deepsight.pkl
21,deepsight,success,"[2, 46, 32, 80, 24, 27, 23, 73, 29, 41]","[2, 46, 32, 80, 24, 27, 23, 73, 29, 41]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0021_deepsight.pkl
22,deepsight,success,"[93, 63, 73, 43, 27, 32, 40, 30, 4, 49]","[93, 63, 73, 43, 27, 32, 40, 30, 4, 49]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0022_deepsight.pkl
23,deepsight,success,"[3, 78, 47, 26, 27, 94, 36, 60, 67, 70]","[3, 78, 47, 26, 27, 94, 36, 60, 67, 70]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0023_deepsight.pkl
24,deepsight,success,"[43, 61, 77, 28, 16, 67, 86, 27, 72, 10]","[43, 61, 77, 28, 16, 67, 86, 27, 72, 10]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0024_deepsight.pkl
25,deepsight,success,"[14, 71, 67, 95, 69, 99, 98, 24, 63, 13]","[14, 71, 67, 95, 69, 99, 98, 24, 63, 13]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0025_deepsight.pkl
26,deepsight,success,"[14, 73, 77, 43, 94, 45, 7, 72, 0, 64]","[14, 73, 77, 43, 94, 45, 7, 72, 0, 64]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0026_deepsight.pkl
27,deepsight,success,"[80, 18, 6, 37, 9, 35, 73, 39, 89, 3]","[80, 18, 6, 37, 9, 35, 73, 39, 89, 3]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0027_deepsight.pkl
28,deepsight,success,"[91, 24, 55, 38, 21, 64, 46, 75, 62, 54]","[91, 24, 55, 38, 21, 64, 46, 75, 62, 54]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0028_deepsight.pkl
29,deepsight,success,"[42, 59, 28, 41, 30, 0, 10, 61, 47, 94]","[42, 59, 28, 41, 30, 0, 10, 61, 47, 94]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0029_deepsight.pkl
30,deepsight,success,"[14, 6, 38, 24, 73, 82, 78, 41, 94, 42]","[14, 6, 38, 24, 73, 82, 78, 41, 94, 42]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0030_deepsight.pkl
31,deepsight,success,"[3, 5, 28, 50, 38, 29, 47, 72, 73, 71]","[3, 5, 28, 50, 38, 29, 47, 72, 73, 71]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0031_deepsight.pkl
32,deepsight,success,"[24, 53, 56, 79, 48, 2, 57, 74, 10, 60]","[24, 53, 56, 79, 48, 2, 57, 74, 10, 60]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0032_deepsight.pkl
33,deepsight,success,"[87, 64, 11, 9, 86, 97, 60, 19, 35, 10]","[87, 64, 11, 9, 86, 97, 60, 19, 35, 10]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0033_deepsight.pkl
34,deepsight,success,"[97, 4, 26, 85, 68, 8, 81, 95, 45, 1]","[97, 4, 26, 85, 68, 8, 81, 95, 45, 1]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0034_deepsight.pkl
35,deepsight,success,"[24, 33, 55, 27, 67, 92, 58, 82, 63, 29]","[24, 33, 55, 27, 67, 92, 58, 82, 63, 29]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0035_deepsight.pkl
36,deepsight,success,"[75, 71, 4, 63, 54, 99, 12, 62, 26, 24]","[75, 71, 4, 63, 54, 99, 12, 62, 26, 24]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0036_deepsight.pkl
37,deepsight,success,"[18, 45, 71, 2, 67, 27, 69, 20, 19, 16]","[18, 45, 71, 2, 67, 27, 69, 20, 19, 16]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0037_deepsight.pkl
38,deepsight,success,"[6, 60, 48, 3, 27, 0, 70, 46, 4, 82]","[6, 60, 48, 3, 27, 0, 70, 46, 4, 82]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0038_deepsight.pkl
39,deepsight,success,"[38, 75, 47, 45, 43, 52, 60, 80, 14, 76]","[38, 75, 47, 45, 43, 52, 60, 80, 14, 76]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0039_deepsight.pkl
40,deepsight,success,"[83, 90, 99, 52, 23, 63, 60, 42, 85, 94]","[83, 90, 99, 52, 23, 63, 60, 42, 85, 94]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_18.34.56_deepsight_True_no-noise_reba/agg_records/pkl/round_0040_deepsight.pkl
