epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
-2,rflbat,success,"[42, 57, 70, 31, 32, 35, 36, 94, 60, 58]","[42, 57, 31, 32, 35, 36, 94, 60, 58]",[70],10,9,[],re_result_6-29_APRA/cifar100_700_Jul.02_20.51.09_rflbat_True_no-noise_reba/agg_records/pkl/round_-002_rflbat.pkl
-1,rflbat,success,"[70, 44, 66, 99, 96, 21, 33, 53, 84, 39]","[70, 44, 66, 99, 96, 21, 33, 53, 84, 39]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_20.51.09_rflbat_True_no-noise_reba/agg_records/pkl/round_-001_rflbat.pkl
0,rflbat,success,"[70, 14, 63, 24, 67, 95, 6, 12, 68, 30]","[70, 14, 63, 24, 67, 95, 6, 12, 68, 30]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_20.51.09_rflbat_True_no-noise_reba/agg_records/pkl/round_0000_rflbat.pkl
1,rflbat,success,"[88, 72, 30, 56, 86, 96, 17, 35, 53, 80]","[88, 72, 30, 56, 96, 17, 35, 53, 80]",[86],10,9,[],re_result_6-29_APRA/cifar100_700_Jul.02_20.51.09_rflbat_True_no-noise_reba/agg_records/pkl/round_0001_rflbat.pkl
2,rflbat,success,"[28, 87, 31, 85, 94, 48, 2, 25, 56, 79]","[28, 87, 31, 94, 48, 2, 25, 56, 79]",[85],10,9,[],re_result_6-29_APRA/cifar100_700_Jul.02_20.51.09_rflbat_True_no-noise_reba/agg_records/pkl/round_0002_rflbat.pkl
3,rflbat,success,"[27, 31, 54, 20, 94, 5, 45, 37, 90, 53]","[27, 31, 54, 20, 94, 5, 45, 37, 90, 53]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_20.51.09_rflbat_True_no-noise_reba/agg_records/pkl/round_0003_rflbat.pkl
4,rflbat,success,"[39, 49, 17, 20, 92, 60, 97, 56, 33, 14]","[39, 49, 17, 20, 92, 60, 97, 56, 33, 14]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_20.51.09_rflbat_True_no-noise_reba/agg_records/pkl/round_0004_rflbat.pkl
5,rflbat,success,"[32, 79, 43, 4, 68, 25, 20, 35, 52, 72]","[32, 79, 43, 4, 68, 25, 20, 35, 52, 72]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_20.51.09_rflbat_True_no-noise_reba/agg_records/pkl/round_0005_rflbat.pkl
6,rflbat,success,"[72, 98, 84, 31, 13, 37, 86, 66, 8, 96]","[72, 98, 84, 31, 13, 37, 86, 66, 8, 96]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_20.51.09_rflbat_True_no-noise_reba/agg_records/pkl/round_0006_rflbat.pkl
7,rflbat,success,"[44, 7, 38, 2, 29, 48, 87, 36, 33, 58]","[44, 7, 38, 2, 29, 48, 87, 36, 33, 58]",[],10,10,[],re_result_6-29_APRA/cifar100_700_Jul.02_20.51.09_rflbat_True_no-noise_reba/agg_records/pkl/round_0007_rflbat.pkl
