epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
1,deepsight,success,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]","[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0001_deepsight.pkl
2,deepsight,success,"[3, 73, 72, 99, 20, 15, 37, 93, 74, 22]","[3, 73, 72, 99, 20, 15, 37, 93, 74, 22]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0002_deepsight.pkl
3,deepsight,success,"[2, 11, 29, 61, 14, 62, 31, 0, 55, 89]","[2, 11, 29, 61, 14, 62, 31, 0, 55, 89]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0003_deepsight.pkl
4,deepsight,success,"[1, 73, 5, 68, 48, 28, 53, 72, 34, 88]","[1, 73, 5, 68, 48, 28, 53, 72, 34, 88]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0004_deepsight.pkl
5,deepsight,success,"[4, 27, 55, 98, 67, 16, 57, 21, 26, 69]","[4, 27, 55, 98, 67, 16, 57, 21, 26, 69]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0005_deepsight.pkl
6,deepsight,success,"[3, 55, 44, 86, 53, 6, 52, 61, 62, 48]","[3, 55, 44, 86, 53, 6, 52, 61, 62, 48]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0006_deepsight.pkl
7,deepsight,success,"[2, 73, 46, 58, 32, 95, 97, 42, 38, 13]","[2, 73, 46, 58, 32, 95, 97, 42, 38, 13]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0007_deepsight.pkl
8,deepsight,success,"[0, 41, 96, 97, 82, 86, 57, 62, 85, 17]","[0, 41, 96, 97, 82, 86, 57, 62, 85, 17]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0008_deepsight.pkl
9,deepsight,success,"[2, 1, 38, 6, 23, 43, 89, 96, 69, 84]","[2, 38, 6, 89]","[1, 23, 43, 96, 69, 84]",10,4,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0009_deepsight.pkl
10,deepsight,success,"[4, 95, 65, 71, 9, 3, 81, 70, 41, 42]","[4, 95, 65, 71, 9, 81, 70, 41, 42]",[3],10,9,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0010_deepsight.pkl
11,deepsight,success,"[4, 58, 20, 28, 44, 63, 65, 38, 97, 47]","[4, 58, 20, 28, 44, 63, 65, 38, 97, 47]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0011_deepsight.pkl
12,deepsight,success,"[3, 81, 20, 6, 68, 2, 37, 15, 11, 48]","[3, 81, 20, 6, 68, 2, 37, 15, 11, 48]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0012_deepsight.pkl
13,deepsight,success,"[0, 60, 95, 98, 39, 75, 32, 15, 52, 49]","[0, 60, 95, 98, 39, 75, 32, 15, 52, 49]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0013_deepsight.pkl
14,deepsight,success,"[0, 67, 86, 16, 55, 99, 88, 15, 12, 44]","[0, 67, 86, 16, 55, 99, 15, 12, 44]",[88],10,9,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0014_deepsight.pkl
15,deepsight,success,"[2, 81, 49, 56, 12, 30, 83, 37, 3, 91]","[2, 81, 49, 56, 12, 30, 83, 37, 3, 91]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0015_deepsight.pkl
16,deepsight,success,"[2, 57, 85, 84, 46, 6, 40, 43, 71, 39]","[2, 57, 85, 84, 46, 6, 40, 43, 71, 39]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0016_deepsight.pkl
17,deepsight,success,"[0, 83, 71, 76, 18, 17, 81, 62, 3, 52]","[0, 83, 71, 76, 18, 17, 81, 62, 3, 52]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0017_deepsight.pkl
18,deepsight,success,"[4, 80, 88, 5, 84, 50, 40, 78, 31, 43]","[4, 80, 88, 5, 84, 50, 40, 78, 43]",[31],10,9,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0018_deepsight.pkl
19,deepsight,success,"[3, 84, 45, 95, 90, 65, 6, 87, 29, 51]","[3, 84, 45, 95, 90, 65, 6, 87, 29, 51]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0019_deepsight.pkl
20,deepsight,success,"[1, 72, 28, 52, 38, 63, 18, 22, 39, 47]","[1, 72, 28, 52, 38, 63, 18, 22, 39, 47]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0020_deepsight.pkl
21,deepsight,success,"[2, 99, 66, 96, 13, 63, 5, 68, 94, 29]","[2, 99, 66, 96, 13, 63, 5, 68, 94, 29]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0021_deepsight.pkl
22,deepsight,success,"[1, 45, 9, 98, 99, 38, 83, 86, 24, 34]","[1, 9, 98, 99, 38, 83, 86, 34]","[45, 24]",10,8,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0022_deepsight.pkl
23,deepsight,success,"[2, 83, 82, 79, 81, 91, 53, 52, 90, 32]","[2, 83, 82, 79, 81, 91, 53, 52, 90, 32]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0023_deepsight.pkl
24,deepsight,success,"[4, 5, 99, 6, 94, 34, 46, 28, 76, 91]","[4, 5, 99, 6, 94, 34, 46, 28, 76, 91]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0024_deepsight.pkl
25,deepsight,success,"[4, 2, 35, 90, 93, 71, 98, 70, 95, 54]","[4, 2, 35, 90, 93, 71, 98, 70, 95, 54]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0025_deepsight.pkl
26,deepsight,success,"[3, 81, 22, 41, 14, 39, 1, 88, 74, 49]","[81, 41, 14, 49]","[3, 22, 39, 1, 88, 74]",10,4,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0026_deepsight.pkl
27,deepsight,success,"[0, 95, 57, 7, 73, 75, 65, 58, 27, 10]","[0, 95, 57, 7, 73, 75, 65, 58, 27, 10]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0027_deepsight.pkl
28,deepsight,success,"[3, 1, 76, 65, 15, 51, 53, 69, 72, 14]","[3, 1, 76, 65, 15, 51, 53, 69, 72, 14]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0028_deepsight.pkl
29,deepsight,success,"[1, 3, 30, 81, 70, 38, 49, 78, 14, 87]","[1, 3, 30, 81, 70, 38, 49, 78, 14, 87]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0029_deepsight.pkl
30,deepsight,success,"[1, 71, 13, 47, 7, 49, 33, 42, 34, 53]","[1, 71, 13, 47, 7, 49, 33, 42, 34, 53]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0030_deepsight.pkl
31,deepsight,success,"[3, 20, 48, 57, 30, 15, 45, 29, 54, 14]","[3, 20, 48, 57, 30, 15, 45, 29, 54, 14]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0031_deepsight.pkl
32,deepsight,success,"[1, 57, 52, 76, 65, 58, 51, 23, 99, 21]","[1, 57, 52, 76, 65, 58, 51, 23, 99, 21]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0032_deepsight.pkl
33,deepsight,success,"[4, 46, 64, 96, 82, 75, 40, 63, 36, 47]","[4, 46, 64, 96, 82, 75, 40, 63, 36, 47]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0033_deepsight.pkl
34,deepsight,success,"[0, 72, 8, 81, 73, 83, 65, 79, 58, 16]","[0, 72, 8, 81, 83, 65, 79, 58, 16]",[73],10,9,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0034_deepsight.pkl
