epoch,method,stage,selected,rejected,human
1,deepsight,deepsight_ensemble_cluster,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]",[],"{""cosine_cluster"": [0, -1, -1, -1, 0, -1, -1, -1, 0, 0], ""neup_cluster"": [-1, 0, 0, 0, -1, 0, 0, 0, 0, 0], ""ddif_cluster"": [-1, 0, -1, 0, -1, 0, 0, 0, 0, 0], ""ensemble_cluster"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}"
1,deepsight,deepsight_final_filter,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]",[],"{""n_exceeds"": [1, 5, 3, 10, 1, 5, 8, 6, 9, 7], ""classification_boundary"": 2.75, ""identified_mals"": [1, 0, 0, 0, 1, 0, 0, 0, 0, 0], ""clusters"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""deleted_cluster_ids"": []}"
2,deepsight,deepsight_ensemble_cluster,"[3, 73, 72, 99, 20, 15, 37, 93, 74, 22]",[],"{""cosine_cluster"": [0, -1, -1, 0, 0, 0, -1, -1, -1, 0], ""neup_cluster"": [-1, -1, 0, 0, 0, 0, 0, 0, 0, 0], ""ddif_cluster"": [-1, -1, 0, 0, -1, 0, 0, 0, 0, 0], ""ensemble_cluster"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}"
2,deepsight,deepsight_final_filter,"[3, 73, 72, 99, 20, 15, 37, 93, 74, 22]",[],"{""n_exceeds"": [2, 3, 10, 6, 5, 7, 6, 9, 10, 10], ""classification_boundary"": 3.25, ""identified_mals"": [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], ""clusters"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""deleted_cluster_ids"": []}"
3,deepsight,deepsight_ensemble_cluster,"[2, 11, 29, 61, 14, 62, 31, 0, 55, 89]",[],"{""cosine_cluster"": [0, -1, 0, -1, -1, -1, -1, 0, -1, -1], ""neup_cluster"": [0, 0, 0, 0, 0, -1, -1, -1, 0, 0], ""ddif_cluster"": [-1, 0, 0, 0, 0, -1, -1, -1, 0, 0], ""ensemble_cluster"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}"
3,deepsight,deepsight_final_filter,"[2, 11, 29, 61, 14, 62, 31, 0, 55, 89]",[],"{""n_exceeds"": [3, 7, 6, 6, 8, 3, 4, 1, 4, 5], ""classification_boundary"": 2.25, ""identified_mals"": [0, 0, 0, 0, 0, 0, 0, 1, 0, 0], ""clusters"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""deleted_cluster_ids"": []}"
4,deepsight,deepsight_ensemble_cluster,"[1, 73, 5, 68, 48, 28, 53, 72, 34, 88]",[],"{""cosine_cluster"": [-1, 1, -1, 1, 0, 0, -1, 0, 1, -1], ""neup_cluster"": [0, -1, 0, 0, -1, 0, 0, 0, 0, -1], ""ddif_cluster"": [0, -1, 0, 0, -1, 0, 0, 0, 0, -1], ""ensemble_cluster"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}"
4,deepsight,deepsight_final_filter,"[1, 73, 5, 68, 48, 28, 53, 72, 34, 88]",[],"{""n_exceeds"": [4, 3, 9, 5, 3, 6, 8, 6, 7, 2], ""classification_boundary"": 2.75, ""identified_mals"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 1], ""clusters"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""deleted_cluster_ids"": []}"
5,deepsight,deepsight_ensemble_cluster,"[4, 27, 55, 98, 67, 16, 57, 21, 26, 69]",[],"{""cosine_cluster"": [-1, 0, 0, 0, -1, -1, 0, -1, 0, -1], ""neup_cluster"": [0, 0, 0, 0, 0, 0, 0, 0, -1, -1], ""ddif_cluster"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""ensemble_cluster"": [0, 1, 1, 1, 0, 0, 1, 0, 0, 1]}"
5,deepsight,deepsight_final_filter,"[4, 27, 55, 98, 67, 16, 57, 21, 26, 69]",[],"{""n_exceeds"": [4, 7, 6, 9, 7, 10, 8, 5, 4, 4], ""classification_boundary"": 3.25, ""identified_mals"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""clusters"": [0, 1, 1, 1, 0, 0, 1, 0, 0, 1], ""deleted_cluster_ids"": []}"
