epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
1,apra,success,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]","[71, 32, 58, 24, 62, 67, 43, 29]","[3, 4]",10,8,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_20.04.02_apra_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0001_apra.pkl
2,apra,success,"[3, 73, 72, 99, 20, 15, 37, 93, 74, 22]","[72, 99, 20, 15, 37, 93, 74, 22]","[3, 73]",10,8,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_20.04.02_apra_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0002_apra.pkl
3,apra,success,"[2, 11, 29, 61, 14, 62, 31, 0, 55, 89]","[11, 29, 61, 14, 62, 55, 89]","[2, 31, 0]",10,7,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_20.04.02_apra_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0003_apra.pkl
4,apra,success,"[1, 73, 5, 68, 48, 28, 53, 72, 34, 88]","[5, 68, 28, 53, 72, 34]","[1, 73, 48, 88]",10,6,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_20.04.02_apra_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0004_apra.pkl
5,apra,success,"[4, 27, 55, 98, 67, 16, 57, 21, 26, 69]","[55, 98, 16, 57, 21, 26]","[4, 27, 67, 69]",10,6,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_20.04.02_apra_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0005_apra.pkl
6,apra,success,"[3, 55, 44, 86, 53, 6, 52, 61, 62, 48]","[55, 44, 86, 53, 6, 52, 61, 62]","[3, 48]",10,8,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_20.04.02_apra_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0006_apra.pkl
7,apra,success,"[2, 73, 46, 58, 32, 95, 97, 42, 38, 13]","[73, 46, 58, 32, 97, 42, 38, 13]","[2, 95]",10,8,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_20.04.02_apra_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0007_apra.pkl
8,apra,success,"[0, 41, 96, 97, 82, 86, 57, 62, 85, 17]","[86, 57, 62, 85, 17]","[0, 41, 96, 97, 82]",10,5,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_20.04.02_apra_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0008_apra.pkl
9,apra,success,"[2, 1, 38, 6, 23, 43, 89, 96, 69, 84]","[6, 23, 43, 89, 96, 84]","[2, 1, 38, 69]",10,6,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_20.04.02_apra_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0009_apra.pkl
10,apra,success,"[4, 95, 65, 71, 9, 3, 81, 70, 41, 42]","[65, 71, 9, 81, 70, 41, 42]","[4, 95, 3]",10,7,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_20.04.02_apra_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0010_apra.pkl
