epoch,method,stage,selected,rejected,human
1,apra,apra_mad_filter,"[71, 32, 58, 4, 24, 62, 67, 43, 29]",[3],"{""median_norm"": 0.7083655723334745, ""mad"": 0.20224811827853062, ""k"": 4.524187090179797, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
1,apra,apra_hierarchical_cluster,"[71, 32, 58, 24, 62, 67, 43, 29]",[4],"{""best_k"": 2, ""best_score"": 0.7575452327728271, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 6.5286784172058105, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
1,apra,apra_trust_weighted_clip,"[71, 32, 58, 24, 62, 67, 43, 29]",[],"{""base_clip"": 1.0, ""trust_weights"": {""71"": 0.0, ""32"": 0.0, ""58"": 0.20069842040538788, ""24"": 0.0, ""62"": 0.20069842040538788, ""67"": 0.0, ""43"": 0.29930153489112854, ""29"": 0.29930153489112854}, ""num_aggregated"": 8}"
2,apra,apra_mad_filter,"[73, 72, 99, 20, 15, 37, 93, 74, 22]",[3],"{""median_norm"": 0.5493407638412406, ""mad"": 0.0856398460370485, ""k"": 4.093653765389909, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
2,apra,apra_hierarchical_cluster,"[72, 99, 20, 15, 37, 93, 74, 22]",[73],"{""best_k"": 2, ""best_score"": 0.6255384683609009, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 5.224114418029785, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
2,apra,apra_trust_weighted_clip,"[72, 99, 20, 15, 37, 93, 74, 22]",[],"{""base_clip"": 1.0, ""trust_weights"": {""72"": 0.0, ""99"": 0.1666666716337204, ""20"": 0.1666666716337204, ""15"": 0.0, ""37"": 0.1666666716337204, ""93"": 0.1666666716337204, ""74"": 0.1666666716337204, ""22"": 0.1666666716337204}, ""num_aggregated"": 8}"
3,apra,apra_mad_filter,"[11, 29, 61, 14, 62, 31, 55, 89]","[2, 0]","{""median_norm"": 0.8134776364522458, ""mad"": 0.15935388511806248, ""k"": 3.7040911034085893, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
3,apra,apra_hierarchical_cluster,"[11, 29, 61, 14, 62, 55, 89]",[31],"{""best_k"": 2, ""best_score"": 0.7236735820770264, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 6.862752914428711, ""1"": -1.0}, ""num_trusted"": 7, ""fallback_used"": false}"
3,apra,apra_trust_weighted_clip,"[11, 29, 61, 14, 62, 55, 89]",[],"{""base_clip"": 1.0, ""trust_weights"": {""11"": 0.0, ""29"": 0.1666666716337204, ""61"": 0.1666666716337204, ""14"": 0.1666666716337204, ""62"": 0.1666666716337204, ""55"": 0.1666666716337204, ""89"": 0.1666666716337204}, ""num_aggregated"": 7}"
4,apra,apra_mad_filter,"[73, 5, 68, 48, 28, 53, 72, 34]","[1, 88]","{""median_norm"": 0.7238937478507632, ""mad"": 0.08153566585572425, ""k"": 3.351600230178197, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
4,apra,apra_hierarchical_cluster,"[5, 68, 28, 53, 72, 34]","[73, 48]","{""best_k"": 3, ""best_score"": 0.6305553913116455, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 5.543253421783447, ""1"": -1.0, ""2"": -1.0}, ""num_trusted"": 6, ""fallback_used"": false}"
4,apra,apra_trust_weighted_clip,"[5, 68, 28, 53, 72, 34]",[],"{""base_clip"": 1.0, ""trust_weights"": {""5"": 0.0, ""68"": 0.20000000298023224, ""28"": 0.20000000298023224, ""53"": 0.20000000298023224, ""72"": 0.20000000298023224, ""34"": 0.20000000298023224}, ""num_aggregated"": 6}"
5,apra,apra_mad_filter,"[27, 55, 98, 67, 16, 57, 21, 26, 69]",[4],"{""median_norm"": 0.6316342933641792, ""mad"": 0.06615216800042106, ""k"": 3.032653298563167, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
5,apra,apra_hierarchical_cluster,"[55, 98, 16, 57, 21, 26]","[27, 67, 69]","{""best_k"": 3, ""best_score"": 0.48646512627601624, ""selected_cluster"": 1, ""cluster_scores"": {""0"": 1.6400953531265259, ""1"": 5.022601127624512, ""2"": -1.0}, ""num_trusted"": 6, ""fallback_used"": false}"
5,apra,apra_trust_weighted_clip,"[55, 98, 16, 57, 21, 26]",[],"{""base_clip"": 1.0, ""trust_weights"": {""55"": 0.1061471626162529, ""98"": 0.22346319258213043, ""16"": 0.22346319258213043, ""57"": 0.22346319258213043, ""21"": 0.22346319258213043, ""26"": 0.0}, ""num_aggregated"": 6}"
6,apra,apra_mad_filter,"[55, 44, 86, 53, 6, 52, 61, 62, 48]",[3],"{""median_norm"": 0.6593158807051728, ""mad"": 0.07373717134183294, ""k"": 2.744058180470132, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
6,apra,apra_hierarchical_cluster,"[55, 44, 86, 53, 6, 52, 61, 62]",[48],"{""best_k"": 2, ""best_score"": 0.7177185416221619, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 5.438061714172363, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
6,apra,apra_trust_weighted_clip,"[55, 44, 86, 53, 6, 52, 61, 62]",[],"{""base_clip"": 1.0, ""trust_weights"": {""55"": 0.1428571492433548, ""44"": 0.0, ""86"": 0.1428571492433548, ""53"": 0.1428571492433548, ""6"": 0.1428571492433548, ""52"": 0.1428571492433548, ""61"": 0.1428571492433548, ""62"": 0.1428571492433548}, ""num_aggregated"": 8}"
7,apra,apra_mad_filter,"[73, 46, 58, 32, 95, 97, 42, 38, 13]",[2],"{""median_norm"": 0.7514999090871508, ""mad"": 0.09808923162858513, ""k"": 2.4829265189570475, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
7,apra,apra_hierarchical_cluster,"[73, 46, 58, 32, 97, 42, 38, 13]",[95],"{""best_k"": 2, ""best_score"": 0.4381240904331207, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 3.5959324836730957, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
7,apra,apra_trust_weighted_clip,"[73, 46, 58, 32, 97, 42, 38, 13]",[],"{""base_clip"": 1.0, ""trust_weights"": {""73"": 0.0, ""46"": 0.1666666716337204, ""58"": 0.1666666716337204, ""32"": 0.1666666716337204, ""97"": 0.0, ""42"": 0.1666666716337204, ""38"": 0.1666666716337204, ""13"": 0.1666666716337204}, ""num_aggregated"": 8}"
8,apra,apra_mad_filter,"[41, 96, 97, 82, 86, 57, 62, 85, 17]",[0],"{""median_norm"": 0.5870213617935627, ""mad"": 0.1497540043050905, ""k"": 2.246644820586108, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
8,apra,apra_hierarchical_cluster,"[86, 57, 62, 85, 17]","[41, 96, 97, 82]","{""best_k"": 3, ""best_score"": 0.4951348900794983, ""selected_cluster"": 2, ""cluster_scores"": {""0"": 1.8462001085281372, ""1"": 1.919492483139038, ""2"": 4.611076354980469}, ""num_trusted"": 5, ""fallback_used"": false}"
8,apra,apra_trust_weighted_clip,"[86, 57, 62, 85, 17]",[],"{""base_clip"": 1.0, ""trust_weights"": {""86"": 0.33909982442855835, ""57"": 0.16963157057762146, ""62"": 0.33909982442855835, ""85"": 0.0, ""17"": 0.15216878056526184}, ""num_aggregated"": 5}"
9,apra,apra_mad_filter,"[6, 23, 43, 89, 96, 69, 84]","[2, 1, 38]","{""median_norm"": 0.6514017480248468, ""mad"": 0.05728383667811193, ""k"": 2.0328482987029957, ""num_accepted"": 7, ""safety_keep_used"": false, ""fallback_used"": false}"
