epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
1,avg,success,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]","[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0001_avg.pkl
2,avg,success,"[3, 73, 72, 99, 20, 15, 37, 93, 74, 22]","[3, 73, 72, 99, 20, 15, 37, 93, 74, 22]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0002_avg.pkl
3,avg,success,"[2, 11, 29, 61, 14, 62, 31, 0, 55, 89]","[2, 11, 29, 61, 14, 62, 31, 0, 55, 89]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0003_avg.pkl
4,avg,success,"[1, 73, 5, 68, 48, 28, 53, 72, 34, 88]","[1, 73, 5, 68, 48, 28, 53, 72, 34, 88]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0004_avg.pkl
5,avg,success,"[4, 27, 55, 98, 67, 16, 57, 21, 26, 69]","[4, 27, 55, 98, 67, 16, 57, 21, 26, 69]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0005_avg.pkl
6,avg,success,"[3, 55, 44, 86, 53, 6, 52, 61, 62, 48]","[3, 55, 44, 86, 53, 6, 52, 61, 62, 48]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0006_avg.pkl
7,avg,success,"[2, 73, 46, 58, 32, 95, 97, 42, 38, 13]","[2, 73, 46, 58, 32, 95, 97, 42, 38, 13]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0007_avg.pkl
8,avg,success,"[0, 41, 96, 97, 82, 86, 57, 62, 85, 17]","[0, 41, 96, 97, 82, 86, 57, 62, 85, 17]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0008_avg.pkl
9,avg,success,"[2, 1, 38, 6, 23, 43, 89, 96, 69, 84]","[2, 1, 38, 6, 23, 43, 89, 96, 69, 84]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0009_avg.pkl
10,avg,success,"[4, 95, 65, 71, 9, 3, 81, 70, 41, 42]","[4, 95, 65, 71, 9, 3, 81, 70, 41, 42]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0010_avg.pkl
11,avg,success,"[4, 58, 20, 28, 44, 63, 65, 38, 97, 47]","[4, 58, 20, 28, 44, 63, 65, 38, 97, 47]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0011_avg.pkl
12,avg,success,"[3, 81, 20, 6, 68, 2, 37, 15, 11, 48]","[3, 81, 20, 6, 68, 2, 37, 15, 11, 48]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0012_avg.pkl
13,avg,success,"[0, 60, 95, 98, 39, 75, 32, 15, 52, 49]","[0, 60, 95, 98, 39, 75, 32, 15, 52, 49]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0013_avg.pkl
14,avg,success,"[0, 67, 86, 16, 55, 99, 88, 15, 12, 44]","[0, 67, 86, 16, 55, 99, 88, 15, 12, 44]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0014_avg.pkl
15,avg,success,"[2, 81, 49, 56, 12, 30, 83, 37, 3, 91]","[2, 81, 49, 56, 12, 30, 83, 37, 3, 91]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0015_avg.pkl
16,avg,success,"[2, 57, 85, 84, 46, 6, 40, 43, 71, 39]","[2, 57, 85, 84, 46, 6, 40, 43, 71, 39]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0016_avg.pkl
17,avg,success,"[0, 83, 71, 76, 18, 17, 81, 62, 3, 52]","[0, 83, 71, 76, 18, 17, 81, 62, 3, 52]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0017_avg.pkl
18,avg,success,"[4, 80, 88, 5, 84, 50, 40, 78, 31, 43]","[4, 80, 88, 5, 84, 50, 40, 78, 31, 43]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0018_avg.pkl
19,avg,success,"[3, 84, 45, 95, 90, 65, 6, 87, 29, 51]","[3, 84, 45, 95, 90, 65, 6, 87, 29, 51]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0019_avg.pkl
20,avg,success,"[1, 72, 28, 52, 38, 63, 18, 22, 39, 47]","[1, 72, 28, 52, 38, 63, 18, 22, 39, 47]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0020_avg.pkl
21,avg,success,"[2, 99, 66, 96, 13, 63, 5, 68, 94, 29]","[2, 99, 66, 96, 13, 63, 5, 68, 94, 29]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0021_avg.pkl
22,avg,success,"[1, 45, 9, 98, 99, 38, 83, 86, 24, 34]","[1, 45, 9, 98, 99, 38, 83, 86, 24, 34]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0022_avg.pkl
23,avg,success,"[2, 83, 82, 79, 81, 91, 53, 52, 90, 32]","[2, 83, 82, 79, 81, 91, 53, 52, 90, 32]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0023_avg.pkl
24,avg,success,"[4, 5, 99, 6, 94, 34, 46, 28, 76, 91]","[4, 5, 99, 6, 94, 34, 46, 28, 76, 91]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0024_avg.pkl
25,avg,success,"[4, 2, 35, 90, 93, 71, 98, 70, 95, 54]","[4, 2, 35, 90, 93, 71, 98, 70, 95, 54]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0025_avg.pkl
26,avg,success,"[3, 81, 22, 41, 14, 39, 1, 88, 74, 49]","[3, 81, 22, 41, 14, 39, 1, 88, 74, 49]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0026_avg.pkl
27,avg,success,"[0, 95, 57, 7, 73, 75, 65, 58, 27, 10]","[0, 95, 57, 7, 73, 75, 65, 58, 27, 10]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0027_avg.pkl
28,avg,success,"[3, 1, 76, 65, 15, 51, 53, 69, 72, 14]","[3, 1, 76, 65, 15, 51, 53, 69, 72, 14]",[],10,10,"[""avg""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_00.49.42_avg_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0028_avg.pkl
