epoch,method,stage,selected,rejected,human
1,avg,avg,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
2,avg,avg,"[3, 73, 72, 99, 20, 15, 37, 93, 74, 22]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
3,avg,avg,"[2, 11, 29, 61, 14, 62, 31, 0, 55, 89]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
4,avg,avg,"[1, 73, 5, 68, 48, 28, 53, 72, 34, 88]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
5,avg,avg,"[4, 27, 55, 98, 67, 16, 57, 21, 26, 69]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
6,avg,avg,"[3, 55, 44, 86, 53, 6, 52, 61, 62, 48]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
7,avg,avg,"[2, 73, 46, 58, 32, 95, 97, 42, 38, 13]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
8,avg,avg,"[0, 41, 96, 97, 82, 86, 57, 62, 85, 17]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
9,avg,avg,"[2, 1, 38, 6, 23, 43, 89, 96, 69, 84]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
10,avg,avg,"[4, 95, 65, 71, 9, 3, 81, 70, 41, 42]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
11,avg,avg,"[4, 58, 20, 28, 44, 63, 65, 38, 97, 47]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
12,avg,avg,"[3, 81, 20, 6, 68, 2, 37, 15, 11, 48]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
13,avg,avg,"[0, 60, 95, 98, 39, 75, 32, 15, 52, 49]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
14,avg,avg,"[0, 67, 86, 16, 55, 99, 88, 15, 12, 44]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
15,avg,avg,"[2, 81, 49, 56, 12, 30, 83, 37, 3, 91]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
16,avg,avg,"[2, 57, 85, 84, 46, 6, 40, 43, 71, 39]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
17,avg,avg,"[0, 83, 71, 76, 18, 17, 81, 62, 3, 52]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
18,avg,avg,"[4, 80, 88, 5, 84, 50, 40, 78, 31, 43]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
19,avg,avg,"[3, 84, 45, 95, 90, 65, 6, 87, 29, 51]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
20,avg,avg,"[1, 72, 28, 52, 38, 63, 18, 22, 39, 47]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
21,avg,avg,"[2, 99, 66, 96, 13, 63, 5, 68, 94, 29]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
22,avg,avg,"[1, 45, 9, 98, 99, 38, 83, 86, 24, 34]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
23,avg,avg,"[2, 83, 82, 79, 81, 91, 53, 52, 90, 32]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
24,avg,avg,"[4, 5, 99, 6, 94, 34, 46, 28, 76, 91]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
25,avg,avg,"[4, 2, 35, 90, 93, 71, 98, 70, 95, 54]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
