epoch,method,stage,selected,rejected,human
1,clip,clip,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
2,clip,clip,"[3, 73, 72, 99, 20, 15, 37, 93, 74, 22]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
3,clip,clip,"[2, 11, 29, 61, 14, 62, 31, 0, 55, 89]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
4,clip,clip,"[1, 73, 5, 68, 48, 28, 53, 72, 34, 88]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
5,clip,clip,"[4, 27, 55, 98, 67, 16, 57, 21, 26, 69]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
6,clip,clip,"[3, 55, 44, 86, 53, 6, 52, 61, 62, 48]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
7,clip,clip,"[2, 73, 46, 58, 32, 95, 97, 42, 38, 13]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
8,clip,clip,"[0, 41, 96, 97, 82, 86, 57, 62, 85, 17]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
9,clip,clip,"[2, 1, 38, 6, 23, 43, 89, 96, 69, 84]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
10,clip,clip,"[4, 95, 65, 71, 9, 3, 81, 70, 41, 42]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
11,clip,clip,"[4, 58, 20, 28, 44, 63, 65, 38, 97, 47]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
12,clip,clip,"[3, 81, 20, 6, 68, 2, 37, 15, 11, 48]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
13,clip,clip,"[0, 60, 95, 98, 39, 75, 32, 15, 52, 49]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
14,clip,clip,"[0, 67, 86, 16, 55, 99, 88, 15, 12, 44]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
15,clip,clip,"[2, 81, 49, 56, 12, 30, 83, 37, 3, 91]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
16,clip,clip,"[2, 57, 85, 84, 46, 6, 40, 43, 71, 39]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
17,clip,clip,"[0, 83, 71, 76, 18, 17, 81, 62, 3, 52]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
18,clip,clip,"[4, 80, 88, 5, 84, 50, 40, 78, 31, 43]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
19,clip,clip,"[3, 84, 45, 95, 90, 65, 6, 87, 29, 51]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
20,clip,clip,"[1, 72, 28, 52, 38, 63, 18, 22, 39, 47]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
21,clip,clip,"[2, 99, 66, 96, 13, 63, 5, 68, 94, 29]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
22,clip,clip,"[1, 45, 9, 98, 99, 38, 83, 86, 24, 34]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
23,clip,clip,"[2, 83, 82, 79, 81, 91, 53, 52, 90, 32]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
