epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
1,foolsgold,success,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]","[71, 32, 58, 67, 43, 29]","[3, 4, 24, 62]",10,6,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_08.28.46_foolsgold_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0001_foolsgold.pkl
2,foolsgold,success,"[3, 73, 72, 99, 20, 15, 37, 93, 74, 22]","[73, 99, 15, 37, 93, 22]","[3, 72, 20, 74]",10,6,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_08.28.46_foolsgold_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0002_foolsgold.pkl
3,foolsgold,success,"[2, 11, 29, 61, 14, 62, 31, 0, 55, 89]","[11, 29, 61, 62, 31, 89]","[2, 14, 0, 55]",10,6,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_08.28.46_foolsgold_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0003_foolsgold.pkl
4,foolsgold,success,"[1, 73, 5, 68, 48, 28, 53, 72, 34, 88]","[1, 73, 68, 53, 34, 88]","[5, 48, 28, 72]",10,6,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_08.28.46_foolsgold_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0004_foolsgold.pkl
5,foolsgold,success,"[4, 27, 55, 98, 67, 16, 57, 21, 26, 69]","[4, 55, 67, 16, 21, 26, 69]","[27, 98, 57]",10,7,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_08.28.46_foolsgold_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0005_foolsgold.pkl
6,foolsgold,success,"[3, 55, 44, 86, 53, 6, 52, 61, 62, 48]","[55, 53, 6, 52, 61, 48]","[3, 44, 86, 62]",10,6,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_08.28.46_foolsgold_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0006_foolsgold.pkl
7,foolsgold,success,"[2, 73, 46, 58, 32, 95, 97, 42, 38, 13]","[2, 46, 58, 32, 95, 97, 38]","[73, 42, 13]",10,7,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_08.28.46_foolsgold_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0007_foolsgold.pkl
8,foolsgold,success,"[0, 41, 96, 97, 82, 86, 57, 62, 85, 17]",[0],"[41, 96, 97, 82, 86, 57, 62, 85, 17]",10,1,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_08.28.46_foolsgold_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0008_foolsgold.pkl
9,foolsgold,success,"[2, 1, 38, 6, 23, 43, 89, 96, 69, 84]","[23, 43, 96, 69, 84]","[2, 1, 38, 6, 89]",10,5,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_08.28.46_foolsgold_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0009_foolsgold.pkl
10,foolsgold,success,"[4, 95, 65, 71, 9, 3, 81, 70, 41, 42]","[81, 70]","[4, 95, 65, 71, 9, 3, 41, 42]",10,2,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_08.28.46_foolsgold_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0010_foolsgold.pkl
11,foolsgold,success,"[4, 58, 20, 28, 44, 63, 65, 38, 97, 47]","[58, 20, 97]","[4, 28, 44, 63, 65, 38, 47]",10,3,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_08.28.46_foolsgold_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0011_foolsgold.pkl
12,foolsgold,success,"[3, 81, 20, 6, 68, 2, 37, 15, 11, 48]","[81, 20, 37, 15, 11, 48]","[3, 6, 68, 2]",10,6,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_08.28.46_foolsgold_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0012_foolsgold.pkl
13,foolsgold,success,"[0, 60, 95, 98, 39, 75, 32, 15, 52, 49]","[95, 39]","[0, 60, 98, 75, 32, 15, 52, 49]",10,2,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_08.28.46_foolsgold_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0013_foolsgold.pkl
14,foolsgold,success,"[0, 67, 86, 16, 55, 99, 88, 15, 12, 44]","[67, 86, 16, 55, 88, 15]","[0, 99, 12, 44]",10,6,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_08.28.46_foolsgold_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0014_foolsgold.pkl
15,foolsgold,success,"[2, 81, 49, 56, 12, 30, 83, 37, 3, 91]","[81, 49, 56, 12, 30, 83, 37, 91]","[2, 3]",10,8,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_08.28.46_foolsgold_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0015_foolsgold.pkl
16,foolsgold,success,"[2, 57, 85, 84, 46, 6, 40, 43, 71, 39]","[2, 84, 40, 43, 39]","[57, 85, 46, 6, 71]",10,5,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_08.28.46_foolsgold_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0016_foolsgold.pkl
17,foolsgold,success,"[0, 83, 71, 76, 18, 17, 81, 62, 3, 52]","[83, 71, 76, 18, 17, 81, 62, 52]","[0, 3]",10,8,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_08.28.46_foolsgold_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0017_foolsgold.pkl
18,foolsgold,success,"[4, 80, 88, 5, 84, 50, 40, 78, 31, 43]","[4, 80, 5, 84, 50, 40, 78, 43]","[88, 31]",10,8,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_08.28.46_foolsgold_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0018_foolsgold.pkl
19,foolsgold,success,"[3, 84, 45, 95, 90, 65, 6, 87, 29, 51]","[84, 45, 95, 90, 87, 51]","[3, 65, 6, 29]",10,6,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_08.28.46_foolsgold_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0019_foolsgold.pkl
20,foolsgold,success,"[1, 72, 28, 52, 38, 63, 18, 22, 39, 47]","[1, 52, 38, 22, 39, 47]","[72, 28, 63, 18]",10,6,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_08.28.46_foolsgold_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0020_foolsgold.pkl
21,foolsgold,success,"[2, 99, 66, 96, 13, 63, 5, 68, 94, 29]","[2, 99, 96, 5, 68, 29]","[66, 13, 63, 94]",10,6,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_08.28.46_foolsgold_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0021_foolsgold.pkl
22,foolsgold,success,"[1, 45, 9, 98, 99, 38, 83, 86, 24, 34]","[1, 45, 9, 98, 99]","[38, 83, 86, 24, 34]",10,5,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_08.28.46_foolsgold_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0022_foolsgold.pkl
23,foolsgold,success,"[2, 83, 82, 79, 81, 91, 53, 52, 90, 32]","[2, 82, 79, 81, 91, 53, 52, 32]","[83, 90]",10,8,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jul.02_08.28.46_foolsgold_fix_True_no-mia_no-mia-class_no-noise_sin-adv_DOBA/agg_records/pkl/round_0023_foolsgold.pkl
