epoch,method,stage,selected,rejected,human
1,foolsgold,foolsgold,"[71, 32, 58, 67, 43, 29]","[3, 4, 24, 62]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""71"": 1.0, ""32"": 0.2989899898206605, ""58"": 0.2989899898206605, ""4"": 0.0, ""24"": 0.0, ""62"": 0.0, ""67"": 1.0, ""43"": 0.8894290202947575, ""29"": 0.3909219412425989}}"
2,foolsgold,foolsgold,"[73, 99, 15, 37, 93, 22]","[3, 72, 20, 74]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""73"": 1.0, ""72"": 0.0, ""99"": 0.15913358556297175, ""20"": 0.0, ""15"": 0.9161887343208109, ""37"": 1.0, ""93"": 1.0, ""74"": 0.0, ""22"": 0.15913358556297175}}"
3,foolsgold,foolsgold,"[11, 29, 61, 62, 31, 89]","[2, 14, 0, 55]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 0.0, ""11"": 1.0, ""29"": 0.4428669241284232, ""61"": 0.870421306010761, ""14"": 0.0, ""62"": 0.427334222783898, ""31"": 1.0, ""0"": 0.0, ""55"": 0.0, ""89"": 0.427334222783898}}"
4,foolsgold,foolsgold,"[1, 73, 68, 53, 34, 88]","[5, 48, 28, 72]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 1.0, ""73"": 1.0, ""5"": 0.0, ""68"": 1.0, ""48"": 0.0, ""28"": 0.0, ""53"": 1.0, ""72"": 0.0, ""34"": 1.0, ""88"": 1.0}}"
5,foolsgold,foolsgold,"[4, 55, 67, 16, 21, 26, 69]","[27, 98, 57]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 0.2927447869930054, ""27"": 0.0, ""55"": 0.22588665395582563, ""98"": 0.0, ""67"": 1.0, ""16"": 0.2927447869930054, ""57"": 0.0, ""21"": 1.0, ""26"": 1.0, ""69"": 1.0}}"
6,foolsgold,foolsgold,"[55, 53, 6, 52, 61, 48]","[3, 44, 86, 62]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""55"": 1.0, ""44"": 0.0, ""86"": 0.0, ""53"": 0.2293668457119003, ""6"": 0.15272857043436078, ""52"": 0.7582876546077371, ""61"": 0.15272857043436078, ""62"": 0.0, ""48"": 1.0}}"
7,foolsgold,foolsgold,"[2, 46, 58, 32, 95, 97, 38]","[73, 42, 13]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 1.0, ""73"": 0.0, ""46"": 0.5772543613827518, ""58"": 0.7261297562472924, ""32"": 0.7261297562472924, ""95"": 1.0, ""97"": 1.0, ""42"": 0.0, ""38"": 0.5772543613827518, ""13"": 0.0}}"
8,foolsgold,foolsgold,[0],"[41, 96, 97, 82, 86, 57, 62, 85, 17]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 1.0, ""41"": 0.0, ""96"": 0.0, ""97"": 0.0, ""82"": 0.0, ""86"": 0.0, ""57"": 0.0, ""62"": 0.0, ""85"": 0.0, ""17"": 0.0}}"
9,foolsgold,foolsgold,"[23, 43, 96, 69, 84]","[2, 1, 38, 6, 89]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 0.0, ""1"": 0.0, ""38"": 0.0, ""6"": 0.0, ""23"": 0.9864276749088486, ""43"": 1.0, ""89"": 0.0, ""96"": 1.0, ""69"": 1.0, ""84"": 0.9864276749088486}}"
10,foolsgold,foolsgold,"[81, 70]","[4, 95, 65, 71, 9, 3, 41, 42]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 0.0, ""95"": 0.0, ""65"": 0.0, ""71"": 0.0, ""9"": 0.0, ""3"": 0.0, ""81"": 1.0, ""70"": 1.0, ""41"": 0.0, ""42"": 0.0}}"
11,foolsgold,foolsgold,"[58, 20, 97]","[4, 28, 44, 63, 65, 38, 47]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 0.0, ""58"": 1.0, ""20"": 0.7395178284526014, ""28"": 0.0, ""44"": 0.0, ""63"": 0.0, ""65"": 0.0, ""38"": 0.0, ""97"": 1.0, ""47"": 0.0}}"
12,foolsgold,foolsgold,"[81, 20, 37, 15, 11, 48]","[3, 6, 68, 2]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""81"": 1.0, ""20"": 0.2883566558984565, ""6"": 0.0, ""68"": 0.0, ""2"": 0.0, ""37"": 1.0, ""15"": 0.6138930998244178, ""11"": 1.0, ""48"": 1.0}}"
13,foolsgold,foolsgold,"[95, 39]","[0, 60, 98, 75, 32, 15, 52, 49]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 0.0, ""60"": 0.0, ""95"": 1.0, ""98"": 0.0, ""39"": 1.0, ""75"": 0.0, ""32"": 0.0, ""15"": 0.0, ""52"": 0.0, ""49"": 0.0}}"
14,foolsgold,foolsgold,"[67, 86, 16, 55, 88, 15]","[0, 99, 12, 44]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 0.0, ""67"": 1.0, ""86"": 1.0, ""16"": 0.9505689575098208, ""55"": 1.0, ""99"": 0.0, ""88"": 1.0, ""15"": 1.0, ""12"": 0.0, ""44"": 0.0}}"
15,foolsgold,foolsgold,"[81, 49, 56, 12, 30, 83, 37, 91]","[2, 3]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 0.0, ""81"": 0.6564262810424366, ""49"": 0.6564262810424366, ""56"": 1.0, ""12"": 1.0, ""30"": 1.0, ""83"": 1.0, ""37"": 1.0, ""3"": 0.0, ""91"": 1.0}}"
16,foolsgold,foolsgold,"[2, 84, 40, 43, 39]","[57, 85, 46, 6, 71]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 1.0, ""57"": 0.0, ""85"": 0.0, ""84"": 1.0, ""46"": 0.0, ""6"": 0.0, ""40"": 0.9638431553660052, ""43"": 0.9638431553660052, ""71"": 0.0, ""39"": 1.0}}"
17,foolsgold,foolsgold,"[83, 71, 76, 18, 17, 81, 62, 52]","[0, 3]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 0.0, ""83"": 1.0, ""71"": 1.0, ""76"": 1.0, ""18"": 1.0, ""17"": 0.6365292666759186, ""81"": 1.0, ""62"": 0.6365292666759186, ""3"": 0.0, ""52"": 1.0}}"
18,foolsgold,foolsgold,"[4, 80, 5, 84, 50, 40, 78, 43]","[88, 31]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 1.0, ""80"": 1.0, ""88"": 0.0, ""5"": 0.32108288962469844, ""84"": 1.0, ""50"": 0.32108288962469844, ""40"": 0.5501619131062803, ""78"": 0.5102432384203723, ""31"": 0.0, ""43"": 1.0}}"
19,foolsgold,foolsgold,"[84, 45, 95, 90, 87, 51]","[3, 65, 6, 29]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""84"": 1.0, ""45"": 0.2727085634703702, ""95"": 1.0, ""90"": 0.20868812572136491, ""65"": 0.0, ""6"": 0.0, ""87"": 0.14231665004469513, ""29"": 0.0, ""51"": 1.0}}"
20,foolsgold,foolsgold,"[1, 52, 38, 22, 39, 47]","[72, 28, 63, 18]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 1.0, ""72"": 0.0, ""28"": 0.0, ""52"": 0.8627549652698149, ""38"": 0.220580886650298, ""63"": 0.0, ""18"": 0.0, ""22"": 1.0, ""39"": 1.0, ""47"": 0.5576057149065762}}"
21,foolsgold,foolsgold,"[2, 99, 96, 5, 68, 29]","[66, 13, 63, 94]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 0.35765075946280067, ""99"": 1.0, ""66"": 0.0, ""96"": 1.0, ""13"": 0.0, ""63"": 0.0, ""5"": 1.0, ""68"": 1.0, ""94"": 0.0, ""29"": 0.35765075946280067}}"
22,foolsgold,foolsgold,"[1, 45, 9, 98, 99]","[38, 83, 86, 24, 34]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 1.0, ""45"": 1.0, ""9"": 1.0, ""98"": 0.9434680809409799, ""99"": 1.0, ""38"": 0.0, ""83"": 0.0, ""86"": 0.0, ""24"": 0.0, ""34"": 0.0}}"
23,foolsgold,foolsgold,"[2, 82, 79, 81, 91, 53, 52, 32]","[83, 90]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 1.0, ""83"": 0.0, ""82"": 1.0, ""79"": 1.0, ""81"": 1.0, ""91"": 1.0, ""53"": 1.0, ""52"": 1.0, ""90"": 0.0, ""32"": 1.0}}"
24,foolsgold,foolsgold,"[4, 5, 99, 34, 28, 76, 91]","[6, 94, 46]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 1.0, ""5"": 0.6374744316928398, ""99"": 0.7481673812111236, ""6"": 0.0, ""94"": 0.0, ""34"": 0.49387372995491446, ""46"": 0.0, ""28"": 0.9586308180398331, ""76"": 0.49387372995491446, ""91"": 0.6374744316928398}}"
25,foolsgold,foolsgold,"[35, 90, 93, 70, 95, 54]","[4, 2, 71, 98]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 0.0, ""2"": 0.0, ""35"": 1.0, ""90"": 1.0, ""93"": 1.0, ""71"": 0.0, ""98"": 0.0, ""70"": 1.0, ""95"": 0.3820518274905848, ""54"": 0.3820518274905848}}"
26,foolsgold,foolsgold,"[22, 41, 39, 88, 74, 49]","[3, 81, 14, 1]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""81"": 0.0, ""22"": 1.0, ""41"": 0.23096721797837155, ""14"": 0.0, ""39"": 0.23096721797837155, ""1"": 0.0, ""88"": 1.0, ""74"": 1.0, ""49"": 0.186916876844973}}"
27,foolsgold,foolsgold,"[0, 95, 7, 65, 58]","[57, 73, 75, 27, 10]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 1.0, ""95"": 1.0, ""57"": 0.0, ""7"": 1.0, ""73"": 0.0, ""75"": 0.0, ""65"": 1.0, ""58"": 1.0, ""27"": 0.0, ""10"": 0.0}}"
28,foolsgold,foolsgold,"[76, 15, 51, 69, 72, 14]","[3, 1, 65, 53]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""1"": 0.0, ""76"": 1.0, ""65"": 0.0, ""15"": 1.0, ""51"": 0.20034672212780635, ""53"": 0.0, ""69"": 1.0, ""72"": 1.0, ""14"": 0.20034672212780635}}"
29,foolsgold,foolsgold,"[30, 81, 70, 38, 49, 78, 14, 87]","[1, 3]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 0.0, ""3"": 0.0, ""30"": 1.0, ""81"": 0.3756789884181102, ""70"": 1.0, ""38"": 0.6694823953769128, ""49"": 0.6694823953769128, ""78"": 1.0, ""14"": 0.3756789884181102, ""87"": 1.0}}"
30,foolsgold,foolsgold,"[1, 47, 7, 49, 33, 34, 53]","[71, 13, 42]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 1.0, ""71"": 0.0, ""13"": 0.0, ""47"": 1.0, ""7"": 1.0, ""49"": 0.7983311319820632, ""33"": 1.0, ""42"": 0.0, ""34"": 0.488947979868814, ""53"": 1.0}}"
31,foolsgold,foolsgold,"[48, 45, 54]","[3, 20, 57, 30, 15, 29, 14]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""20"": 0.0, ""48"": 1.0, ""57"": 0.0, ""30"": 0.0, ""15"": 0.0, ""45"": 1.0, ""29"": 0.0, ""54"": 1.0, ""14"": 0.0}}"
32,foolsgold,foolsgold,"[1, 52, 76, 65, 58, 23, 99, 21]","[57, 51]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 1.0, ""57"": 0.0, ""52"": 1.0, ""76"": 0.4694780769534971, ""65"": 0.5998156933127524, ""58"": 0.021091795622758314, ""51"": 0.0, ""23"": 0.46328167811458326, ""99"": 0.021091795622758314, ""21"": 0.46328167811458326}}"
33,foolsgold,foolsgold,"[96, 82, 75, 40, 47]","[4, 46, 64, 63, 36]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 0.0, ""46"": 0.0, ""64"": 0.0, ""96"": 1.0, ""82"": 1.0, ""75"": 1.0, ""40"": 1.0, ""63"": 0.0, ""36"": 0.0, ""47"": 1.0}}"
34,foolsgold,foolsgold,"[0, 72, 8, 81, 73, 83, 65, 79, 58, 16]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 0.6149406393521574, ""72"": 0.31413250813098487, ""8"": 1.0, ""81"": 1.0, ""73"": 1.0, ""83"": 0.81162531435624, ""65"": 1.0, ""79"": 0.81162531435624, ""58"": 0.31413250813098487, ""16"": 0.6149406393521574}}"
35,foolsgold,foolsgold,"[84, 29, 12, 64]","[3, 30, 98, 44, 13, 55]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""30"": 0.0, ""84"": 1.0, ""29"": 0.20381392915605878, ""12"": 1.0, ""98"": 0.0, ""44"": 0.0, ""64"": 1.0, ""13"": 0.0, ""55"": 0.0}}"
36,foolsgold,foolsgold,"[23, 49, 11, 34, 33, 58]","[0, 36, 99, 12]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 0.0, ""36"": 0.0, ""23"": 1.0, ""49"": 1.0, ""11"": 0.32112762958416186, ""34"": 0.32112762958416186, ""99"": 0.0, ""33"": 1.0, ""58"": 0.9069987921039602, ""12"": 0.0}}"
37,foolsgold,foolsgold,"[43, 5, 14, 37]","[3, 34, 99, 48, 24, 56]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""43"": 1.0, ""5"": 1.0, ""34"": 0.0, ""99"": 0.0, ""14"": 0.7877844511579887, ""48"": 0.0, ""24"": 0.0, ""56"": 0.0, ""37"": 1.0}}"
38,foolsgold,foolsgold,"[2, 88, 85, 19, 37]","[65, 95, 82, 77, 54]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 1.0, ""88"": 1.0, ""85"": 1.0, ""65"": 0.0, ""95"": 0.0, ""82"": 0.0, ""19"": 1.0, ""77"": 0.0, ""54"": 0.0, ""37"": 1.0}}"
39,foolsgold,foolsgold,"[2, 33, 85, 87, 74, 15, 29, 94]","[12, 60]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 0.058968198087465284, ""33"": 1.0, ""12"": 0.0, ""85"": 1.0, ""87"": 0.8917747594812734, ""74"": 1.0, ""15"": 0.058968198087465284, ""29"": 0.3572902986706818, ""94"": 0.3572902986706818, ""60"": 0.0}}"
40,foolsgold,foolsgold,"[33, 55]","[4, 6, 77, 65, 63, 18, 2, 78]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 0.0, ""6"": 0.0, ""33"": 1.0, ""77"": 0.0, ""65"": 0.0, ""63"": 0.0, ""55"": 1.0, ""18"": 0.0, ""2"": 0.0, ""78"": 0.0}}"
41,foolsgold,foolsgold,"[57, 32, 77, 95, 22]","[1, 71, 25, 51, 42]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 0.0, ""71"": 0.0, ""25"": 0.0, ""57"": 0.35052778030024456, ""32"": 0.7501316217521338, ""77"": 1.0, ""51"": 0.0, ""42"": 0.0, ""95"": 1.0, ""22"": 0.7501316217521338}}"
42,foolsgold,foolsgold,"[61, 86, 54, 91, 85]","[2, 23, 0, 63, 37]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 0.0, ""23"": 0.0, ""61"": 0.07002840376040043, ""86"": 1.0, ""54"": 1.0, ""0"": 0.0, ""91"": 1.0, ""63"": 0.0, ""37"": 0.0, ""85"": 1.0}}"
43,foolsgold,foolsgold,"[35, 22, 89, 16]","[0, 40, 56, 34, 98, 1]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 0.0, ""40"": 0.0, ""56"": 0.0, ""34"": 0.0, ""98"": 0.0, ""35"": 1.0, ""1"": 0.0, ""22"": 1.0, ""89"": 1.0, ""16"": 1.0}}"
44,foolsgold,foolsgold,"[46, 37, 20, 42, 50, 12, 72]","[1, 25, 44]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 0.0, ""46"": 0.21484839785339482, ""25"": 0.0, ""37"": 0.21484839785339482, ""20"": 0.18437777069947703, ""42"": 1.0, ""44"": 0.0, ""50"": 0.26678407083218714, ""12"": 0.34560004004036626, ""72"": 1.0}}"
45,foolsgold,foolsgold,"[1, 93, 12, 27, 33, 16]","[19, 56, 20, 69]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 0.20060561200352495, ""19"": 0.0, ""56"": 0.0, ""93"": 0.8784959265638794, ""20"": 0.0, ""12"": 0.8784959265638794, ""27"": 1.0, ""69"": 0.0, ""33"": 1.0, ""16"": 0.20060561200352495}}"
46,foolsgold,foolsgold,"[10, 46, 35, 17]","[2, 45, 1, 74, 86, 81]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 0.0, ""45"": 0.0, ""10"": 1.0, ""1"": 0.0, ""74"": 0.0, ""86"": 0.0, ""46"": 1.0, ""35"": 1.0, ""17"": 1.0, ""81"": 0.0}}"
