epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
-2,avg,success,"[4, 31, 50, 89, 20, 52, 21, 76, 28, 26]","[4, 31, 50, 89, 20, 52, 21, 76, 28, 26]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_16.35.49_avg_True_no-noise_reba/agg_records/pkl/round_-002_avg.pkl
-1,avg,success,"[73, 40, 72, 33, 47, 3, 1, 12, 53, 0]","[73, 40, 72, 33, 47, 3, 1, 12, 53, 0]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_16.35.49_avg_True_no-noise_reba/agg_records/pkl/round_-001_avg.pkl
0,avg,success,"[26, 11, 82, 1, 98, 54, 57, 60, 19, 65]","[26, 11, 82, 1, 98, 54, 57, 60, 19, 65]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_16.35.49_avg_True_no-noise_reba/agg_records/pkl/round_0000_avg.pkl
1,avg,success,"[62, 96, 21, 70, 45, 79, 27, 17, 10, 2]","[62, 96, 21, 70, 45, 79, 27, 17, 10, 2]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_16.35.49_avg_True_no-noise_reba/agg_records/pkl/round_0001_avg.pkl
2,avg,success,"[14, 50, 22, 58, 55, 70, 42, 23, 0, 40]","[14, 50, 22, 58, 55, 70, 42, 23, 0, 40]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_16.35.49_avg_True_no-noise_reba/agg_records/pkl/round_0002_avg.pkl
3,avg,success,"[11, 18, 31, 45, 59, 24, 26, 16, 56, 64]","[11, 18, 31, 45, 59, 24, 26, 16, 56, 64]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_16.35.49_avg_True_no-noise_reba/agg_records/pkl/round_0003_avg.pkl
4,avg,success,"[3, 93, 57, 90, 21, 85, 19, 7, 35, 58]","[3, 93, 57, 90, 21, 85, 19, 7, 35, 58]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_16.35.49_avg_True_no-noise_reba/agg_records/pkl/round_0004_avg.pkl
5,avg,success,"[24, 54, 36, 73, 52, 22, 43, 19, 23, 47]","[24, 54, 36, 73, 52, 22, 43, 19, 23, 47]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_16.35.49_avg_True_no-noise_reba/agg_records/pkl/round_0005_avg.pkl
6,avg,success,"[91, 72, 47, 64, 65, 90, 82, 48, 49, 32]","[91, 72, 47, 64, 65, 90, 82, 48, 49, 32]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_16.35.49_avg_True_no-noise_reba/agg_records/pkl/round_0006_avg.pkl
7,avg,success,"[25, 88, 80, 50, 76, 14, 85, 71, 1, 29]","[25, 88, 80, 50, 76, 14, 85, 71, 1, 29]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_16.35.49_avg_True_no-noise_reba/agg_records/pkl/round_0007_avg.pkl
8,avg,success,"[87, 63, 42, 46, 69, 28, 65, 47, 43, 1]","[87, 63, 42, 46, 69, 28, 65, 47, 43, 1]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_16.35.49_avg_True_no-noise_reba/agg_records/pkl/round_0008_avg.pkl
9,avg,success,"[26, 36, 9, 37, 79, 66, 91, 95, 6, 15]","[26, 36, 9, 37, 79, 66, 91, 95, 6, 15]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_16.35.49_avg_True_no-noise_reba/agg_records/pkl/round_0009_avg.pkl
10,avg,success,"[64, 19, 99, 29, 61, 88, 46, 2, 12, 90]","[64, 19, 99, 29, 61, 88, 46, 2, 12, 90]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_16.35.49_avg_True_no-noise_reba/agg_records/pkl/round_0010_avg.pkl
11,avg,success,"[33, 60, 83, 51, 71, 59, 96, 32, 8, 72]","[33, 60, 83, 51, 71, 59, 96, 32, 8, 72]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_16.35.49_avg_True_no-noise_reba/agg_records/pkl/round_0011_avg.pkl
12,avg,success,"[85, 89, 5, 69, 22, 4, 90, 7, 83, 37]","[85, 89, 5, 69, 22, 4, 90, 7, 83, 37]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_16.35.49_avg_True_no-noise_reba/agg_records/pkl/round_0012_avg.pkl
13,avg,success,"[48, 66, 90, 85, 13, 64, 99, 40, 81, 32]","[48, 66, 90, 85, 13, 64, 99, 40, 81, 32]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_16.35.49_avg_True_no-noise_reba/agg_records/pkl/round_0013_avg.pkl
14,avg,success,"[92, 45, 50, 59, 29, 9, 88, 0, 77, 2]","[92, 45, 50, 59, 29, 9, 88, 0, 77, 2]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_16.35.49_avg_True_no-noise_reba/agg_records/pkl/round_0014_avg.pkl
15,avg,success,"[44, 32, 35, 88, 41, 79, 22, 16, 98, 96]","[44, 32, 35, 88, 41, 79, 22, 16, 98, 96]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_16.35.49_avg_True_no-noise_reba/agg_records/pkl/round_0015_avg.pkl
16,avg,success,"[43, 39, 76, 93, 51, 25, 4, 37, 58, 21]","[43, 39, 76, 93, 51, 25, 4, 37, 58, 21]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_16.35.49_avg_True_no-noise_reba/agg_records/pkl/round_0016_avg.pkl
17,avg,success,"[21, 28, 88, 76, 84, 43, 63, 11, 36, 72]","[21, 28, 88, 76, 84, 43, 63, 11, 36, 72]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_16.35.49_avg_True_no-noise_reba/agg_records/pkl/round_0017_avg.pkl
