epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
-2,clip,success,"[4, 31, 50, 89, 20, 52, 21, 76, 28, 26]","[4, 31, 50, 89, 20, 52, 21, 76, 28, 26]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_17.31.20_clip_True_no-noise_reba/agg_records/pkl/round_-002_clip.pkl
-1,clip,success,"[73, 40, 72, 33, 47, 3, 1, 12, 53, 0]","[73, 40, 72, 33, 47, 3, 1, 12, 53, 0]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_17.31.20_clip_True_no-noise_reba/agg_records/pkl/round_-001_clip.pkl
0,clip,success,"[26, 11, 82, 1, 98, 54, 57, 60, 19, 65]","[26, 11, 82, 1, 98, 54, 57, 60, 19, 65]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_17.31.20_clip_True_no-noise_reba/agg_records/pkl/round_0000_clip.pkl
1,clip,success,"[62, 96, 21, 70, 45, 79, 27, 17, 10, 2]","[62, 96, 21, 70, 45, 79, 27, 17, 10, 2]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_17.31.20_clip_True_no-noise_reba/agg_records/pkl/round_0001_clip.pkl
2,clip,success,"[14, 50, 22, 58, 55, 70, 42, 23, 0, 40]","[14, 50, 22, 58, 55, 70, 42, 23, 0, 40]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_17.31.20_clip_True_no-noise_reba/agg_records/pkl/round_0002_clip.pkl
3,clip,success,"[11, 18, 31, 45, 59, 24, 26, 16, 56, 64]","[11, 18, 31, 45, 59, 24, 26, 16, 56, 64]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_17.31.20_clip_True_no-noise_reba/agg_records/pkl/round_0003_clip.pkl
4,clip,success,"[3, 93, 57, 90, 21, 85, 19, 7, 35, 58]","[3, 93, 57, 90, 21, 85, 19, 7, 35, 58]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_17.31.20_clip_True_no-noise_reba/agg_records/pkl/round_0004_clip.pkl
5,clip,success,"[24, 54, 36, 73, 52, 22, 43, 19, 23, 47]","[24, 54, 36, 73, 52, 22, 43, 19, 23, 47]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_17.31.20_clip_True_no-noise_reba/agg_records/pkl/round_0005_clip.pkl
6,clip,success,"[91, 72, 47, 64, 65, 90, 82, 48, 49, 32]","[91, 72, 47, 64, 65, 90, 82, 48, 49, 32]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_17.31.20_clip_True_no-noise_reba/agg_records/pkl/round_0006_clip.pkl
7,clip,success,"[25, 88, 80, 50, 76, 14, 85, 71, 1, 29]","[25, 88, 80, 50, 76, 14, 85, 71, 1, 29]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_17.31.20_clip_True_no-noise_reba/agg_records/pkl/round_0007_clip.pkl
8,clip,success,"[87, 63, 42, 46, 69, 28, 65, 47, 43, 1]","[87, 63, 42, 46, 69, 28, 65, 47, 43, 1]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_17.31.20_clip_True_no-noise_reba/agg_records/pkl/round_0008_clip.pkl
9,clip,success,"[26, 36, 9, 37, 79, 66, 91, 95, 6, 15]","[26, 36, 9, 37, 79, 66, 91, 95, 6, 15]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_17.31.20_clip_True_no-noise_reba/agg_records/pkl/round_0009_clip.pkl
10,clip,success,"[64, 19, 99, 29, 61, 88, 46, 2, 12, 90]","[64, 19, 99, 29, 61, 88, 46, 2, 12, 90]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_17.31.20_clip_True_no-noise_reba/agg_records/pkl/round_0010_clip.pkl
11,clip,success,"[33, 60, 83, 51, 71, 59, 96, 32, 8, 72]","[33, 60, 83, 51, 71, 59, 96, 32, 8, 72]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_17.31.20_clip_True_no-noise_reba/agg_records/pkl/round_0011_clip.pkl
12,clip,success,"[85, 89, 5, 69, 22, 4, 90, 7, 83, 37]","[85, 89, 5, 69, 22, 4, 90, 7, 83, 37]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_17.31.20_clip_True_no-noise_reba/agg_records/pkl/round_0012_clip.pkl
13,clip,success,"[48, 66, 90, 85, 13, 64, 99, 40, 81, 32]","[48, 66, 90, 85, 13, 64, 99, 40, 81, 32]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_17.31.20_clip_True_no-noise_reba/agg_records/pkl/round_0013_clip.pkl
14,clip,success,"[92, 45, 50, 59, 29, 9, 88, 0, 77, 2]","[92, 45, 50, 59, 29, 9, 88, 0, 77, 2]",[],10,10,[],re_result_6-29_APRA/cifar10_700_Jul.02_17.31.20_clip_True_no-noise_reba/agg_records/pkl/round_0014_clip.pkl
