epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
-2,foolsgold,success,"[4, 31, 50, 89, 20, 52, 21, 76, 28, 26]","[4, 31, 50, 89, 52, 76, 28, 26]","[20, 21]",10,8,[],re_result_6-29_APRA/cifar10_700_Jul.02_19.21.07_foolsgold_True_no-noise_reba/agg_records/pkl/round_-002_foolsgold.pkl
-1,foolsgold,success,"[73, 40, 72, 33, 47, 3, 1, 12, 53, 0]","[73, 40, 33, 1, 53, 0]","[72, 47, 3, 12]",10,6,[],re_result_6-29_APRA/cifar10_700_Jul.02_19.21.07_foolsgold_True_no-noise_reba/agg_records/pkl/round_-001_foolsgold.pkl
0,foolsgold,success,"[26, 11, 82, 1, 98, 54, 57, 60, 19, 65]","[11, 82, 1, 98, 60, 65]","[26, 54, 57, 19]",10,6,[],re_result_6-29_APRA/cifar10_700_Jul.02_19.21.07_foolsgold_True_no-noise_reba/agg_records/pkl/round_0000_foolsgold.pkl
1,foolsgold,success,"[62, 96, 21, 70, 45, 79, 27, 17, 10, 2]","[62, 96, 21, 79, 10]","[70, 45, 27, 17, 2]",10,5,[],re_result_6-29_APRA/cifar10_700_Jul.02_19.21.07_foolsgold_True_no-noise_reba/agg_records/pkl/round_0001_foolsgold.pkl
2,foolsgold,success,"[14, 50, 22, 58, 55, 70, 42, 23, 0, 40]","[14, 50, 22, 58, 70, 23, 0, 40]","[55, 42]",10,8,[],re_result_6-29_APRA/cifar10_700_Jul.02_19.21.07_foolsgold_True_no-noise_reba/agg_records/pkl/round_0002_foolsgold.pkl
3,foolsgold,success,"[11, 18, 31, 45, 59, 24, 26, 16, 56, 64]","[11, 31, 45, 59, 26]","[18, 24, 16, 56, 64]",10,5,[],re_result_6-29_APRA/cifar10_700_Jul.02_19.21.07_foolsgold_True_no-noise_reba/agg_records/pkl/round_0003_foolsgold.pkl
4,foolsgold,success,"[3, 93, 57, 90, 21, 85, 19, 7, 35, 58]","[35, 58]","[3, 93, 57, 90, 21, 85, 19, 7]",10,2,[],re_result_6-29_APRA/cifar10_700_Jul.02_19.21.07_foolsgold_True_no-noise_reba/agg_records/pkl/round_0004_foolsgold.pkl
5,foolsgold,success,"[24, 54, 36, 73, 52, 22, 43, 19, 23, 47]","[54, 36, 73, 22, 43, 23]","[24, 52, 19, 47]",10,6,[],re_result_6-29_APRA/cifar10_700_Jul.02_19.21.07_foolsgold_True_no-noise_reba/agg_records/pkl/round_0005_foolsgold.pkl
6,foolsgold,success,"[91, 72, 47, 64, 65, 90, 82, 48, 49, 32]","[91, 47, 64, 65, 82, 48, 49, 32]","[72, 90]",10,8,[],re_result_6-29_APRA/cifar10_700_Jul.02_19.21.07_foolsgold_True_no-noise_reba/agg_records/pkl/round_0006_foolsgold.pkl
7,foolsgold,success,"[25, 88, 80, 50, 76, 14, 85, 71, 1, 29]","[25, 88, 80, 50, 76, 85, 71, 29]","[14, 1]",10,8,[],re_result_6-29_APRA/cifar10_700_Jul.02_19.21.07_foolsgold_True_no-noise_reba/agg_records/pkl/round_0007_foolsgold.pkl
